交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
23110100010,東名高速道路,東名高速道路,新城市・豊橋市境,23221,1,3.9,三ヶ日JCT～豊川,13517,三ヶ日JCT～豊川,14231,27748,1.71,0.37,86.9,88.2,25,100
23110100020,東名高速道路,新城市・豊橋市境,一般国道１５１号,23201,1,6,三ヶ日JCT～豊川,13517,三ヶ日JCT～豊川,14231,27748,1.71,0.37,87.1,80.9,25,100
23110100030,東名高速道路,一般国道１５１号,長沢蒲郡線,23207,1,11.2,豊川～音羽蒲郡,17353,豊川～音羽蒲郡,17595,34948,1.6,0.41,82.4,75.7,25,100
23110100040,東名高速道路,長沢蒲郡線,豊川市・岡崎市境,23207,1,3.9,音羽蒲郡～岡崎,20476,音羽蒲郡～岡崎,20972,41448,1.61,0.51,80.7,69.7,25,100
23110100050,東名高速道路,豊川市・岡崎市境,一般国道１号,23202,1,9.3,音羽蒲郡～岡崎,20476,音羽蒲郡～岡崎,20972,41448,1.61,0.51,74.8,79.1,25,100
23110100060,東名高速道路,一般国道１号,岡崎市・豊田市境,23202,1,9.4,岡崎～豊田JCT,26916,岡崎～豊田JCT,28083,54999,1.49,0.73,80.6,72.9,25,100
23110100070,東名高速道路,岡崎市・豊田市境,伊勢湾岸自動車道,23211,1,1.3,岡崎～豊田JCT,26916,岡崎～豊田JCT,28083,54999,1.49,0.73,89.9,77.9,25,100
23110100075,東名高速道路,伊勢湾岸自動車道,豊田安城線,23211,1,1.7,豊田JCT～豊田上郷スマート,20682,豊田JCT～豊田上郷スマート,19697,40379,1.47,0.55,86.3,85.3,25,100
23110100080,東名高速道路,豊田安城線,一般国道１５５号,23211,1,5,豊田上郷スマート～豊田,20807,豊田上郷スマート～豊田,19685,40492,1.48,0.54,86.5,64.1,25,100
23110100090,東名高速道路,一般国道１５５号,豊田市・みよし市境,23211,1,2.2,豊田～東名三好,23355,豊田～東名三好,21186,44541,1.49,0.59,86.3,60.4,25,100
23110100100,東名高速道路,豊田市・みよし市境,みよし市道,23236,1,2.8,豊田～東名三好,23355,豊田～東名三好,21186,44541,1.49,0.59,81.9,61.2,25,100
23110100110,東名高速道路,みよし市道,みよし市・日進市境,23236,1,1.9,東名三好～日進JCT,23983,東名三好～日進JCT,22210,46193,1.51,0.5,78.7,46.6,25,100
23110100120,東名高速道路,みよし市・日進市境,日進瀬戸線,23230,1,4.6,東名三好～日進JCT,23983,東名三好～日進JCT,22210,46193,1.51,0.5,55.8,53.6,25,100
23110100130,東名高速道路,日進瀬戸線,日進市・長久手市境,23230,1,1.1,日進JCT～名古屋,26977,日進JCT～名古屋,26488,53465,1.47,0.61,36,51.8,32.5,100
23110100140,東名高速道路,日進市・長久手市境,長久手市・名古屋市名東区境,23238,1,1.3,日進JCT～名古屋,26977,日進JCT～名古屋,26488,53465,1.47,0.61,33.6,55.1,32.5,100
23110100150,東名高速道路,長久手市・名古屋市名東区境,名古屋第二環状自動車道,23115,1,0.8,日進JCT～名古屋,26977,日進JCT～名古屋,26488,53465,1.47,0.61,22.2,70.1,32.5,100
23110100160,東名高速道路,名古屋第二環状自動車道,名古屋市名東区・名古屋市守山区境,23115,1,2.2,名古屋～守山スマート,18029,名古屋～守山スマート,18217,36246,1.52,0.4,47.5,64.1,25,100
23110100170,東名高速道路,名古屋市名東区・名古屋市守山区境,名古屋市守山区・尾張旭市境,23113,1,1.2,名古屋～守山スマート,18029,名古屋～守山スマート,18217,36246,1.52,0.4,60.2,71.8,25,100
23110100180,東名高速道路,名古屋市守山区・尾張旭市境,尾張旭市・名古屋市守山区境,23226,1,2.4,名古屋～守山スマート,18029,名古屋～守山スマート,18217,36246,1.52,0.4,73.9,74.7,25,100
23110100185,東名高速道路,尾張旭市・名古屋市守山区境,名古屋市道,23113,1,2.3,名古屋～守山スマート,18029,名古屋～守山スマート,18217,36246,1.52,0.4,74.3,72.2,25,100
23110100190,東名高速道路,名古屋市道,名古屋市守山区・春日井市境,23113,1,1.2,守山スマート～春日井,18288,守山スマート～春日井,18457,36745,1.51,0.42,74.9,69.9,25,100
23110100200,東名高速道路,名古屋市守山区・春日井市境,一般国道１９号,23206,1,2.8,守山スマート～春日井,18288,守山スマート～春日井,18457,36745,1.51,0.42,76.9,73.2,25,100
23110100210,東名高速道路,一般国道１９号,春日井市・小牧市境,23206,1,1.7,春日井～小牧JCT,19358,春日井～小牧JCT,19606,38964,1.46,0.57,79.7,80.7,29,100
23110100220,東名高速道路,春日井市・小牧市境,中央自動車道西宮線,23219,1,0.5,春日井～小牧JCT,19358,春日井～小牧JCT,19606,38964,1.46,0.57,84.2,81.4,29,100
23110100230,東名高速道路,中央自動車道西宮線,春日井市・小牧市境,23206,1,0.2,小牧JCT～小牧,28835,小牧JCT～小牧,29739,58574,1.48,0.79,84.2,80.8,25,100
23110100240,東名高速道路,春日井市・小牧市境,小牧市・春日井市境,23219,1,0.7,小牧JCT～小牧,28835,小牧JCT～小牧,29739,58574,1.48,0.79,74.2,75.4,25,100
23110100250,東名高速道路,小牧市・春日井市境,春日井市・小牧市境,23206,1,0.4,小牧JCT～小牧,28835,小牧JCT～小牧,29739,58574,1.48,0.79,71.9,79.3,25,100
