交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
5110400010,東北自動車道,東北自動車道,一般国道２８２号,5209,1,9.7,安代～鹿角八幡平,3492,安代～鹿角八幡平,3524,7016,1.47,0.21,83.7,84,20.5,80
5110400020,東北自動車道,一般国道２８２号,一般国道１０３号,5209,1,11.9,鹿角八幡平～十和田,3238,鹿角八幡平～十和田,3283,6521,1.47,0.13,88.5,87.8,20.5,80
5110400030,東北自動車道,一般国道１０３号,鹿角市・小坂町境,5209,1,3.4,十和田～小坂,2916,十和田～小坂,2952,5868,1.47,0.13,91.6,89.3,20.5,80
5110400040,東北自動車道,鹿角市・小坂町境,大館十和田湖線,5303,1,4.7,十和田～小坂,2916,十和田～小坂,2952,5868,1.47,0.13,93.4,88.1,20.5,80
5110400045,東北自動車道,大館十和田湖線,日本海沿岸東北自動車道,5303,1,6.4,小坂～小坂JCT,2977,小坂～小坂JCT,3009,5986,1.46,0.21,89,84.8,20.5,80
5110400050,東北自動車道,日本海沿岸東北自動車道,東北自動車道,5303,1,5.8,小坂JCT～碇ヶ関,3147,小坂JCT～碇ヶ関,3084,6231,1.43,0.2,88.5,86.6,20.5,80
5110810010,日本海東北自動車道,日本海沿岸東北自動車道（本荘～岩城）,由利本荘市・秋田市境,5210,1,4,岩城～秋田空港,1072,岩城～秋田空港,1019,2091,1.2,0.25,87,88.2,12,70
5110810020,日本海東北自動車道,由利本荘市・秋田市境,秋田御所野雄和線,5201,1,10.3,岩城～秋田空港,1072,岩城～秋田空港,1019,2091,1.2,0.25,85.5,81.1,12,70
5110810030,日本海東北自動車道,秋田御所野雄和線,秋田自動車道,5201,1,2.4,秋田空港～河辺JCT,1116,秋田空港～河辺JCT,981,2097,1.22,0.26,86.3,87.8,12,70
5114200010,秋田自動車道,秋田自動車道,一般国道１３号（湯沢横手道路）,5203,1,16.7,湯田～横手,2245,湯田～横手,2257,4502,1.34,0.7,82,81.8,12,70
5114200015,秋田自動車道,一般国道１３号（湯沢横手道路）,横手大森大内線,5203,1,6.4,横手～横手北スマート,2753,横手～横手北スマート,2773,5526,1.25,0.34,91.9,91.3,12,70
5114200020,秋田自動車道,横手大森大内線,横手市・大仙市境,5203,1,8.4,横手北スマート～大曲,3163,横手北スマート～大曲,3109,6272,1.24,0.43,87.2,87.2,12,70
5114200030,秋田自動車道,横手市・大仙市境,一般国道１０５号,5212,1,6.1,横手北スマート～大曲,3163,横手北スマート～大曲,3109,6272,1.24,0.43,91.2,84.4,12,70
5114200040,秋田自動車道,一般国道１０５号,市道（西仙北ＳＩＣアクセス道路）,5212,1,16.3,大曲～西仙北スマート,4123,大曲～西仙北スマート,4116,8239,1.22,0.23,93,92.1,20.5,80
5114200050,秋田自動車道,市道（西仙北ＳＩＣアクセス道路）,一般国道３４１号,5212,1,7.6,西仙北スマート～協和,4256,西仙北スマート～協和,4234,8490,1.21,0.17,91.5,92,20.5,80
5114200060,秋田自動車道,一般国道３４１号,大仙市・秋田市境,5212,1,1.6,協和～河辺JCT,4439,協和～河辺JCT,4394,8833,1.21,0.23,93.2,90.2,20.5,80
5114200070,秋田自動車道,大仙市・秋田市境,日本海東北自動車道,5201,1,6.8,協和～河辺JCT,4439,協和～河辺JCT,4394,8833,1.21,0.23,93,93.7,20.5,80
5114200080,秋田自動車道,日本海東北自動車道,一般国道１３号,5201,1,2.9,河辺JCT～秋田南,4795,河辺JCT～秋田南,4615,9410,1.2,0.2,86.5,91.1,20.5,80
5114200090,秋田自動車道,一般国道１３号,秋田北野田線,5201,1,7,秋田南～秋田中央,3429,秋田南～秋田中央,3335,6764,1.18,0.74,85.7,86.6,12,70
5114200100,秋田自動車道,秋田北野田線,一般国道７号（秋田自動車道）,5201,1,9.2,秋田中央～秋田北、昭和男鹿半島～五城目八郎潟,2605,秋田中央～秋田北、昭和男鹿半島～五城目八郎潟,2378,4983,1.18,0.71,83.6,85.1,12,70
5114200120,秋田自動車道,一般国道７号,潟上市・井川町境,5211,1,4.8,秋田中央～秋田北、昭和男鹿半島～五城目八郎潟,2605,秋田中央～秋田北、昭和男鹿半島～五城目八郎潟,2378,4983,1.18,0.71,86.3,87,12,70
5114200130,秋田自動車道,潟上市・井川町境,井川町・五城目町境,5366,1,3.7,秋田中央～秋田北、昭和男鹿半島～五城目八郎潟,2605,秋田中央～秋田北、昭和男鹿半島～五城目八郎潟,2378,4983,1.18,0.71,82,85.9,12,70
5114200140,秋田自動車道,井川町・五城目町境,五城目町・八郎潟町境,5361,1,1.8,秋田中央～秋田北、昭和男鹿半島～五城目八郎潟,2605,秋田中央～秋田北、昭和男鹿半島～五城目八郎潟,2378,4983,1.18,0.71,83.8,84.1,12,70
5114200150,秋田自動車道,五城目町・八郎潟町境,八郎潟町・五城目町境,5363,1,0.5,秋田中央～秋田北、昭和男鹿半島～五城目八郎潟,2605,秋田中央～秋田北、昭和男鹿半島～五城目八郎潟,2378,4983,1.18,0.71,83.9,81.1,12,70
5114200160,秋田自動車道,八郎潟町・五城目町境,秋田八郎潟線,5361,1,0.3,秋田中央～秋田北、昭和男鹿半島～五城目八郎潟,2605,秋田中央～秋田北、昭和男鹿半島～五城目八郎潟,2378,4983,1.18,0.71,83.6,82.4,12,70
5114200170,秋田自動車道,秋田八郎潟線,五城目町・八郎潟町境,5361,1,2.5,五城目八郎潟～琴丘森岳,2375,五城目八郎潟～琴丘森岳,2257,4632,1.17,0.66,84.2,82.9,12,70
5114200180,秋田自動車道,五城目町・八郎潟町境,八郎潟町・三種町境,5363,1,0.5,五城目八郎潟～琴丘森岳,2375,五城目八郎潟～琴丘森岳,2257,4632,1.17,0.66,86.7,80.1,12,70
5114200190,秋田自動車道,八郎潟町・三種町境,一般国道７号（琴丘能代道路）,5348,1,6.6,五城目八郎潟～琴丘森岳,2375,五城目八郎潟～琴丘森岳,2257,4632,1.17,0.66,84.5,85.8,12,70
5135020010,日本海沿岸東北自動車道（本荘～岩城）,一般国道７号(仁賀保本荘道路),一般国道１０５号（岩谷道路）,5210,1,9.3,常観：本荘IC～大内IC,5246,常観：本荘IC～大内IC,4777,10023,1.25,0.77,78.8,77.5,12,70
5135020020,日本海沿岸東北自動車道（本荘～岩城）,一般国道１０５号（岩谷道路）,市道（松ヶ崎亀田ICアクセス道路）,5210,1,6.9,常観：大内IC～松ケ崎亀田IC,6007,常観：大内IC～松ケ崎亀田IC,6076,12083,1.22,0.84,81.5,77.6,12,70
5135020030,日本海沿岸東北自動車道（本荘～岩城）,市道（松ヶ崎亀田ICアクセス道路）,日本海東北自動車道,5210,1,5.4,常観：松ケ崎亀田IC～岩城IC,5547,常観：松ケ崎亀田IC～岩城IC,5448,10995,1.22,0.79,59.4,81.9,12,70
5135020100,日本海沿岸東北自動車道（大館北～小坂）,一般国道７号（大館西道路）,大館市・小坂町境,5204,1,12.7,大館北,1478,大館北,1410,2888,1.17,0.32,82.6,81.4,12,70
5135020105,日本海沿岸東北自動車道（大館北～小坂）,大館市・小坂町境,町道（小坂北ＩＣ連絡道路）,5303,1,1.2,大館北,1478,大館北,1410,2888,1.17,0.32,80.1,78.1,12,70
5135020110,日本海沿岸東北自動車道,町道（小坂北ＩＣ連絡道路）,東北自動車道,5303,1,0.5,小坂JCT～小坂JCT料金所,721,小坂JCT～小坂JCT料金所,626,1347,1.1,0.05,38.2,50.7,22.25,40
5300070010,一般国道７号,一般国道７号,象潟矢島線,5214,0,10.4,常観：象潟(194.6ｋｐ),3216,常観：象潟(194.6ｋｐ),2991,6207,1.26,0.54,57.5,58.7,17,60
5300070020,一般国道７号,象潟矢島線,象潟停車場線,5214,0,1.1,にかほ市象潟町大塩越73-1,6490,にかほ市象潟町大塩越73-1,6384,12874,1.18,1.3,30.8,30.6,15.8,60
5300070030,一般国道７号,象潟停車場線,,5214,0,3.8,にかほ市象潟町大塩越73-1,6490,にかほ市象潟町大塩越73-1,6384,12874,1.18,1.3,41.5,42.6,15.8,60
5300070039,一般国道７号,,一般国道７号（象潟仁賀保道路）,5214,0,1.9,にかほ市象潟町大塩越73-1,6490,にかほ市象潟町大塩越73-1,6384,12874,1.18,1.08,56.9,51.6,17,60
5300070040,一般国道７号,一般国道７号（象潟仁賀保道路）,小出金浦線,5214,0,0.5,CCTV:竹嶋,4167,CCTV:竹嶋,3285,7452,1.14,0.55,32.2,36.1,17,60
5300070050,一般国道７号,小出金浦線,小出金浦線,5214,0,1.4,CCTV:竹嶋,4167,CCTV:竹嶋,3285,7452,1.14,0.55,62.8,62.9,17,60
5300070060,一般国道７号,小出金浦線,仁賀保矢島館合線,5214,0,5,CCTV:竹嶋,4167,CCTV:竹嶋,3285,7452,1.14,0.58,43.3,42.7,13,60
5300070065,一般国道７号,仁賀保矢島館合線,一般国道７号（象潟仁賀保道路）,5214,0,0.8,CCTV:竹嶋,4167,CCTV:竹嶋,3285,7452,1.14,0.84,25.3,28.8,15.2,50
5300070070,一般国道７号,一般国道７号（象潟仁賀保道路）,,5214,0,1.6,CCTV：西目(224.7ｋｐ),5283,CCTV：西目(224.7ｋｐ),5288,10571,1.19,1.04,30.2,49.3,14.5,60
