交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
2110400010,東北自動車道,東北自動車道,一般国道７号,2210,1,7.8,小坂JCT～碇ヶ関,3147,小坂JCT～碇ヶ関,3084,6231,1.43,0.2,90.5,90.1,20.5,80
2110400020,東北自動車道,一般国道７号,平川市・大鰐町境,2210,1,3.8,碇ヶ関～大鰐弘前,3327,碇ヶ関～大鰐弘前,3353,6680,1.42,0.21,86.5,87.7,20.5,80
2110400030,東北自動車道,平川市・大鰐町境,一般国道７号,2362,1,9.2,碇ヶ関～大鰐弘前,3327,碇ヶ関～大鰐弘前,3353,6680,1.42,0.21,87.6,88.9,20.5,80
2110400040,東北自動車道,一般国道７号,大鰐町・弘前市境,2362,1,0.2,大鰐弘前～黒石,2566,大鰐弘前～黒石,2573,5139,1.42,0.1,86.3,91.3,23.5,100
2110400050,東北自動車道,大鰐町・弘前市境,弘前市・平川市境,2202,1,2,大鰐弘前～黒石,2566,大鰐弘前～黒石,2573,5139,1.42,0.1,90.8,90.3,23.5,100
2110400060,東北自動車道,弘前市・平川市境,平川市・黒石市境,2210,1,6.4,大鰐弘前～黒石,2566,大鰐弘前～黒石,2573,5139,1.42,0.1,91.9,88.1,23.5,100
2110400070,東北自動車道,平川市・黒石市境,一般国道１０２号,2204,1,1.3,大鰐弘前～黒石,2566,大鰐弘前～黒石,2573,5139,1.42,0.1,91.1,90.4,23.5,100
2110400080,東北自動車道,一般国道１０２号,黒石市・青森市境,2204,1,7.8,黒石～浪岡,3170,黒石～浪岡,3240,6410,1.34,0.13,92.3,91.8,23.5,100
2110400090,東北自動車道,黒石市・青森市境,一般国道７号,2201,1,6.2,黒石～浪岡,3170,黒石～浪岡,3240,6410,1.34,0.13,93.4,92.1,23.5,100
2110400100,東北自動車道,一般国道７号,青森自動車道,2201,1,9.8,浪岡～青森JCT,4090,浪岡～青森JCT,4342,8432,1.27,0.23,91.7,95.2,23.5,100
2110400110,東北自動車道,青森自動車道,一般国道７号,2201,1,2.1,青森JCT～青森,1502,青森JCT～青森,1503,3005,1.43,0.11,58.4,66.6,23.5,100
2114100010,八戸自動車道,八戸自動車道,名川階上線,2203,1,4.1,軽米～南郷,2842,軽米～南郷,2924,5766,1.35,0.23,88.6,89.7,22,80
2114100020,八戸自動車道,名川階上線,八戸市・南部町境,2203,1,5.7,南郷～八戸JCT,2941,南郷～八戸JCT,3030,5971,1.34,0.25,87.9,89.2,22,80
2114100030,八戸自動車道,八戸市・南部町境,八戸自動車道,2445,1,0.8,南郷～八戸JCT,2941,南郷～八戸JCT,3030,5971,1.34,0.25,84.6,82.1,22,80
2114100035,八戸自動車道,八戸自動車道,一般国道４５号（八戸南環状道路）,2203,1,0.8,八戸JCT～八戸JCT料金所,908,八戸JCT～八戸JCT料金所,883,1791,1.17,0.2,76.1,82,11,70
2114100039,八戸自動車道,一般国道４５号（八戸南環状道路）,一般国道４５４号,2203,1,7.8,八戸JCT～八戸西スマート,1650,八戸JCT～八戸西スマート,1572,3222,1.25,0.5,82.5,86,11,70
2114100040,八戸自動車道,一般国道４５４号,一般国道４５号,2203,1,4.6,八戸西スマート～八戸北,1618,八戸西スマート～八戸北,1564,3182,1.24,0.48,85.2,85.2,11,70
2114100060,八戸自動車道,八戸自動車道,八戸環状線,2203,1,3.8,八戸JCT～八戸,1465,八戸JCT～八戸,1657,3122,1.39,0.07,75.7,74.6,22,80
2114120010,青森自動車道,東北自動車道,一般国道７号,2201,1,6.1,青森JCT～青森中央,2588,青森JCT～青森中央,2839,5427,1.19,0.76,78.4,89.3,13,70
2114120020,青森自動車道,一般国道７号,青森東インター線,2201,1,9.5,青森中央～青森東,1279,青森中央～青森東,1291,2570,1.16,0.21,68.8,55.5,13,70
2300040010,一般国道４号,一般国道４号,目時停車場線,2441,0,0.3,三戸郡三戸町大字目時字中野,4383,三戸郡三戸町大字目時字中野,4193,8576,1.23,0.62,21.3,33.7,12.6,50
2300040020,一般国道４号,目時停車場線,,2441,0,3.9,三戸郡三戸町大字目時字中野,4383,三戸郡三戸町大字目時字中野,4193,8576,1.23,0.62,55.1,57.3,12.6,50
2300040030,一般国道４号,,一般国道１０４号,2441,0,0.3,三戸郡三戸町大字川守田字正浄寺,5552,三戸郡三戸町大字川守田字正浄寺,5376,10928,1.22,0.81,58.2,58.7,12.6,50
2300040040,一般国道４号,一般国道１０４号,十和田三戸線,2441,0,2.2,三戸郡三戸町大字川守田字正浄寺,5552,三戸郡三戸町大字川守田字正浄寺,5376,10928,1.22,0.81,51.7,49.7,12.6,50
2300040050,一般国道４号,十和田三戸線,十和田三戸線,2441,0,0.9,三戸郡三戸町大字川守田字正浄寺,5552,三戸郡三戸町大字川守田字正浄寺,5376,10928,1.22,0.81,40,41,12.6,50
2300040060,一般国道４号,十和田三戸線,三戸町・南部町境,2441,0,1.7,三戸郡三戸町大字川守田字正浄寺,5552,三戸郡三戸町大字川守田字正浄寺,5376,10928,1.22,0.81,44,29.8,12.6,50
2300040070,一般国道４号,三戸町・南部町境,三戸南部線,2445,0,1.2,三戸郡三戸町大字川守田字正浄寺,5552,三戸郡三戸町大字川守田字正浄寺,5376,10928,1.22,0.82,24.6,39.3,12.6,50
2300040080,一般国道４号,三戸南部線,浅水南部線,2445,0,0.3,三戸郡三戸町大字川守田字正浄寺,5552,三戸郡三戸町大字川守田字正浄寺,5376,10928,1.22,0.82,25.8,22.6,12.6,50
2300040090,一般国道４号,浅水南部線,赤石沖田面線,2445,0,1.7,三戸郡南部町大字玉掛字下タ川原,6523,三戸郡南部町大字玉掛字下タ川原,6289,12812,1.23,1.1,36.2,38.6,12.9,50
2300040100,一般国道４号,赤石沖田面線,高瀬諏訪平停車場線,2445,0,0.9,三戸郡南部町大字玉掛字下タ川原,6523,三戸郡南部町大字玉掛字下タ川原,6289,12812,1.23,1.1,48.4,50.2,12.9,50
2300040110,一般国道４号,高瀬諏訪平停車場線,高瀬諏訪平停車場線,2445,0,0.3,三戸郡南部町大字玉掛字下タ川原,6523,三戸郡南部町大字玉掛字下タ川原,6289,12812,1.23,1.1,35,31.8,12.9,50
2300040120,一般国道４号,高瀬諏訪平停車場線,軽米名川線,2445,0,3.8,三戸郡南部町大字虎渡字西山,6931,三戸郡南部町大字虎渡字西山,6468,13399,1.24,0.96,44.4,49.7,11.1,50
2300040130,一般国道４号,軽米名川線,一般国道１０４号,2445,0,0.6,三戸郡南部町大字虎渡字西山,6931,三戸郡南部町大字虎渡字西山,6468,13399,1.24,0.96,45.1,31.6,11.1,50
2300040140,一般国道４号,一般国道１０４号,南部町・五戸町境,2445,0,2.9,三戸郡五戸町大字浅水字十海塚,4328,三戸郡五戸町大字浅水字十海塚,4231,8559,1.2,0.97,58.5,60.5,11.1,50
2300040150,一般国道４号,南部町・五戸町境,浅水南部線,2442,0,2.3,三戸郡五戸町大字浅水字十海塚,4328,三戸郡五戸町大字浅水字十海塚,4231,8559,1.2,0.91,64.7,61.5,13,60
2300040160,一般国道４号,浅水南部線,一般国道４５４号,2442,0,1.3,三戸郡五戸町大字浅水字十海塚,4328,三戸郡五戸町大字浅水字十海塚,4231,8559,1.2,0.91,48.4,47.6,13,60
2300040170,一般国道４号,一般国道４５４号,,2442,0,1.8,三戸郡五戸町大字浅水字十海塚,4328,三戸郡五戸町大字浅水字十海塚,4231,8559,1.2,0.91,44.9,43.5,13,60
2300040180,一般国道４号,,橋向五戸線,2442,0,1.3,三戸郡五戸町大字浅水字十海塚,4328,三戸郡五戸町大字浅水字十海塚,4231,8559,1.2,0.91,50.8,55.4,13,60
2300040190,一般国道４号,橋向五戸線,一般国道４５４号,2442,0,1.3,三戸郡五戸町大字浅水字十海塚,4328,三戸郡五戸町大字浅水字十海塚,4231,8559,1.2,0.91,60.8,62.5,13,60
2300040200,一般国道４号,一般国道４５４号,五戸六戸線,2442,0,1.4,三戸郡五戸町大字浅水字十海塚,4328,三戸郡五戸町大字浅水字十海塚,4231,8559,1.2,0.91,61.1,60.1,13,60
2300040210,一般国道４号,五戸六戸線,切田五戸線,2442,0,0.5,十和田市大字三本木字野崎,3962,十和田市大字三本木字野崎,3980,7942,1.18,0.59,58.7,57.1,13,60
2300040220,一般国道４号,切田五戸線,五戸町・十和田市境,2442,0,1.8,十和田市大字三本木字野崎,3962,十和田市大字三本木字野崎,3980,7942,1.18,0.59,54.7,56.9,13,60
2300040230,一般国道４号,五戸町・十和田市境,米田六戸線,2206,0,1.1,十和田市大字三本木字野崎,3962,十和田市大字三本木字野崎,3980,7942,1.18,0.6,55.6,57.1,15,60
2300040240,一般国道４号,米田六戸線,,2206,0,2.4,十和田市大字三本木字野崎,3962,十和田市大字三本木字野崎,3980,7942,1.18,0.6,52.8,50.4,15,60
2300040250,一般国道４号,,一般国道４５号,2206,0,4.3,十和田市大字三本木字野崎,3962,十和田市大字三本木字野崎,3980,7942,1.18,0.6,45.7,39.8,15,60
2300040260,一般国道４号,一般国道４５号,十和田市・六戸町境,2206,0,0.4,十和田市大字三本木字里ノ沢,4486,十和田市大字三本木字里ノ沢,4144,8630,1.19,0.72,20.6,39.9,15,60
2300040270,一般国道４号,十和田市・六戸町境,,2405,0,0.1,十和田市大字三本木字里ノ沢,4486,十和田市大字三本木字里ノ沢,4144,8630,1.19,0.71,57.2,58.2,14,60
2300040280,一般国道４号,,六戸町・十和田市境,2405,0,0.6,十和田市大字三本木字里ノ沢,4486,十和田市大字三本木字里ノ沢,4144,8630,1.19,0.71,58.8,55.7,14,60
2300040290,一般国道４号,六戸町・十和田市境,三沢十和田線,2206,0,1.7,十和田市大字三本木字里ノ沢,4486,十和田市大字三本木字里ノ沢,4144,8630,1.19,0.72,43.8,46,14,60
2300040300,一般国道４号,三沢十和田線,上野十和田線,2206,0,1.6,十和田市大字三本木字一本木沢,5223,十和田市大字三本木字一本木沢,4533,9756,1.17,0.8,57.1,53.3,14,60
2300040310,一般国道４号,上野十和田線,三沢十和田線,2206,0,2.7,十和田市大字三本木字一本木沢,5223,十和田市大字三本木字一本木沢,4533,9756,1.17,0.8,52.7,47.3,14,60
2300040320,一般国道４号,三沢十和田線,立崎洞内線,2206,0,1.6,十和田市大字大沢田字笹舘,8495,十和田市大字大沢田字笹舘,7822,16317,1.24,1.36,39.8,37.6,12.1,50
2300040330,一般国道４号,立崎洞内線,市道（七戸旧国道線）,2206,0,2.8,十和田市大字大沢田字笹舘,8495,十和田市大字大沢田字笹舘,7822,16317,1.24,1.36,40.4,38.7,12.1,50
2300040340,一般国道４号,市道（七戸旧国道線）,十和田市・七戸町境,2206,0,0.5,上北郡七戸町字太田,6304,上北郡七戸町字太田,6211,12515,1.21,0.93,31.4,38.5,14.5,60
2300040350,一般国道４号,十和田市・七戸町境,三沢七戸線,2402,0,2.4,上北郡七戸町字太田,6304,上北郡七戸町字太田,6211,12515,1.21,0.95,52.5,52,14.5,60
2300040360,一般国道４号,三沢七戸線,一般国道３９４号,2402,0,1.2,上北郡七戸町字太田,6304,上北郡七戸町字太田,6211,12515,1.21,1.06,37.8,42.1,16.5,60
2300040370,一般国道４号,一般国道３９４号,町道（北野・荒熊内線）,2402,0,0.8,上北郡七戸町字太田,6304,上北郡七戸町字太田,6211,12515,1.21,1.06,39.7,40.6,16.5,60
2300040390,一般国道４号,町道（北野・荒熊内線）,乙供停車場中野線,2402,0,2.2,上北郡七戸町字荒熊内,5226,上北郡七戸町字荒熊内,4911,10137,1.22,0.94,39.8,38,15.75,50
2300040400,一般国道４号,乙供停車場中野線,後平青森線,2402,0,6.2,上北郡東北町字石坂,6835,上北郡東北町字石坂,6657,13492,1.24,0.99,44.1,43.4,15.2,60
2300040410,一般国道４号,後平青森線,七戸町・東北町境,2402,0,1,上北郡東北町字石坂,6835,上北郡東北町字石坂,6657,13492,1.24,0.99,41.4,48.7,15.2,60
2300040420,一般国道４号,七戸町・東北町境,八戸野辺地線,2408,0,4.8,上北郡東北町字石坂,6835,上北郡東北町字石坂,6657,13492,1.24,0.96,53.6,52.5,17.5,60
2300040430,一般国道４号,八戸野辺地線,東北町・野辺地町境,2408,0,0.8,上北郡東北町字石坂,6835,上北郡東北町字石坂,6657,13492,1.24,0.96,41.8,43.2,17.5,60
2300040440,一般国道４号,東北町・野辺地町境,野辺地町・東北町境,2401,0,0.2,上北郡東北町字石坂,6835,上北郡東北町字石坂,6657,13492,1.24,0.94,38,42.3,16.6,60
2300040450,一般国道４号,野辺地町・東北町境,一般国道２７９号,2408,0,0.3,上北郡東北町字石坂,6835,上北郡東北町字石坂,6657,13492,1.24,1.69,40,35.8,9.9,60
2300040460,一般国道４号,一般国道２７９号,東北町・野辺地町境,2408,0,0.4,上北郡東北町字石坂,6835,上北郡東北町字石坂,6657,13492,1.24,1.69,22.3,35,9.9,60
2300040470,一般国道４号,東北町・野辺地町境,一般国道２７９号,2401,0,0.5,上北郡東北町字石坂,6835,上北郡東北町字石坂,6657,13492,1.24,1.13,38.7,40.7,15.7,40
2300040480,一般国道４号,一般国道２７９号,馬門野辺地線,2401,0,5.1,上北郡野辺地町字槻ノ木,4199,上北郡野辺地町字槻ノ木,4150,8349,1.23,0.99,44.1,47,15.7,40
2300040490,一般国道４号,馬門野辺地線,野辺地町・平内町境,2401,0,0.9,上北郡野辺地町字八ノ木谷地,4971,上北郡野辺地町字八ノ木谷地,5160,10131,1.23,0.98,46.7,51.4,15.7,40
2300040500,一般国道４号,野辺地町・平内町境,狩場沢停車場線,2301,0,2,上北郡野辺地町字八ノ木谷地,4971,上北郡野辺地町字八ノ木谷地,5160,10131,1.23,1,56.4,58.5,11.9,50
2300040510,一般国道４号,狩場沢停車場線,清水川停車場線,2301,0,4.8,上北郡野辺地町字八ノ木谷地,4971,上北郡野辺地町字八ノ木谷地,5160,10131,1.23,1,55.3,55.7,11.9,50
2300040520,一般国道４号,清水川停車場線,清水川滝沢野内線,2301,0,0.7,上北郡野辺地町字八ノ木谷地,4971,上北郡野辺地町字八ノ木谷地,5160,10131,1.23,1,53.5,54.7,11.9,50
2300040530,一般国道４号,清水川滝沢野内線,夏泊公園線,2301,0,3.5,上北郡野辺地町字八ノ木谷地,4971,上北郡野辺地町字八ノ木谷地,5160,10131,1.23,1,57.4,55.4,11.9,50
2300040540,一般国道４号,夏泊公園線,小湊停車場線,2301,0,2.2,青森市大字浅虫字坂本,8142,青森市大字浅虫字坂本,6995,15137,1.26,1.56,44.4,41.4,11.9,50
2300040550,一般国道４号,小湊停車場線,,2301,0,1.7,青森市大字浅虫字坂本,8142,青森市大字浅虫字坂本,6995,15137,1.26,1.56,33.2,35.1,11.9,50
2300040560,一般国道４号,,西平内停車場線,2301,0,2.3,青森市大字浅虫字坂本,8142,青森市大字浅虫字坂本,6995,15137,1.26,1.63,51.3,53,12.7,60
2300040570,一般国道４号,西平内停車場線,夏泊公園線,2301,0,1.8,青森市大字浅虫字坂本,8142,青森市大字浅虫字坂本,6995,15137,1.26,1.63,48.7,47.1,12.7,60
2300040580,一般国道４号,夏泊公園線,町道（中野・土屋線）,2301,0,2.5,青森市大字浅虫字坂本,8142,青森市大字浅虫字坂本,6995,15137,1.26,1.26,56.1,57.8,13.8,60
2300040590,一般国道４号,町道（中野・土屋線）,平内町・青森市境,2301,0,0.9,青森市大字浅虫字坂本,8142,青森市大字浅虫字坂本,6995,15137,1.26,1.42,62.8,59.4,13,60
2300040600,一般国道４号,平内町・青森市境,市道（浅虫４０号線）,2201,0,0.3,青森市大字浅虫字坂本,8142,青森市大字浅虫字坂本,6995,15137,1.26,0.51,62.3,56.2,30.5,60
2300040610,一般国道４号,市道（浅虫４０号線）,増田浅虫線,2201,0,0.2,青森市大字浅虫字坂本,8142,青森市大字浅虫字坂本,6995,15137,1.26,0.63,55.5,53.6,24.6,60
2300040620,一般国道４号,増田浅虫線,増田浅虫線,2201,0,1.3,青森市大字浅虫字坂本,8142,青森市大字浅虫字坂本,6995,15137,1.26,0.63,52.2,47.5,24.6,60
2300040630,一般国道４号,増田浅虫線,久栗坂造道線,2201,0,1.5,青森市大字浅虫字坂本,8142,青森市大字浅虫字坂本,6995,15137,1.26,1.09,53.4,53.4,11.9,60
2300040640,一般国道４号,久栗坂造道線,青森環状野内線,2201,0,3.9,青森市大字矢田字牧原,6280,青森市大字矢田字牧原,6970,13250,1.26,0.89,51.5,52.3,11.9,60
2300040650,一般国道４号,青森環状野内線,青森東インター線,2201,0,1.2,青森市大字矢田字牧原,6280,青森市大字矢田字牧原,6970,13250,1.26,0.4,51,53.2,34.15,60
2300040660,一般国道４号,青森東インター線,,2201,0,1.1,青森市大字矢田字牧原,6280,青森市大字矢田字牧原,6970,13250,1.26,0.4,38.2,34.4,34.15,60
2300040670,一般国道４号,,一般国道７号,2201,0,0.3,青森市大字矢田字牧原,6280,青森市大字矢田字牧原,6970,13250,1.26,0.55,25.4,23.1,26.1,60
2300040675,一般国道４号,一般国道７号,久栗坂造道線,2201,0,1.7,青森市大字矢田前字弥生田,11156,青森市大字矢田前字弥生田,11178,22334,1.19,0.7,28.7,36.9,27.7,60
2300040680,一般国道４号,久栗坂造道線,市道（旧久栗坂造道線）,2201,0,1.3,青森市造道３丁目,12240,青森市造道３丁目,13609,25849,1.18,0.82,30.3,26.3,36.2,60
2300040690,一般国道４号,市道（旧久栗坂造道線）,青森浪岡線,2201,0,1.6,青森市栄町２丁目,15815,青森市栄町２丁目,17469,33284,1.21,0.74,23.6,26.7,36,50
2300040700,一般国道４号,青森浪岡線,一般国道１０３号,2201,0,0.9,青森市栄町２丁目,15815,青森市栄町２丁目,17469,33284,1.21,0.74,26.2,17.9,36,50
2300040710,一般国道４号,一般国道１０３号,青森停車場線,2201,0,0.4,青森市栄町２丁目,15815,青森市栄町２丁目,17469,33284,1.21,0.74,18.1,15.7,36,50
2300040720,一般国道４号,青森停車場線,一般国道７号,2201,0,0.4,青森市栄町２丁目,15815,青森市栄町２丁目,17469,33284,1.21,0.74,15.5,14.5,36,50
2300070010,一般国道７号,一般国道７号,一般国道２８２号,2210,0,3,平川市碇ヶ関大落前山,2826,平川市碇ヶ関大落前山,2724,5550,1.25,1.15,60.2,61.8,14.7,60
2300070020,一般国道７号,一般国道２８２号,東北自動車道,2210,0,2.3,平川市碇ヶ関大落前山,2826,平川市碇ヶ関大落前山,2724,5550,1.25,1.15,52.8,54.4,14.7,60
2300070030,一般国道７号,東北自動車道,碇ヶ関大鰐停車場線,2210,0,2.2,平川市碇ヶ関諏訪平,2597,平川市碇ヶ関諏訪平,2450,5047,1.25,1.15,47.5,48.2,14.7,60
2300070040,一般国道７号,碇ヶ関大鰐停車場線,平川市・大鰐町境,2210,0,1.4,平川市碇ヶ関諏訪平,2597,平川市碇ヶ関諏訪平,2450,5047,1.25,1.15,40.7,39.1,14.7,60
2300070050,一般国道７号,平川市・大鰐町境,一般国道４５４号,2362,0,2.5,南津軽郡大鰐町大字長峰字山辺,5410,南津軽郡大鰐町大字長峰字山辺,5379,10789,1.19,0.73,49.9,51.9,11.65,50
2300070060,一般国道７号,一般国道４５４号,大鰐停車場線,2362,0,2.4,南津軽郡大鰐町大字長峰字山辺,5410,南津軽郡大鰐町大字長峰字山辺,5379,10789,1.19,0.73,42.2,40.2,11.65,50
2300070070,一般国道７号,大鰐停車場線,蔵館大鰐線,2362,0,1.1,弘前市大字堀越字柳田,7507,弘前市大字堀越字柳田,8253,15760,1.22,0.94,43.7,43.1,12.6,50
