交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
12111100010,東京外環自動車道,,,12207,1,2,東京都境(三郷南IC）～松戸IC,27870,東京都境(三郷南IC）～松戸IC,29931,57801,1.43,0.69,62.8,23.9,23.5,80
12111100020,東京外環自動車道,,,12207,1,0.1,松戸IC～市川北IC,34724,松戸IC～市川北IC,37021,71745,1.41,0.86,49.8,27,23.5,80
12111100030,東京外環自動車道,,,12203,1,2.1,松戸IC～市川北IC,34724,松戸IC～市川北IC,37021,71745,1.41,0.86,38.2,29.5,23.5,80
12111100040,東京外環自動車道,,,12203,1,3.4,市川北IC～市川中央IC,32105,市川北IC～市川中央IC,33930,66035,1.41,0.81,40.9,24.6,23.5,80
12111100050,東京外環自動車道,,,12203,1,1.2,市川中央IC～京葉JCT,35677,市川中央IC～京葉JCT,37768,73445,1.4,0.9,43.1,22.9,23.5,80
12111100060,東京外環自動車道,,,12203,1,1.7,京葉JCT～市川南IC,18574,京葉JCT～市川南IC,20812,39386,1.4,0.51,54.7,55.4,23.5,80
12111100070,東京外環自動車道,,,12203,1,1.6,市川南IC～高谷JCT,13385,市川南IC～高谷JCT,15661,29046,1.37,0.42,57.5,77.8,23.5,80
12111200010,東関東自動車道,高速湾岸線,一般国道３５７号,12203,1,1,高谷JCT～湾岸市川IC,43133,高谷JCT～湾岸市川IC,44876,88009,1.41,0.72,85.2,55.6,30,80
12111200020,東関東自動車道,一般国道３５７号,市川市・船橋市境,12203,1,0.6,湾岸市川IC～谷津船橋IC,52956,湾岸市川IC～谷津船橋IC,54602,107558,1.39,0.89,76.2,55.7,30,80
12111200030,東関東自動車道,市川市・船橋市境,船橋市・習志野市境,12204,1,3.5,湾岸市川IC～谷津船橋IC,52956,湾岸市川IC～谷津船橋IC,54602,107558,1.39,0.89,65.3,72.1,30,80
12111200035,東関東自動車道,船橋市・習志野市境,一般国道３５７号,12216,1,0.4,湾岸市川IC～谷津船橋IC,52956,湾岸市川IC～谷津船橋IC,54602,107558,1.39,0.89,59.2,74.4,30,80
12111200040,東関東自動車道,一般国道３５７号,一般国道３５７号,12216,1,2.4,谷津船橋IC～湾岸習志野IC,44705,谷津船橋IC～湾岸習志野IC,44135,88840,1.39,0.73,63.8,76.7,30,80
12111200050,東関東自動車道,一般国道３５７号,習志野市・千葉市美浜区境,12216,1,0.7,湾岸習志野～湾岸千葉,33878,湾岸習志野～湾岸千葉,33036,66914,1.4,0.59,46.6,61.3,30,80
12111200060,東関東自動車道,習志野市・千葉市美浜区境,一般国道３５７号,12106,1,3,湾岸習志野～湾岸千葉,33878,湾岸習志野～湾岸千葉,33036,66914,1.4,0.59,77.9,76.4,30,80
12111200070,東関東自動車道,一般国道３５７号,千葉市美浜区・千葉市花見川区境,12106,1,1.7,湾岸千葉～宮野木J,39677,湾岸千葉～宮野木J,38789,78466,1.38,0.68,82.8,84.3,30,80
12111200080,東関東自動車道,千葉市美浜区・千葉市花見川区境,千葉市花見川区・千葉市稲毛区境,12102,1,0.1,湾岸千葉～宮野木J,39677,湾岸千葉～宮野木J,38789,78466,1.38,0.68,81.9,81.5,30,80
12111200090,東関東自動車道,千葉市花見川区・千葉市稲毛区境,一般国道１４号（京葉道路）,12103,1,3.3,湾岸千葉～宮野木J,39677,湾岸千葉～宮野木J,38789,78466,1.38,0.68,87.7,83,30,80
12111200100,東関東自動車道,一般国道１４号（京葉道路）,千葉市稲毛区・千葉市花見川区境,12103,1,0.3,宮野木J～千葉北,49283,宮野木J～千葉北,47898,97181,1.35,0.88,86.9,78,30,80
12111200110,東関東自動車道,千葉市稲毛区・千葉市花見川区境,千葉市花見川区・千葉市稲毛区境,12102,1,1.6,宮野木J～千葉北,49283,宮野木J～千葉北,47898,97181,1.35,0.88,55.4,53.8,30,80
12111200120,東関東自動車道,千葉市花見川区・千葉市稲毛区境,一般国道１６号,12103,1,0.2,宮野木J～千葉北,49283,宮野木J～千葉北,47898,97181,1.35,0.88,85.7,84.1,30,80
12111200130,東関東自動車道,一般国道１６号,千葉市稲毛区・千葉市花見川区境,12103,1,1.5,千葉北～四街道,36303,千葉北～四街道,35391,71694,1.33,0.7,85.6,90.1,32,100
12111200140,東関東自動車道,千葉市稲毛区・千葉市花見川区境,千葉市花見川区・四街道市境,12102,1,0.4,千葉北～四街道,36303,千葉北～四街道,35391,71694,1.33,0.7,79.3,90.7,32,100
12111200150,東関東自動車道,千葉市花見川区・四街道市境,千葉臼井印西線,12228,1,3.9,千葉北～四街道,36303,千葉北～四街道,35391,71694,1.33,0.7,88.4,90,32,100
12111200160,東関東自動車道,千葉臼井印西線,四街道市・佐倉市境,12228,1,2.2,四街道～佐倉,33267,四街道～佐倉,31758,65025,1.32,0.68,88.8,89.9,32,100
12111200170,東関東自動車道,四街道市・佐倉市境,佐倉市道,12212,1,3.2,四街道～佐倉,33267,四街道～佐倉,31758,65025,1.32,0.68,90,93.2,32,100
12111200180,東関東自動車道,佐倉市道,佐倉市・酒々井町境,12212,1,2.9,佐倉～酒々井,28741,佐倉～酒々井,27646,56387,1.32,0.62,87.5,92.6,32,100
12111200190,東関東自動車道,佐倉市・酒々井町境,酒々井町・佐倉市境,12322,1,1,佐倉～酒々井,28741,佐倉～酒々井,27646,56387,1.32,0.62,92.3,91.4,32,100
12111200200,東関東自動車道,酒々井町・佐倉市境,佐倉市・酒々井町境,12212,1,0.5,佐倉～酒々井,28741,佐倉～酒々井,27646,56387,1.32,0.62,90.2,92.6,32,100
12111200210,東関東自動車道,佐倉市・酒々井町境,富里酒々井線,12322,1,2.6,佐倉～酒々井,28741,佐倉～酒々井,27646,56387,1.32,0.62,86.9,92.9,32,100
12111200220,東関東自動車道,富里酒々井線,富里市・酒々井町境,12233,1,1.7,酒々井～富里,24989,酒々井～富里,24114,49103,1.31,0.55,94.1,93,32,100
12111200230,東関東自動車道,富里市・酒々井町境,酒々井町・富里市境,12322,1,0.1,酒々井～富里,24989,酒々井～富里,24114,49103,1.31,0.55,92.8,90.3,32,100
12111200240,東関東自動車道,酒々井町・富里市境,一般国道４０９号,12233,1,0.7,酒々井～富里,24989,酒々井～富里,24114,49103,1.31,0.55,91,93.6,32,100
12111200250,東関東自動車道,一般国道４０９号,富里市・成田市境,12233,1,3.3,富里～成田(JCT),21632,富里～成田(JCT),20195,41827,1.31,0.48,90.6,94.2,32,100
12111200260,東関東自動車道,富里市・成田市境,新空港自動車道,12211,1,2.1,富里～成田(JCT),21632,富里～成田(JCT),20195,41827,1.31,0.48,90.1,93.1,32,100
12111200265,東関東自動車道,新空港自動車道,一般国道４６８号,12211,1,4.5,成田(JCT)～大栄J,15022,成田(JCT)～大栄J,14066,29088,1.29,0.51,90.5,91,24.5,100
12111200270,東関東自動車道,一般国道４６８号,一般国道５１号,12211,1,7.2,大栄J～大栄,11429,大栄J～大栄,10938,22367,1.27,0.44,90.3,90.9,24.5,100
12111200280,東関東自動車道,一般国道５１号,成田市・香取市境,12211,1,1.3,大栄～佐原香取,8325,大栄～佐原香取,8025,16350,1.27,0.31,94.5,92.8,24.5,100
12111200290,東関東自動車道,成田市・香取市境,佐原山田線,12236,1,8,大栄～佐原香取,8325,大栄～佐原香取,8025,16350,1.27,0.31,91.1,94.3,24.5,100
12111200300,東関東自動車道,佐原山田線,東関東自動車道,12236,1,6.4,佐原香取～潮来,6104,佐原香取～潮来,5930,12034,1.27,0.25,92.9,91.5,24.5,100
12111210010,新空港自動車道,東関東自動車道,一般国道２９５号,12211,1,0.7,成田(JCT)～成田スマート,2752,成田(JCT)～成田スマート,2982,5734,1.4,0.11,53.8,52.4,24.5,100
12111210020,新空港自動車道,一般国道２９５号,一般国道２９５号,12211,1,0.6,成田(JCT)～成田スマート,2752,成田(JCT)～成田スマート,2982,5734,1.4,0.11,66.1,56.8,24.5,100
12111210030,新空港自動車道,一般国道２９５号,,12211,1,2.6,成田スマート～新空港,2752,成田スマート～新空港,3129,5881,1.39,0.12,84.3,61.1,24.5,100
