交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
38110610010,徳島自動車道,徳島自動車道,高知自動車道,38213,1,6.5,井川池田～川之江東JCT,2094,井川池田～川之江東JCT,2060,4154,1.39,0.56,83.1,88.4,10.5,70
38110620010,松山自動車道,高松自動車道,一般国道１１号,38213,1,3.2,川之江JCT～三島川之江,9588,川之江JCT～三島川之江,9433,19021,1.34,0.38,90.3,91.2,23.5,100
38110620020,松山自動車道,一般国道１１号,一般国道１１号,38213,1,11,三島川之江～土居,9478,三島川之江～土居,9316,18794,1.31,0.33,94.6,95.1,23.5,100
38110620030,松山自動車道,一般国道１１号,四国中央市・新居浜市境,38213,1,9.5,土居～新居浜,9034,土居～新居浜,9028,18062,1.31,0.31,91.6,94,23.5,100
38110620040,松山自動車道,四国中央市・新居浜市境,新居浜別子山線,38205,1,3.8,土居～新居浜,9034,土居～新居浜,9028,18062,1.31,0.31,90.7,95.8,23.5,100
38110620050,松山自動車道,新居浜別子山線,新居浜市・西条市境,38205,1,8.5,新居浜～いよ西条,8487,新居浜～いよ西条,8395,16882,1.31,0.33,95.5,94.9,23.5,100
38110620060,松山自動車道,新居浜市・西条市境,一般国道１１号,38206,1,0.4,新居浜～いよ西条,8487,新居浜～いよ西条,8395,16882,1.31,0.33,92.6,94.5,23.5,100
38110620070,松山自動車道,一般国道１１号,一般国道１１号,38206,1,15.4,いよ西条～いよ小松(JCT),9120,いよ西条～いよ小松(JCT),8942,18062,1.3,0.34,92.7,92.7,22,80
38110620080,松山自動車道,一般国道１１号,西条市・東温市境,38206,1,12.8,いよ小松(JCT)～川内,9924,いよ小松(JCT)～川内,9676,19600,1.3,0.35,96.1,94,22,80
38110620090,松山自動車道,西条市・東温市境,一般国道１１号,38215,1,8.6,いよ小松(JCT)～川内,9924,いよ小松(JCT)～川内,9676,19600,1.3,0.35,91.7,94.8,22,80
38110620100,松山自動車道,一般国道１１号,東温市・松山市境,38215,1,7.5,川内～松山,7950,川内～松山,7546,15496,1.28,0.25,94.6,97.9,23.5,100
38110620110,松山自動車道,東温市・松山市境,久米垣生線,38201,1,4.5,川内～松山,7950,川内～松山,7546,15496,1.28,0.25,89.4,91.2,23.5,100
38110620120,松山自動車道,久米垣生線,松山市・砥部町境,38201,1,0.4,松山～伊予,4657,松山～伊予,4256,8913,1.22,0.73,75.8,80.8,11.25,70
38110620130,松山自動車道,松山市・砥部町境,砥部町・伊予市境,38402,1,0.6,松山～伊予,4657,松山～伊予,4256,8913,1.22,0.73,76.4,84.2,11.25,70
38110620140,松山自動車道,砥部町・伊予市境,一般国道５６号,38210,1,8.9,松山～伊予,4657,松山～伊予,4256,8913,1.22,0.73,81,86.1,11.25,70
38110620145,松山自動車道,一般国道５６号,市道日尾野引坂線,38210,1,7.7,伊予～中山スマート,5389,伊予～中山スマート,5026,10415,1.21,1.14,77.3,82.3,10.5,70
38110620150,松山自動車道,市道日尾野引坂線,伊予市・内子町境,38210,1,6.7,中山スマート～内子五十崎,5226,中山スマート～内子五十崎,4875,10101,1.2,1.15,78.5,80.8,10.5,70
38110620160,松山自動車道,伊予市・内子町境,一般国道５６号,38422,1,9.6,中山スマート～内子五十崎,5226,中山スマート～内子五十崎,4875,10101,1.2,1.15,78.6,85.3,10.5,70
38110620170,松山自動車道,一般国道５６号,内子町・大洲市境,38422,1,2.4,内子五十崎～大洲,4600,内子五十崎～大洲,4207,8807,1.19,1.03,82.3,91.2,10.5,70
38110620180,松山自動車道,内子町・大洲市境,一般国道５６号,38207,1,4.8,内子五十崎～大洲,4600,内子五十崎～大洲,4207,8807,1.19,1.03,74.2,74.5,10.5,70
38110620190,松山自動車道,一般国道５６号,一般国道５６号（大洲道路）,38207,1,0.9,内子五十崎～大洲,4600,内子五十崎～大洲,4207,8807,1.19,1.03,79.3,74.5,10.5,70
38110620210,松山自動車道,一般国道５６号（大洲道路）,一般国道１９７号,38207,1,0.5,一般国道５６号（大洲道路）～四国横断自動車道（愛南大洲線）西予宇和ＩＣ,2867,一般国道５６号（大洲道路）～四国横断自動車道（愛南大洲線）西予宇和ＩＣ,2714,5581,1.16,0.73,86,85.5,10.5,70
38110620220,松山自動車道,一般国道１９７号,大洲市・西予市境,38207,1,6,一般国道５６号（大洲道路）～四国横断自動車道（愛南大洲線）西予宇和ＩＣ,2867,一般国道５６号（大洲道路）～四国横断自動車道（愛南大洲線）西予宇和ＩＣ,2714,5581,1.16,0.73,79.3,83,10.5,70
38110620230,松山自動車道,大洲市・西予市境,四国横断自動車道（愛南大洲線）,38214,1,9.2,一般国道５６号（大洲道路）～四国横断自動車道（愛南大洲線）西予宇和ＩＣ,2867,一般国道５６号（大洲道路）～四国横断自動車道（愛南大洲線）西予宇和ＩＣ,2714,5581,1.16,0.73,83.8,82.1,10.5,70
38116110010,高松自動車道,高松自動車道,松山自動車道,38213,1,4.3,大野原～川之江JCT,10098,大野原～川之江JCT,9891,19989,1.34,0.33,96.2,95.1,23.5,100
38116120010,高知自動車道,松山自動車道,徳島自動車道,38213,1,2.2,川之江JCT～川之江東JCT,5334,川之江JCT～川之江東JCT,5386,10720,1.33,0.26,87.4,77.9,20.5,70
38116120020,高知自動車道,徳島自動車道,川之江大豊線,38213,1,8.6,川之江東JCT～新宮,4961,川之江東JCT～新宮,4875,9836,1.32,0.27,96.1,92.4,20.5,80
38116120030,高知自動車道,川之江大豊線,高知自動車道,38213,1,5.4,新宮～大豊,4866,新宮～大豊,4804,9670,1.32,0.27,83.2,89.5,20.5,80
38110620260,四国横断自動車道（愛南大洲線）,宇和三間線,一般国道５６号（宇和島道路）,38203,1,5,三間IC～宇和島北IC,7193,三間IC～宇和島北IC,7181,14374,1.17,1.1,73.8,76.4,10.5,70
