交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
18110800010,北陸自動車道,北陸自動車道,金津インター線,18208,1,3.5,加賀～金津,10919,加賀～金津,11413,22332,1.46,0.39,89.8,89.7,25,80
18110800020,北陸自動車道,金津インター線,あわら市・坂井市境,18208,1,6.5,金津～丸岡,10895,金津～丸岡,11606,22501,1.46,0.31,88.3,89,25,80
18110800030,北陸自動車道,あわら市・坂井市境,丸岡インター線,18210,1,4,金津～丸岡,10895,金津～丸岡,11606,22501,1.46,0.31,88.1,88.4,25,80
18110800040,北陸自動車道,丸岡インター線,坂井市・永平寺町境,18210,1,3.1,丸岡～福井北JCT,10865,丸岡～福井北JCT,11810,22675,1.46,0.31,89.4,91.5,25,80
18110800050,北陸自動車道,坂井市・永平寺町境,永平寺町・福井市境,18322,1,1.8,丸岡～福井北JCT,10865,丸岡～福井北JCT,11810,22675,1.46,0.31,80,79.6,24.5,100
18110800060,北陸自動車道,永平寺町・福井市境,北陸自動車道,18201,1,1.9,丸岡～福井北JCT,10865,丸岡～福井北JCT,11810,22675,1.46,0.31,75.3,88.3,24.5,100
18110800070,北陸自動車道,北陸自動車道,一般国道１５８号,18201,1,6.4,福井北JCT～福井,11557,福井北JCT～福井,12208,23765,1.46,0.36,84,90.5,24.5,100
18110800080,北陸自動車道,一般国道１５８号,福井市・鯖江市境,18201,1,6.6,福井～鯖江,12742,福井～鯖江,12914,25656,1.43,0.37,80.5,89.3,24.5,100
18110800090,北陸自動車道,福井市・鯖江市境,鯖江市・福井市境,18207,1,1.2,福井～鯖江,12742,福井～鯖江,12914,25656,1.43,0.37,87.1,87.1,24.5,100
18110800100,北陸自動車道,鯖江市・福井市境,福井市・鯖江市境,18201,1,0.3,福井～鯖江,12742,福井～鯖江,12914,25656,1.43,0.37,84.7,87,24.5,100
18110800110,北陸自動車道,福井市・鯖江市境,鯖江インター線,18207,1,2.5,福井～鯖江,12742,福井～鯖江,12914,25656,1.43,0.37,87.6,85.8,24.5,100
18110800120,北陸自動車道,鯖江インター線,鯖江市・越前市境,18207,1,2.5,鯖江～武生,12092,鯖江～武生,12392,24484,1.47,0.35,90.6,91.1,24.5,100
18110800130,北陸自動車道,鯖江市・越前市境,武生インター線,18209,1,3.1,鯖江～武生,12092,鯖江～武生,12392,24484,1.47,0.35,91.1,86.9,22,100
18110800140,北陸自動車道,武生インター線,越前市・南越前町境,18209,1,5.5,武生～南条スマート,11634,武生～南条スマート,12124,23758,1.5,0.42,74.9,82.2,23.5,80
18110800150,北陸自動車道,越前市・南越前町境,鯖波エリア線,18404,1,3.4,武生～南条スマート,11634,武生～南条スマート,12124,23758,1.5,0.42,76,86.3,23.5,80
18110800160,北陸自動車道,鯖波エリア線,一般国道３０５号,18404,1,3.6,南条スマート～今庄,11601,南条スマート～今庄,12054,23655,1.5,0.33,84.2,86.7,23.5,80
18110800170,北陸自動車道,一般国道３０５号,南越前町・敦賀市境,18404,1,9.1,今庄～敦賀,11700,今庄～敦賀,12228,23928,1.5,0.43,88.8,79.7,22,80
18110800180,北陸自動車道,南越前町・敦賀市境,一般国道８号,18202,1,12.5,今庄～敦賀,11700,今庄～敦賀,12228,23928,1.5,0.43,86.5,81.4,22,80
18110800185,北陸自動車道,一般国道８号,舞鶴若狭自動車道,18202,1,1.2,敦賀～敦賀JCT,9689,敦賀～敦賀JCT,10308,19997,1.58,0.57,91.9,86.1,22,80
18110800190,北陸自動車道,舞鶴若狭自動車道,北陸自動車道,18202,1,9.1,敦賀JCT～木之本,8015,敦賀JCT～木之本,8565,16580,1.59,0.47,90.9,86.4,22,80
18301580490,北陸自動車道,北陸自動車道,一般国道１５８号（中部縦貫道）,18201,1,0.4,福井北JCT～福井北,3787,福井北JCT～福井北,4081,7868,1.26,0.15,46.7,42.6,24.5,100
18112100010,舞鶴若狭自動車道,舞鶴若狭自動車道,高浜町・おおい町境,18481,1,7,舞鶴東～大飯高浜,2273,舞鶴東～大飯高浜,2173,4446,1.58,0.62,82.1,79.7,9,70
18112100020,舞鶴若狭自動車道,高浜町・おおい町境,坂本高浜線,18483,1,1.9,舞鶴東～大飯高浜,2273,舞鶴東～大飯高浜,2173,4446,1.58,0.62,84.1,83.5,9,70
18112100030,舞鶴若狭自動車道,坂本高浜線,おおい町・小浜市境,18483,1,9.9,大飯高浜～小浜西,2174,大飯高浜～小浜西,2055,4229,1.62,0.65,82.3,79.9,9,70
18112100040,舞鶴若狭自動車道,おおい町・小浜市境,小浜綾部線,18204,1,1.6,大飯高浜～小浜西,2174,大飯高浜～小浜西,2055,4229,1.62,0.65,84.1,81.3,9,70
18112100060,舞鶴若狭自動車道,小浜綾部線,小浜上中線,18204,1,11.4,小浜西～小浜,2492,小浜西～小浜,2420,4912,1.57,0.6,84.8,84.9,9,70
18101900010,舞鶴若狭自動車道,小浜上中線,小浜市・若狭町境,18204,1,7.4,若狭上中～小浜,3074,若狭上中～小浜,3044,6118,1.49,0.74,81.6,82.9,12,70
18101900020,舞鶴若狭自動車道,小浜市・若狭町境,上中田烏線,18501,1,1.7,若狭上中～小浜,3074,若狭上中～小浜,3044,6118,1.49,0.74,81.3,81.5,12,70
18101900025,舞鶴若狭自動車道,上中田烏線,三方五湖ＳＩＣ,18501,1,7,三方五湖スマート～若狭上中,3237,三方五湖スマート～若狭上中,3208,6445,1.47,0.78,83.6,80.2,12,70
18101900030,舞鶴若狭自動車道,三方五湖ＳＩＣ,一般国道２７号,18501,1,2.2,若狭三方～三方五湖スマート,3272,若狭三方～三方五湖スマート,3251,6523,1.46,0.75,81.7,82.3,12,70
18101900040,舞鶴若狭自動車道,一般国道２７号,若狭町・美浜町境,18501,1,0.8,若狭美浜～若狭三方,3304,若狭美浜～若狭三方,3306,6610,1.46,0.75,81.6,82,12,70
18101900050,舞鶴若狭自動車道,若狭町・美浜町境,一般国道２７号,18442,1,6.3,若狭美浜～若狭三方,3304,若狭美浜～若狭三方,3306,6610,1.46,0.75,80.3,81.4,12,70
18101900060,舞鶴若狭自動車道,一般国道２７号,美浜町・敦賀市境,18442,1,3,敦賀南スマート～若狭美浜,2770,敦賀南スマート～若狭美浜,2728,5498,1.49,0.66,82.7,78.5,12,70
