交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
40110300010,九州縦貫自動車道鹿児島線宮崎線,関門自動車道,新門司港大里線,40101,1,4.4,門司～新門司,12468,門司～新門司,13182,25650,1.64,0.7,84,86.4,23.5,100
40110300020,九州縦貫自動車道鹿児島線宮崎線,新門司港大里線,北九州市門司区・北九州市小倉南区境,40101,1,3.4,新門司～小倉東,14831,新門司～小倉東,15458,30289,1.56,0.52,84.2,84.8,23.5,100
40110300030,九州縦貫自動車道鹿児島線宮崎線,北九州市門司区・北九州市小倉南区境,北九州高速１号線,40107,1,5.5,新門司～小倉東,14831,新門司～小倉東,15458,30289,1.56,0.52,73.5,86.9,23.5,100
40110300040,九州縦貫自動車道鹿児島線宮崎線,北九州高速１号線,東九州自動車道,40107,1,3.1,小倉東～北九州JCT,19514,小倉東～北九州JCT,20388,39902,1.46,0.67,78.2,86.2,23.5,100
40110300050,九州縦貫自動車道鹿児島線宮崎線,東九州自動車道,一般国道３２２号,40107,1,3.8,北九州JCT～小倉南,18193,北九州JCT～小倉南,18831,37024,1.47,0.81,87.3,87.9,23.5,100
40110300060,九州縦貫自動車道鹿児島線宮崎線,一般国道３２２号,北九州市小倉南区・北九州市八幡東区境,40107,1,4.7,小倉南～八幡,19808,小倉南～八幡,20504,40312,1.44,0.91,88.1,88.9,23.5,100
40110300070,九州縦貫自動車道鹿児島線宮崎線,北九州市小倉南区・北九州市八幡東区境,北九州市八幡東区・北九州市八幡西区境,40108,1,1.4,小倉南～八幡,19808,小倉南～八幡,20504,40312,1.44,0.91,79.9,85.6,23.5,100
40110300080,九州縦貫自動車道鹿児島線宮崎線,北九州市八幡東区・北九州市八幡西区境,その他の道路,40109,1,5,小倉南～八幡,19808,小倉南～八幡,20504,40312,1.44,0.91,83.5,85.5,23.5,100
40110300090,九州縦貫自動車道鹿児島線宮崎線,その他の道路,北九州市八幡西区・直方市境,40109,1,2.5,八幡～鞍手,27559,八幡～鞍手,28192,55751,1.36,0.82,86.5,86,24.5,100
40110300100,九州縦貫自動車道鹿児島線宮崎線,北九州市八幡西区・直方市境,直方市・鞍手町境,40204,1,1.7,八幡～鞍手,27559,八幡～鞍手,28192,55751,1.36,0.82,81.4,86.6,24.5,100
