交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
7110400010,東北自動車道,東北自動車道,一般国道４号,7461,1,2.8,那須高原スマート～白河,12421,那須高原スマート～白河,12192,24613,1.71,0.37,89.8,91.1,24.5,100
7110400020,東北自動車道,一般国道４号,西郷村・白河市境,7461,1,5,白河～白河中央スマート,12241,白河～白河中央スマート,12248,24489,1.7,0.34,89.9,92.3,24.5,100
7110400030,東北自動車道,西郷村・白河市境,市道（白河中央IC南線）,7205,1,1.7,白河～白河中央スマート,12241,白河～白河中央スマート,12248,24489,1.7,0.34,90.7,93.4,24.5,100
7110400040,東北自動車道,市道（白河中央IC南線）,白河市・泉崎村境,7205,1,6.2,白河中央スマート～矢吹,13332,白河中央スマート～矢吹,13479,26811,1.63,0.36,90.2,92.9,24.5,100
7110400050,東北自動車道,白河市・泉崎村境,泉崎村・白河市境,7464,1,3.6,白河中央スマート～矢吹,13332,白河中央スマート～矢吹,13479,26811,1.63,0.36,91.5,92.8,24.5,100
7110400060,東北自動車道,泉崎村・白河市境,一般国道４号,7205,1,0.1,白河中央スマート～矢吹,13332,白河中央スマート～矢吹,13479,26811,1.63,0.36,91.6,91.7,24.5,100
7110400070,東北自動車道,一般国道４号,白河市・矢吹町境,7205,1,0.4,矢吹～鏡石スマート,13895,矢吹～鏡石スマート,13926,27821,1.6,0.4,90.5,91.1,24.5,100
7110400080,東北自動車道,白河市・矢吹町境,矢吹町・鏡石町境,7466,1,3,矢吹～鏡石スマート,13895,矢吹～鏡石スマート,13926,27821,1.6,0.4,91.1,93.2,24.5,100
7110400090,東北自動車道,矢吹町・鏡石町境,下松本鏡石停車場線,7342,1,4.2,矢吹～鏡石スマート,13895,矢吹～鏡石スマート,13926,27821,1.6,0.4,90.8,91.7,24.5,100
7110400100,東北自動車道,下松本鏡石停車場線,鏡石町・須賀川市境,7342,1,3,鏡石スマート～須賀川,14048,鏡石スマート～須賀川,14090,28138,1.59,0.4,87.1,91.5,24.5,100
7110400110,東北自動車道,鏡石町・須賀川市境,中野須賀川線,7207,1,1.3,鏡石スマート～須賀川,14048,鏡石スマート～須賀川,14090,28138,1.59,0.4,90.7,92.4,24.5,100
7110400120,東北自動車道,中野須賀川線,須賀川市・郡山市境,7207,1,6,須賀川～郡山南,14322,須賀川～郡山南,14282,28604,1.55,0.41,91.9,92,24.5,100
