交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
21110110010,名神高速道路,名神高速道路,岐阜羽島インター線,21209,1,3.2,一宮JCT～岐阜羽島,27504,一宮JCT～岐阜羽島,28457,55961,1.45,0.7,60.9,82.5,24,100
21110110020,名神高速道路,岐阜羽島インター線,羽島市・安八町境,21209,1,2.6,岐阜羽島～安八スマート,23062,岐阜羽島～安八スマート,23689,46751,1.48,0.66,66.6,83.9,24,100
21110110025,名神高速道路,羽島市・安八町境,安八町道南長田坊野１号線,21383,1,0.9,岐阜羽島～安八スマート,23062,岐阜羽島～安八スマート,23689,46751,1.48,0.66,70.6,84.9,24,100
21110110030,名神高速道路,安八町道南長田坊野１号線,安八町・大垣市境,21383,1,1.4,安八スマート～大垣,21106,安八スマート～大垣,21712,42818,1.49,0.61,76.4,86.8,24,100
21110110040,名神高速道路,安八町・大垣市境,一般国道２５８号,21202,1,1.9,安八スマート～大垣,21106,安八スマート～大垣,21712,42818,1.49,0.61,80.7,82.3,24,100
21110110050,名神高速道路,一般国道２５８号,大垣市・養老町境,21202,1,2.1,大垣～養老JCT,17627,大垣～養老JCT,18258,35885,1.55,0.49,87.2,88.5,24,100
21110110055,名神高速道路,大垣市・養老町境,一般国道４７５号（東海環状道）,21341,1,1.4,大垣～養老JCT,17627,大垣～養老JCT,18258,35885,1.55,0.49,90.2,89.6,24,100
21110110059,名神高速道路,一般国道４７５号（東海環状道）,養老町道安久橋詰１号線,21341,1,3.4,養老JCT～養老SAスマート,16613,養老JCT～養老SAスマート,17057,33670,1.59,0.44,85.2,87.9,24,100
21110110060,名神高速道路,養老町道安久橋詰１号線,養老町・大垣市境,21341,1,1.3,養老SAスマート～関ヶ原,15917,養老SAスマート～関ヶ原,16242,32159,1.6,0.42,87.7,83.7,24,100
21110110070,名神高速道路,養老町・大垣市境,大垣市・関ケ原町境,21202,1,6,養老SAスマート～関ヶ原,15917,養老SAスマート～関ヶ原,16242,32159,1.6,0.42,88.5,87.1,24,100
21110110080,名神高速道路,大垣市・関ケ原町境,一般国道３６５号,21362,1,0.3,養老SAスマート～関ヶ原,15917,養老SAスマート～関ヶ原,16242,32159,1.6,0.42,86.8,89.2,24,80
21110110090,名神高速道路,一般国道３６５号,名神高速道路,21362,1,5.4,関ヶ原～米原JCT,15678,関ヶ原～米原JCT,15964,31642,1.6,0.52,89.1,86.1,24,80
21111000010,中央自動車道西宮線,中央自動車道西宮線,一般国道１９号,21206,1,16.8,園原～中津川,10051,園原～中津川,11062,21113,1.81,0.28,79.9,80.3,20.5,80
21111000020,中央自動車道西宮線,一般国道１９号,中津川市・恵那市境,21206,1,5,中津川～恵那,12314,中津川～恵那,13373,25687,1.64,0.37,85.3,89.2,21.5,80
21111000030,中央自動車道西宮線,中津川市・恵那市境,恵那白川線,21210,1,4.4,中津川～恵那,12314,中津川～恵那,13373,25687,1.64,0.37,84.4,85.9,21.5,80
21111000040,中央自動車道西宮線,恵那白川線,恵那市・瑞浪市境,21210,1,6.4,恵那～瑞浪,14988,恵那～瑞浪,16223,31211,1.53,0.45,86.5,90.9,21.5,80
21111000050,中央自動車道西宮線,恵那市・瑞浪市境,瑞浪インター線,21208,1,11.7,恵那～瑞浪,14988,恵那～瑞浪,16223,31211,1.53,0.45,85.8,86.9,21.5,80
21111000060,中央自動車道西宮線,瑞浪インター線,瑞浪市・土岐市境,21208,1,1.6,瑞浪～土岐,17339,瑞浪～土岐,18784,36123,1.48,0.54,84.9,84.3,21.5,80
21111000070,中央自動車道西宮線,瑞浪市・土岐市境,一般国道２１号,21212,1,2.9,瑞浪～土岐,17339,瑞浪～土岐,18784,36123,1.48,0.54,86.3,86.4,21.5,80
21111000080,中央自動車道西宮線,一般国道２１号,一般国道４７５号（東海環状道）,21212,1,2.5,土岐～土岐JCT,18511,土岐～土岐JCT,20174,38685,1.46,0.59,87.8,86.9,21.5,80
21111000090,中央自動車道西宮線,一般国道４７５号（東海環状道）,土岐市・多治見市境,21212,1,1.9,土岐JCT～多治見,16695,土岐JCT～多治見,18151,34846,1.44,0.61,88.6,80.4,21.5,80
21111000100,中央自動車道西宮線,土岐市・多治見市境,一般国道２４８号,21204,1,4.4,土岐JCT～多治見,16695,土岐JCT～多治見,18151,34846,1.44,0.61,86.3,86.6,21.5,80
21111000110,中央自動車道西宮線,一般国道２４８号,中央自動車道西宮線,21204,1,4.4,多治見～小牧東,19013,多治見～小牧東,20500,39513,1.43,0.71,78.5,79.2,21.5,80
21118300010,東海北陸自動車道,東海北陸自動車道,各務原市・笠松町境,21213,1,1.9,一宮木曽川～岐阜各務原,14543,一宮木曽川～岐阜各務原,14622,29165,1.27,0.49,87.5,85.7,22,80
21118300020,東海北陸自動車道,各務原市・笠松町境,笠松町・岐南町境,21303,1,0.7,一宮木曽川～岐阜各務原,14543,一宮木曽川～岐阜各務原,14622,29165,1.27,0.49,85.9,85.2,22,80
21118300030,東海北陸自動車道,笠松町・岐南町境,岐南町・各務原市境,21302,1,0.6,一宮木曽川～岐阜各務原,14543,一宮木曽川～岐阜各務原,14622,29165,1.27,0.49,89.9,82.3,22,80
21118300040,東海北陸自動車道,岐南町・各務原市境,一般国道２１号,21213,1,0.2,一宮木曽川～岐阜各務原,14543,一宮木曽川～岐阜各務原,14622,29165,1.27,0.49,92.5,92.6,22,80
21118300050,東海北陸自動車道,一般国道２１号,各務原市・岐阜市境,21213,1,1.2,岐阜各務原～関,11106,岐阜各務原～関,10211,21317,1.26,0.38,90.6,86.5,22,80
21118300060,東海北陸自動車道,各務原市・岐阜市境,岐阜市・各務原市境,21201,1,0.1,岐阜各務原～関,11106,岐阜各務原～関,10211,21317,1.26,0.38,89.4,78,22,80
