交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
10110400010,東北自動車道,東北自動車道,明和町・館林市境,10522,1,1.8,羽生～館林,35283,羽生～館林,32864,68147,1.42,0.8,85.8,90.4,32.25,100
10110400020,東北自動車道,明和町・館林市境,一般国道３５４号,10207,1,0.7,羽生～館林,35283,羽生～館林,32864,68147,1.42,0.8,88.2,91.7,32.25,100
10110400030,東北自動車道,一般国道３５４号,館林市・板倉町境,10207,1,1.5,館林～佐野藤岡,31714,館林～佐野藤岡,29563,61277,1.42,0.73,89.5,93.1,32.25,100
10110400040,東北自動車道,館林市・板倉町境,板倉町・館林市境,10521,1,0.5,館林～佐野藤岡,31714,館林～佐野藤岡,29563,61277,1.42,0.73,88,93.3,32.25,100
10110400050,東北自動車道,板倉町・館林市境,館林市・板倉町境,10207,1,1.9,館林～佐野藤岡,31714,館林～佐野藤岡,29563,61277,1.42,0.73,89.5,93.2,32.25,100
10110400060,東北自動車道,館林市・板倉町境,板倉町・館林市境,10521,1,0.1,館林～佐野藤岡,31714,館林～佐野藤岡,29563,61277,1.42,0.73,90.7,92.2,32.25,100
10110400070,東北自動車道,板倉町・館林市境,館林市・板倉町境,10207,1,1.3,館林～佐野藤岡,31714,館林～佐野藤岡,29563,61277,1.42,0.73,92.1,92,32.25,100
10110400080,東北自動車道,館林市・板倉町境,東北自動車道,10521,1,0.4,館林～佐野藤岡,31714,館林～佐野藤岡,29563,61277,1.42,0.73,90.5,90.9,32.25,100
10114600010,北関東自動車道,関越自動車道,高崎市・前橋市境,10202,1,1.1,高崎JCT～前橋南,19568,高崎JCT～前橋南,19706,39274,1.3,0.68,82.9,84.5,23.5,100
10114600020,北関東自動車道,高崎市・前橋市境,前橋玉村線,10201,1,1.9,高崎JCT～前橋南,19568,高崎JCT～前橋南,19706,39274,1.3,0.68,87.6,90.8,23.5,100
10114600030,北関東自動車道,前橋玉村線,前橋館林線,10201,1,4.5,前橋南～駒形,19075,前橋南～駒形,19116,38191,1.29,0.65,90.3,91.3,23.5,100
10114600040,北関東自動車道,前橋館林線,前橋市・伊勢崎市境,10201,1,2.8,駒形～波志江スマート,18996,駒形～波志江スマート,18881,37877,1.29,0.66,90.5,90.5,23.5,100
10114600050,北関東自動車道,前橋市・伊勢崎市境,伊勢崎市道,10204,1,1.4,駒形～波志江スマート,18996,駒形～波志江スマート,18881,37877,1.29,0.66,85.3,90.3,23.5,100
10114600060,北関東自動車道,伊勢崎市道,一般国道１７号,10204,1,2.8,波志江スマート～伊勢崎,18430,波志江スマート～伊勢崎,18291,36721,1.29,0.64,88.2,90.4,23.5,100
10114600070,北関東自動車道,一般国道１７号,伊勢崎市・太田市境,10204,1,4.3,伊勢崎～太田藪塚,17445,伊勢崎～太田藪塚,17738,35183,1.3,0.64,91.7,90.9,23.5,100
10114600080,北関東自動車道,伊勢崎市・太田市境,大原境三ツ木線,10205,1,1.1,伊勢崎～太田藪塚,17445,伊勢崎～太田藪塚,17738,35183,1.3,0.64,92.1,89.7,23.5,100
10114600090,北関東自動車道,太田市道,一般国道１２２号,10205,1,3.9,太田藪塚～太田強戸スマート～太田桐生,15719,太田藪塚～太田強戸スマート～太田桐生,15837,31556,1.31,0.54,88.6,92.2,23.5,100
10114600110,北関東自動車道,一般国道１２２号,北関東自動車道,10205,1,2.3,太田桐生～足利,12556,太田桐生～足利,12566,25122,1.32,0.39,91.7,93.8,23.5,100
10114600085,北関東自動車道,大原境三ツ木線,太田市道,10205,1,6.7,太田藪塚～太田強戸スマート～太田桐生,15719,太田藪塚～太田強戸スマート～太田桐生,15837,31556,1.31,0.54,92.7,93,23.5,100
10118000010,関越自動車道,関越自動車道,藤岡市・高崎市境,10209,1,0.5,上里スマート～藤岡JCT,28105,上里スマート～藤岡JCT,25628,53733,1.36,0.56,91.1,91.9,32,100
10118000020,関越自動車道,藤岡市・高崎市境,高崎市・藤岡市境,10202,1,0.6,上里スマート～藤岡JCT,28105,上里スマート～藤岡JCT,25628,53733,1.36,0.56,91.9,91.9,32,100
10118000030,関越自動車道,高崎市・藤岡市境,上信越自動車道,10209,1,1.2,上里スマート～藤岡JCT,28105,上里スマート～藤岡JCT,25628,53733,1.36,0.56,91.7,92.3,32,100
10118000040,関越自動車道,上信越自動車道,藤岡市・玉村町境,10209,1,1.5,藤岡JCT～高崎玉村スマート,25736,藤岡JCT～高崎玉村スマート,24658,50394,1.34,0.51,92.5,95.1,32,100
10118000050,関越自動車道,藤岡市・玉村町境,玉村町・高崎市境,10464,1,0.9,藤岡JCT～高崎玉村スマート,25736,藤岡JCT～高崎玉村スマート,24658,50394,1.34,0.51,93.6,79.4,32,100
10118000055,関越自動車道,玉村町・高崎市境,一般国道３５４号,10202,1,1.8,藤岡JCT～高崎玉村スマート,25736,藤岡JCT～高崎玉村スマート,24658,50394,1.34,0.51,93.3,91.1,32,100
10118000060,関越自動車道,一般国道３５４号,北関東自動車道,10202,1,1.8,高崎玉村スマート～高崎JCT,25757,高崎玉村スマート～高崎JCT,24754,50511,1.33,0.51,92.5,90.5,32,100
10118000070,関越自動車道,北関東自動車道,高崎駒形線,10202,1,2.4,高崎JCT～高崎,25137,高崎JCT～高崎,23996,49133,1.29,0.5,91.9,92.5,32,100
10118000080,関越自動車道,高崎駒形線,高崎市・前橋市境,10202,1,1.8,高崎～前橋,20902,高崎～前橋,19525,40427,1.29,0.41,93.9,93,32,100
10118000090,関越自動車道,高崎市・前橋市境,前橋市・高崎市境,10201,1,0.2,高崎～前橋,20902,高崎～前橋,19525,40427,1.29,0.41,92,90.1,32,100
10118000100,関越自動車道,前橋市・高崎市境,一般国道１７号,10202,1,3.1,高崎～前橋,20902,高崎～前橋,19525,40427,1.29,0.41,89.1,92.3,32,100
10118000110,関越自動車道,一般国道１７号,高崎市・前橋市境,10202,1,0.5,前橋～駒寄スマート,15265,前橋～駒寄スマート,13662,28927,1.31,0.41,90.4,88.6,25,100
10118000120,関越自動車道,高崎市・前橋市境,前橋市・高崎市境,10201,1,0.3,前橋～駒寄スマート,15265,前橋～駒寄スマート,13662,28927,1.31,0.41,84.6,92.3,25,100
10118000130,関越自動車道,前橋市・高崎市境,高崎市・前橋市境,10202,1,0.1,前橋～駒寄スマート,15265,前橋～駒寄スマート,13662,28927,1.31,0.41,84.1,94.3,25,100
10118000140,関越自動車道,高崎市・前橋市境,前橋市・高崎市境,10201,1,0.6,前橋～駒寄スマート,15265,前橋～駒寄スマート,13662,28927,1.31,0.41,72.2,94.6,25,100
10118000150,関越自動車道,前橋市・高崎市境,高崎市・前橋市境,10202,1,0.5,前橋～駒寄スマート,15265,前橋～駒寄スマート,13662,28927,1.31,0.41,73.7,94.6,25,100
10118000160,関越自動車道,高崎市・前橋市境,前橋市・高崎市境,10201,1,0.6,前橋～駒寄スマート,15265,前橋～駒寄スマート,13662,28927,1.31,0.41,80.6,93.8,25,100
10118000170,関越自動車道,前橋市・高崎市境,高崎市・前橋市境,10202,1,1.4,前橋～駒寄スマート,15265,前橋～駒寄スマート,13662,28927,1.31,0.41,92.1,93.8,25,100
10118000180,関越自動車道,高崎市・前橋市境,前橋市・吉岡町境,10201,1,1.8,前橋～駒寄スマート,15265,前橋～駒寄スマート,13662,28927,1.31,0.41,91.1,89.2,25,100
10118000190,関越自動車道,前橋市・吉岡町境,吉岡町道,10345,1,0.6,前橋～駒寄スマート,15265,前橋～駒寄スマート,13662,28927,1.31,0.41,81.9,89.1,25,100
10118000200,関越自動車道,吉岡町道,吉岡町・渋川市境,10345,1,3.1,駒寄スマート～渋川伊香保,14070,駒寄スマート～渋川伊香保,12590,26660,1.31,0.39,,95.3,25,100
10118000210,関越自動車道,吉岡町・渋川市境,一般国道１７号,10208,1,1.8,駒寄スマート～渋川伊香保,14070,駒寄スマート～渋川伊香保,12590,26660,1.31,0.39,90.6,94.9,25,100
10118000220,関越自動車道,一般国道１７号,大間々上白井線,10208,1,7.8,渋川伊香保～赤城,11189,渋川伊香保～赤城,10061,21250,1.36,0.45,93.1,91.7,22,80
10118000230,関越自動車道,大間々上白井線,渋川市・昭和村境,10208,1,5.8,赤城～昭和,11249,赤城～昭和,10128,21377,1.36,0.47,92.9,91,22,80
10118000240,関越自動車道,渋川市・昭和村境,昭和インター線,10448,1,3.6,赤城～昭和,11249,赤城～昭和,10128,21377,1.36,0.47,88,91.7,22,80
