交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
34110200010,山陽自動車道,山陽自動車道,一般国道１８２号,34207,1,5.8,笠岡～福山東,20171,笠岡～福山東,20425,40596,1.71,0.74,87,86.8,25,100
34110200015,山陽自動車道,一般国道１８２号,津之郷4号線,34207,1,8.8,福山東～福山SAスマート,19322,福山東～福山SAスマート,19489,38811,1.69,0.68,89.3,85.5,25,100
34110200020,山陽自動車道,津之郷4号線,一般国道２号,34207,1,8.1,福山SAスマート～福山西,20038,福山SAスマート～福山西,20259,40297,1.66,0.71,85.2,85.9,25,100
34110200030,山陽自動車道,一般国道２号,福山市・尾道市境,34207,1,1.6,福山西～尾道JCT,19628,福山西～尾道JCT,20053,39681,1.67,0.49,86.1,85.7,23,80
34110200035,山陽自動車道,福山市・尾道市境,中国横断自動車道尾道松江線,34205,1,1.5,福山西～尾道JCT,19628,福山西～尾道JCT,20053,39681,1.67,0.49,89.6,87.1,23,80
34110200040,山陽自動車道,中国横断自動車道尾道松江線,一般国道１８４号,34205,1,2.7,尾道JCT～尾道,17895,尾道JCT～尾道,18494,36389,1.72,0.47,88.1,86.8,23,80
34110200050,山陽自動車道,一般国道１８４号,尾道市・三原市境,34205,1,6.3,尾道～三原久井,18138,尾道～三原久井,18618,36756,1.72,0.44,89.9,89.3,23,80
34110200060,山陽自動車道,尾道市・三原市境,一般国道４８６号,34204,1,6.4,尾道～三原久井,18138,尾道～三原久井,18618,36756,1.72,0.56,89.5,87.2,23,80
34110200070,山陽自動車道,一般国道４８６号,広島空港本郷線,34204,1,11.3,三原久井～本郷,18444,三原久井～本郷,18851,37295,1.7,0.61,84.2,87.7,23,80
34110200080,山陽自動車道,広島空港本郷線,三原市・竹原市境,34204,1,4.9,本郷～河内,19000,本郷～河内,19441,38441,1.69,0.59,91.2,87.4,23,80
34110200090,山陽自動車道,三原市・竹原市境,竹原市・東広島市境,34203,1,0.9,本郷～河内,19000,本郷～河内,19441,38441,1.69,0.59,89.9,88.4,23,80
34110200100,山陽自動車道,竹原市・東広島市境,広島空港線,34212,1,2.4,本郷～河内,19000,本郷～河内,19441,38441,1.69,0.59,88.8,88.7,23,80
34110200110,山陽自動車道,広島空港線,一般国道３７５号（東広島呉道路）,34212,1,6,河内～高屋,20922,河内～高屋,21396,42318,1.63,0.64,87.5,86.2,23,80
34110200120,山陽自動車道,一般国道３７５号（東広島呉道路）,一般国道３７５号,34212,1,5.1,高屋～西条,19676,高屋～西条,20243,39919,1.64,0.62,87.8,88.1,23,80
34110200130,山陽自動車道,一般国道３７５号,志和インター線,34212,1,11,西条～志和,22041,西条～志和,22331,44372,1.58,0.56,90.3,67.1,23,80
34110200140,山陽自動車道,志和インター線,東広島市・広島市安佐北区境,34212,1,4.4,志和～広島東,29501,志和～広島東,30284,59785,1.5,1.03,68.3,65.3,23,80
34110200150,山陽自動車道,東広島市・広島市安佐北区境,広島市安佐北区・広島市東区境,34106,1,4.5,志和～広島東,29501,志和～広島東,30284,59785,1.5,1.03,56.1,68.6,23,80
34110200160,山陽自動車道,広島市安佐北区・広島市東区境,安芸府中道路（高速１号線）,34102,1,1.5,志和～広島東,29501,志和～広島東,30284,59785,1.5,1.03,56.9,79,23,80
34110200170,山陽自動車道,安芸府中道路（高速１号線）,広島市東区・広島市安佐北区境,34102,1,1.5,広島東～広島,24977,広島東～広島,25335,50312,1.55,0.91,81.5,83.6,25,100
34110200180,山陽自動車道,広島市東区・広島市安佐北区境,広島市安佐北区・広島市安佐南区境,34106,1,3.6,広島東～広島,24977,広島東～広島,25335,50312,1.55,0.85,85.3,80.7,25,100
34110200190,山陽自動車道,広島市安佐北区・広島市安佐南区境,一般国道５４号（祗園新道）,34105,1,1.3,広島東～広島,24977,広島東～広島,25335,50312,1.55,0.85,70.2,70.2,25,100
34110200195,山陽自動車道,一般国道５４号（祗園新道）,,34105,1,6,広島～沼田PAスマート,21814,広島～沼田PAスマート,22832,44646,1.58,0.6,86.1,85.1,31,100
34110200200,山陽自動車道,,広島自動車道,34105,1,1.5,沼田PAスマート～広島JCT,21479,沼田PAスマート～広島JCT,22348,43827,1.58,0.59,87.6,86.9,31,100
34110200210,山陽自動車道,広島自動車道,広島市安佐南区・広島市佐伯区境,34105,1,2.3,広島JCT～五日市,20629,広島JCT～五日市,21030,41659,1.59,0.48,87.6,89.9,31,100
34110200220,山陽自動車道,広島市安佐南区・広島市佐伯区境,広島湯来線,34108,1,0.7,広島JCT～五日市,20629,広島JCT～五日市,21030,41659,1.59,0.48,86.7,86.3,31,100
34110200230,山陽自動車道,広島湯来線,広島市佐伯区・廿日市市境,34108,1,8.5,五日市～宮島スマート,16007,五日市～宮島スマート,16256,32263,1.7,0.62,85.3,89.7,25,100
34110200240,山陽自動車道,広島市佐伯区・廿日市市境,廿日市環状線,34213,1,1.7,五日市～宮島スマート,16007,五日市～宮島スマート,16256,32263,1.7,0.62,60.8,86.2,25,100
34110200250,山陽自動車道,廿日市環状線,一般国道２号（広島岩国道路）,34213,1,2.4,宮島スマート～廿日市JCT,14230,宮島スマート～廿日市JCT,14356,28586,1.77,0.61,62.9,88.4,25,100
34110200270,山陽自動車道,一般国道２号（広島岩国道路）,山陽自動車道,34211,1,1.5,大竹JCT～岩国,15333,大竹JCT～岩国,15616,30949,1.73,0.65,82,88.3,23,80
34112010010,中国自動車道,中国自動車道,一般国道１８２号,34210,1,2.1,新見～東城,2037,新見～東城,2319,4356,1.95,0.19,80.1,85.1,20.5,80
34112010020,中国自動車道,一般国道１８２号,一般国道４３２号,34210,1,30.2,東城～庄原,2210,東城～庄原,2590,4800,1.85,0.15,81.8,85.7,20.5,80
34112010030,中国自動車道,一般国道４３２号,庄原市・三次市境,34210,1,9.5,庄原～三次東～三次,2702,庄原～三次東～三次,3045,5747,1.67,0.21,85.7,87.3,20.5,80
34112010035,中国自動車道,庄原市・三次市境,尾道自動車道,34209,1,2.4,庄原～三次東～三次,2702,庄原～三次東～三次,3045,5747,1.67,0.21,87.2,86,20.5,80
34112010040,中国自動車道,尾道自動車道,一般国道３７５号,34209,1,5.1,庄原～三次東～三次,2702,庄原～三次東～三次,3045,5747,1.67,0.21,86.4,85.7,20.5,80
34112010050,中国自動車道,一般国道３７５号,三次市・安芸高田市境,34209,1,10.3,三次～高田,4851,三次～高田,5074,9925,1.43,0.24,87,85.9,20.5,80
34112010060,中国自動車道,三次市・安芸高田市境,三次美土里線,34214,1,9.8,三次～高田,4851,三次～高田,5074,9925,1.43,0.24,88.1,86.7,20.5,80
34112010070,中国自動車道,三次美土里線,安芸高田市・北広島町境,34214,1,9.9,高田～千代田,5261,高田～千代田,5450,10711,1.42,0.25,89.5,89.1,20.5,80
