交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
1110500780,道央自動車道,大沼インター線,森インター線,1345,1,9.7,大沼公園～森,1253,大沼公園～森,1200,2453,1.26,0.24,83,77.8,12,80
1110500760,道央自動車道,森インター線,森町・八雲町境,1345,1,14.1,森～落部,1361,森～落部,1304,2665,1.26,0.24,88.7,89.1,12,70
1110500770,道央自動車道,森町・八雲町境,落部インター線,1346,1,6,森～落部,1361,森～落部,1304,2665,1.26,0.24,89.1,91.8,12,80
1110500010,道央自動車道,落部インター線,一般国道２７７号,1346,1,16,落部～八雲,1378,落部～八雲,1362,2740,1.26,0.3,87.2,89,12,80
1110500020,道央自動車道,一般国道２７７号,八雲町・長万部町境,1346,1,14.8,八雲～国縫,1395,八雲～国縫,1386,2781,1.24,0.31,87.3,87.3,12,80
1110500030,道央自動車道,八雲町・長万部町境,一般国道２３０号,1347,1,6.9,八雲～国縫,1395,八雲～国縫,1386,2781,1.24,0.31,87.5,87.2,12,70
1110500040,道央自動車道,一般国道２３０号,一般国道５号,1347,1,11.1,国縫～長万部,1386,国縫～長万部,1406,2792,1.25,0.44,86.1,87.1,12,80
1110500050,道央自動車道,一般国道５号,長万部町・黒松内町境,1347,1,11.4,長万部～黒松内JCT,1348,長万部～黒松内JCT,1393,2741,1.23,0.42,87.2,85.5,12,70
1110500060,道央自動車道,長万部町・黒松内町境,一般国道５号（黒松内新道）,1393,1,4.2,長万部～黒松内JCT,1348,長万部～黒松内JCT,1393,2741,1.23,0.42,84.2,85.1,12,70
1110500070,道央自動車道,一般国道５号（黒松内新道）,黒松内町・豊浦町境,1393,1,9.9,黒松内JCT～豊浦,1310,黒松内JCT～豊浦,1344,2654,1.23,0.53,85.7,83.2,12,80
1110500080,道央自動車道,黒松内町・豊浦町境,一般国道３７号,1571,1,8.3,黒松内JCT～豊浦,1310,黒松内JCT～豊浦,1344,2654,1.23,0.53,87,85.2,12,70
1110500090,道央自動車道,一般国道３７号,豊浦町・洞爺湖町境,1571,1,9.2,豊浦～虻田洞爺湖,1234,豊浦～虻田洞爺湖,1269,2503,1.23,0.51,87.7,84.3,12,70
1110500100,道央自動車道,豊浦町・洞爺湖町境,一般国道２３０号,1584,1,4,豊浦～虻田洞爺湖,1234,豊浦～虻田洞爺湖,1269,2503,1.23,0.51,85.5,86.2,12,70
1110500110,道央自動車道,一般国道２３０号,洞爺湖町・伊達市境,1584,1,3.6,虻田洞爺湖～伊達,1457,虻田洞爺湖～伊達,1466,2923,1.21,0.44,87.5,83.8,12,70
1110500120,道央自動車道,洞爺湖町・伊達市境,伊達インター線,1233,1,10,虻田洞爺湖～伊達,1457,虻田洞爺湖～伊達,1466,2923,1.21,0.44,89.3,86,12,70
1110500130,道央自動車道,伊達インター線,伊達市・室蘭市境,1233,1,11.5,伊達～室蘭,2023,伊達～室蘭,2091,4114,1.18,0.37,85.9,83.9,12,70
1110500140,道央自動車道,伊達市・室蘭市境,室蘭環状線,1205,1,1.4,伊達～室蘭,2023,伊達～室蘭,2091,4114,1.18,0.37,92.5,86.2,12,80
1110500150,道央自動車道,室蘭環状線,室蘭市・登別市境,1205,1,5.3,室蘭～登別室蘭,2210,室蘭～登別室蘭,2282,4492,1.18,0.64,87.8,85.4,12,80
1110500160,道央自動車道,室蘭市・登別市境,一般国道３６号,1230,1,4.3,室蘭～登別室蘭,2210,室蘭～登別室蘭,2282,4492,1.18,0.64,97.2,91.5,12,70
1110500170,道央自動車道,一般国道３６号,洞爺湖登別線,1230,1,11.4,登別室蘭～登別東,3391,登別室蘭～登別東,3436,6827,1.2,0.19,98.7,98.1,24.5,100
1110500180,道央自動車道,洞爺湖登別線,登別市・白老町境,1230,1,0.7,登別東～白老,3663,登別東～白老,3688,7351,1.2,0.22,96.9,96.9,24.5,100
1110500190,道央自動車道,登別市・白老町境,白老大滝線,1578,1,17.9,登別東～白老,3663,登別東～白老,3688,7351,1.2,0.22,96.5,99.6,24.5,100
1110500200,道央自動車道,白老大滝線,白老町・苫小牧市境,1578,1,7.4,白老～苫小牧西,4111,白老～苫小牧西,4125,8236,1.2,0.25,100,100.5,24.5,100
1110500210,道央自動車道,白老町・苫小牧市境,樽前錦岡線,1213,1,8.4,白老～苫小牧西,4111,白老～苫小牧西,4125,8236,1.2,0.25,99.1,99.4,24.5,100
1110500215,道央自動車道,樽前錦岡線,苫小牧中央インター線,1213,1,8.6,苫小牧西～苫小牧中央,4675,苫小牧西～苫小牧中央,4683,9358,1.19,0.26,99.6,99.6,24.5,100
1110500220,道央自動車道,苫小牧中央インター線,一般国道２３５号（日高自動車道）,1213,1,9,苫小牧中央～苫小牧東,5681,苫小牧中央～苫小牧東,5631,11312,1.2,0.28,100.5,99.6,24.5,100
1110500230,道央自動車道,一般国道２３５号（日高自動車道）,苫小牧市・千歳市境,1213,1,7.7,苫小牧東～新千歳空港,8994,苫小牧東～新千歳空港,9575,18569,1.23,0.5,98.9,91.6,24.5,100
1110500235,道央自動車道,苫小牧市・千歳市境,新千歳空港インター線,1224,1,0.5,苫小牧東～新千歳空港,8994,苫小牧東～新千歳空港,9575,18569,1.23,0.5,99.1,95.1,24.5,100
1110500240,道央自動車道,新千歳空港インター線,千歳インター線,1224,1,3.7,新千歳空港～千歳,9349,新千歳空港～千歳,9918,19267,1.23,0.52,98.5,95.6,24.5,100
1110500250,道央自動車道,千歳インター線,道東自動車道,1224,1,5,千歳～千歳恵庭JCT,12405,千歳～千歳恵庭JCT,12862,25267,1.22,0.63,97.7,95.9,24.5,100
1110500260,道央自動車道,道東自動車道,千歳市・恵庭市境,1224,1,0.3,千歳恵庭JCT～恵庭,13705,千歳恵庭JCT～恵庭,14584,28289,1.22,0.71,98.9,94.4,24.5,100
1110500270,道央自動車道,千歳市・恵庭市境,恵庭岳公園線,1231,1,3.7,千歳恵庭JCT～恵庭,13705,千歳恵庭JCT～恵庭,14584,28289,1.22,0.61,97.2,93.2,24.5,100
1110500280,道央自動車道,恵庭岳公園線,恵庭市・北広島市境,1231,1,6,恵庭～輪厚スマート,15518,恵庭～輪厚スマート,16575,32093,1.22,0.69,95.5,89.8,24.5,100
1110500290,道央自動車道,恵庭市・北広島市境,市道広島輪厚線,1234,1,4,恵庭～輪厚スマート,15518,恵庭～輪厚スマート,16575,32093,1.22,0.69,94,89,24.5,100
1110500300,道央自動車道,市道広島輪厚線,一般国道３６号,1234,1,3.9,輪厚スマート～北広島,15942,輪厚スマート～北広島,16977,32919,1.22,0.65,93.9,90.8,24.5,100
1110500310,道央自動車道,一般国道３６号,北広島市・札幌市清田区境,1234,1,0.7,北広島～札幌南,15078,北広島～札幌南,16169,31247,1.22,0.65,92.1,91.2,23,100
1110500320,道央自動車道,北広島市・札幌市清田区境,札幌市清田区・札幌市厚別区境,1110,1,3.6,北広島～札幌南,15078,北広島～札幌南,16169,31247,1.22,0.65,82.9,79.1,23,100
1110500324,道央自動車道,札幌市清田区・札幌市厚別区境,札幌東部新道１号線,1108,1,1,北広島～札幌南,15078,北広島～札幌南,16169,31247,1.22,0.65,45.5,39.2,23,100
1110500327,道央自動車道,札幌東部新道１号線,札幌東部新道１号線,1108,1,1.1,札幌南IC～大谷地IC,13780,札幌南IC～大谷地IC,17193,30973,1.21,0.58,70.3,63.8,21.4,80
1110500330,道央自動車道,札幌東部新道１号線,札幌市厚別区・札幌市白石区境,1108,1,0.2,札幌南IC～大谷地IC,13780,札幌南IC～大谷地IC,17193,30973,1.21,0.58,82.5,88.3,21.4,80
1110500350,道央自動車道,札幌市厚別区・札幌市白石区境,一般国道２７４号,1104,1,1.5,札幌南IC～大谷地IC,13780,札幌南IC～大谷地IC,17193,30973,1.21,0.58,83.4,88.5,21.4,80
1110500360,道央自動車道,一般国道２７４号,一般国道２７４号,1104,1,2.2,大谷地IC～北郷IC,19067,大谷地IC～北郷IC,22860,41927,1.21,0.73,58.1,77.8,21.4,80
1110500370,道央自動車道,一般国道２７４号,札樽自動車道,1104,1,1.6,北郷IC～札幌JCT,16612,北郷IC～札幌JCT,19788,36400,1.22,0.68,75.3,77.2,21.4,80
1110500380,道央自動車道,札樽自動車道,一般国道２７４号,1104,1,0.5,札幌JCT～札幌IC,14979,札幌JCT～札幌IC,16741,31720,1.22,0.63,42.1,49.9,21.4,40
1110500390,道央自動車道,一般国道２７４号,札幌市白石区・札幌市厚別区境,1104,1,4.5,札幌～江別西,9096,札幌～江別西,8281,17377,1.2,0.38,85.2,95.8,25,100
1110500400,道央自動車道,札幌市白石区・札幌市厚別区境,札幌市厚別区・江別市境,1108,1,0.4,札幌～江別西,9096,札幌～江別西,8281,17377,1.2,0.38,83.9,96.6,25,100
1110500410,道央自動車道,札幌市厚別区・江別市境,江別インター線,1217,1,1.7,札幌～江別西,9096,札幌～江別西,8281,17377,1.2,0.38,84,97.2,25,100
1110500420,道央自動車道,江別インター線,一般国道３３７号,1217,1,9.6,江別西～江別東,7834,江別西～江別東,7010,14844,1.21,0.37,98.8,98.3,25,100
