交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
28110110010,名神高速道路,名神高速道路,尼崎池田線,28202,1,4.3,豊中～尼崎～西宮,24800,豊中～尼崎～西宮,25106,49906,1.35,0.73,73.7,85.8,21,100
28110110020,名神高速道路,尼崎池田線,尼崎市・西宮市境,28202,1,3.5,尼崎～西宮,21035,尼崎～西宮,20995,42030,1.35,0.6,84.1,76.6,21,100
28110110030,名神高速道路,尼崎市・西宮市境,高速神戸西宮線,28204,1,3.5,尼崎～西宮,21035,尼崎～西宮,20995,42030,1.35,0.6,78,39.6,21,80
28110200010,山陽自動車道,新名神高速道路,灘三田線,28109,1,2.6,神戸JCT～神戸北,26481,神戸JCT～神戸北,26211,52692,1.57,0.76,83.6,82.2,25,100
28110200020,山陽自動車道,灘三田線,,28109,1,12.2,神戸北～三木JCT,26630,神戸北～三木JCT,26376,53006,1.57,0.76,84.9,84.1,25,100
28110200030,山陽自動車道,,神戸市北区・三木市境,28109,1,0.4,神戸北～三木JCT,26630,神戸北～三木JCT,26376,53006,1.57,0.76,87.3,87.8,24,100
28110200040,山陽自動車道,神戸市北区・三木市境,山陽自動車道,28215,1,0.2,神戸北～三木JCT,26630,神戸北～三木JCT,26376,53006,1.57,0.76,86.8,88.3,27,100
28110200050,山陽自動車道,山陽自動車道,神戸加東線,28215,1,2.6,三木JCT～三木東,25255,三木JCT～三木東,25520,50775,1.55,0.92,84.4,88,25,100
28110200060,山陽自動車道,神戸加東線,三木市・小野市境,28215,1,8.5,三木東～三木小野,23618,三木東～三木小野,23838,47456,1.57,0.66,85.5,86.2,25,80
28110200070,山陽自動車道,三木市・小野市境,小野市・三木市境,28218,1,0.9,三木東～三木小野,23618,三木東～三木小野,23838,47456,1.57,0.66,83.5,86.3,25,80
28110200080,山陽自動車道,小野市・三木市境,一般国道１７５号,28215,1,0.3,三木小野～加古川北,20946,三木小野～加古川北,21110,42056,1.62,0.73,80.2,89.1,25,100
28110200090,山陽自動車道,一般国道１７５号,三木市・小野市境,28215,1,1.7,三木小野～加古川北,20946,三木小野～加古川北,21110,42056,1.62,0.73,86.4,88.4,25,100
28110200100,山陽自動車道,三木市・小野市境,小野市・三木市境,28218,1,0.1,三木小野～加古川北,20946,三木小野～加古川北,21110,42056,1.62,0.73,86.2,89.2,25,100
28110200110,山陽自動車道,小野市・三木市境,三木市・小野市境,28215,1,0.7,三木小野～加古川北,20946,三木小野～加古川北,21110,42056,1.62,0.73,85.4,90.2,23.5,100
28110200120,山陽自動車道,三木市・小野市境,小野市・加古川市境,28218,1,0.9,三木小野～加古川北,20946,三木小野～加古川北,21110,42056,1.62,0.73,87.6,87.8,23.5,100
28110200130,山陽自動車道,小野市・加古川市境,加古川北インター線,28210,1,9.8,三木小野～加古川北,20946,三木小野～加古川北,21110,42056,1.62,0.73,87.6,88,25,100
28110200140,山陽自動車道,加古川北インター線,加古川市・姫路市境,28210,1,2.7,加古川北～山陽姫路東,20728,加古川北～山陽姫路東,20652,41380,1.63,0.79,88.7,89.7,25,100
28110200150,山陽自動車道,加古川市・姫路市境,一般国道３１２号,28201,1,5.9,加古川北～山陽姫路東,20728,加古川北～山陽姫路東,20652,41380,1.63,0.79,87.8,83.8,25,100
28110200160,山陽自動車道,一般国道３１２号,一般国道２９号,28201,1,12.9,山陽姫路東～山陽姫路西,19477,山陽姫路東～山陽姫路西,19250,38727,1.69,0.73,87.8,86,25,80
28110200170,山陽自動車道,一般国道２９号,姫路市・たつの市境,28201,1,2.8,山陽姫路西～龍野,19542,山陽姫路西～龍野,19703,39245,1.72,0.68,87.4,87,25,80
28110200180,山陽自動車道,姫路市・たつの市境,網干たつの線,28229,1,3.8,山陽姫路西～龍野,19542,山陽姫路西～龍野,19703,39245,1.72,0.68,88.5,86.6,22,80
28110200190,山陽自動車道,網干たつの線,竜野西インタ－線,28229,1,4.4,龍野～龍野西,19895,龍野～龍野西,19946,39841,1.73,0.52,87.7,85.9,24,80
