交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
8111200010,東関東自動車道,東関東自動車道,水戸神栖線,8223,1,2.2,佐原香取～潮来,6104,佐原香取～潮来,5930,12034,1.27,0.25,90.2,74.4,24.5,100
8111200030,東関東自動車道,茨城鹿島線,北関東自動車道,8302,1,8.8,茨城空港北～茨城町JCT,1935,茨城空港北～茨城町JCT,1796,3731,1.21,0.43,85.4,83.6,10.5,70
8100120010,東関東自動車道,鉾田茨城線,鉾田市・茨城町境,8234,1,8.8,鉾田～茨城空港北,1385,鉾田～茨城空港北,1232,2617,1.21,0.09,91.3,88.6,23.5,80
8100120020,東関東自動車道,鉾田市・茨城町境,茨城鹿島線,8302,1,0.1,鉾田～茨城空港北,1385,鉾田～茨城空港北,1232,2617,1.21,0.09,87,87.7,23.5,80
8114000010,常磐自動車道,常磐自動車道,守谷市・つくばみらい市境,8224,1,4.8,柏～谷和原,36167,柏～谷和原,35133,71300,1.4,0.77,67.6,89.2,32,100
8114000020,常磐自動車道,守谷市・つくばみらい市境,一般国道２９４号,8235,1,0.2,柏～谷和原,36167,柏～谷和原,35133,71300,1.4,0.77,80.4,91.3,32,100
8114000030,常磐自動車道,一般国道２９４号,つくばみらい市・つくば市境,8235,1,7.7,谷和原～谷田部,28630,谷和原～谷田部,27031,55661,1.38,0.61,93.6,93.2,32,100
8114000040,常磐自動車道,つくばみらい市・つくば市境,取手つくば線,8220,1,3.5,谷和原～谷田部,28630,谷和原～谷田部,27031,55661,1.38,0.61,93.2,94.5,32,100
8114000050,常磐自動車道,取手つくば線,一般国道４６８号（圏央道）,8220,1,4.3,谷田部～つくばJCT,27095,谷田部～つくばJCT,25462,52557,1.37,0.6,93.5,93.9,32,100
8114000060,常磐自動車道,一般国道４６８号（圏央道）,つくば市・土浦市境,8220,1,1.8,つくばJCT～桜土浦,31512,つくばJCT～桜土浦,29509,61021,1.36,0.64,89.5,91.6,32,100
8114000070,常磐自動車道,つくば市・土浦市境,土浦市・つくば市境,8203,1,2.2,つくばJCT～桜土浦,31512,つくばJCT～桜土浦,29509,61021,1.36,0.64,89,93.1,32,100
8114000080,常磐自動車道,土浦市・つくば市境,一般国道３５４号,8220,1,0.1,つくばJCT～桜土浦,31512,つくばJCT～桜土浦,29509,61021,1.36,0.64,88.8,96.2,32,100
8114000090,常磐自動車道,一般国道３５４号,つくば市・土浦市境,8220,1,3.5,桜土浦～土浦北,30983,桜土浦～土浦北,28674,59657,1.34,0.67,90.1,94.8,32,100
8114000100,常磐自動車道,つくば市・土浦市境,一般国道１２５号,8203,1,4.4,桜土浦～土浦北,30983,桜土浦～土浦北,28674,59657,1.34,0.67,92.7,93.3,32,100
8114000110,常磐自動車道,一般国道１２５号,土浦市・かすみがうら市境,8203,1,2,土浦北～千代田石岡,30830,土浦北～千代田石岡,28828,59658,1.32,0.67,91.6,93.7,32,100
8114000120,常磐自動車道,土浦市・かすみがうら市境,一般国道６号,8230,1,6.3,土浦北～千代田石岡,30830,土浦北～千代田石岡,28828,59658,1.32,0.67,91.4,94.9,32,100
8114000130,常磐自動車道,一般国道６号,かすみがうら市・石岡市境,8230,1,1.6,千代田石岡～石岡小美玉スマート,29485,千代田石岡～石岡小美玉スマート,27864,57349,1.32,0.64,92,94.8,32,100
8114000140,常磐自動車道,かすみがうら市・石岡市境,一般国道３５５号,8205,1,4.6,千代田石岡～石岡小美玉スマート,29485,千代田石岡～石岡小美玉スマート,27864,57349,1.32,0.64,90.2,93.7,32,100
8114000150,常磐自動車道,一般国道３５５号,小美玉市・石岡市境,8236,1,5.3,石岡小美玉スマート～岩間,28073,石岡小美玉スマート～岩間,26747,54820,1.33,0.61,94.1,93.4,32,100
