交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
17110800010,北陸自動車道,北陸自動車道,一般国道１５９号,17201,1,8.1,小矢部～金沢森本,13919,小矢部～金沢森本,14387,28306,1.39,0.53,87.6,87.1,24.5,80
17110800020,北陸自動車道,一般国道１５９号,一般国道８号,17201,1,3.2,金沢森本～金沢東,12931,金沢森本～金沢東,13246,26177,1.39,0.37,89.2,88.6,24.5,80
17110800030,北陸自動車道,一般国道８号,一般国道８号,17201,1,7.6,金沢東～金沢西,11565,金沢東～金沢西,11919,23484,1.4,0.35,71.3,78.2,23,100
17110800040,北陸自動車道,一般国道８号,金沢市・白山市境,17201,1,2.7,金沢西～白山,14030,金沢西～白山,14750,28780,1.34,0.46,82.8,88,24.5,100
17110800045,北陸自動車道,金沢市・白山市境,主要地方道松任宇ノ気線,17210,1,0.1,金沢西～白山,14030,金沢西～白山,14750,28780,1.34,0.46,86,89.9,24.5,100
17110800050,北陸自動車道,主要地方道松任宇ノ気線,主要地方道金沢美川小松線,17210,1,5.2,白山～徳光スマート,14686,白山～徳光スマート,14945,29631,1.34,0.47,89.3,91.5,24.5,100
17110800060,北陸自動車道,主要地方道金沢美川小松線,主要地方道鶴来美川インター線,17210,1,4.4,徳光スマート～美川,14766,徳光スマート～美川,15050,29816,1.34,0.48,91.5,81.6,24.5,100
17110800070,北陸自動車道,主要地方道鶴来美川インター線,白山市・能美市境,17210,1,4.6,美川～能美根上スマート,14132,美川～能美根上スマート,14708,28840,1.37,0.46,85.9,85.5,24.5,100
17110800075,北陸自動車道,白山市・能美市境,市道木曽街道線,17211,1,0.3,美川～能美根上スマート,14132,美川～能美根上スマート,14708,28840,1.37,0.46,90.1,90.8,24.5,100
17110800080,北陸自動車道,市道木曽街道線,能美市・小松市境,17211,1,5.5,能美根上スマート～小松,13549,能美根上スマート～小松,14121,27670,1.38,0.42,89.6,91.7,24.5,100
17110800090,北陸自動車道,能美市・小松市境,主要地方道金沢美川小松線,17203,1,0.7,能美根上スマート～小松,13549,能美根上スマート～小松,14121,27670,1.38,0.42,85.5,88.5,24.5,100
17110800100,北陸自動車道,主要地方道金沢美川小松線,小松市・加賀市境,17203,1,6.9,小松～安宅スマート,11681,小松～安宅スマート,12123,23804,1.43,0.35,90.5,92.6,24.5,100
17110800110,北陸自動車道,小松市・加賀市境,主要地方道小松加賀線,17206,1,1.7,安宅スマート～片山津,11790,安宅スマート～片山津,12270,24060,1.42,0.36,91,89.4,24.5,100
17110800120,北陸自動車道,主要地方道小松加賀線,主要地方道加賀インター線,17206,1,12.5,片山津～加賀,10842,片山津～加賀,11324,22166,1.46,0.32,88.8,88.2,24.5,80
17110800130,北陸自動車道,主要地方道加賀インター線,北陸自動車道,17206,1,3.8,加賀～金津,10919,加賀～金津,11413,22332,1.46,0.39,75.1,77.1,25,80
17300080010,一般国道８号,一般国道８号,一般県道森本津幡線,17361,0,2.8,河北郡津幡町刈安,7894,河北郡津幡町刈安,7704,15598,1.33,1.54,53.5,56.3,16,60
17300080020,一般国道８号,一般県道森本津幡線,一般県道莇谷津幡線,17361,0,2.2,河北郡津幡町刈安,7894,河北郡津幡町刈安,7704,15598,1.33,1.54,47.9,59.8,16,60
