交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
3110400010,東北自動車道,東北自動車道,一般国道３４２号,3209,1,6.1,若柳金成～一関,10529,若柳金成～一関,10656,21185,1.51,0.52,90.6,89.8,24.5,100
3110400020,東北自動車道,一般国道３４２号,一関市・平泉町境,3209,1,3.1,一関～平泉前沢,10759,一関～平泉前沢,10789,21548,1.48,0.54,92.6,93.8,24.5,80
3110400030,東北自動車道,一関市・平泉町境,平泉町・奥州市境,3402,1,5.1,一関～平泉前沢,10759,一関～平泉前沢,10789,21548,1.48,0.54,90.8,90.7,24.5,80
3110400040,東北自動車道,平泉町・奥州市境,奥州市・平泉町境,3215,1,2.7,一関～平泉前沢,10759,一関～平泉前沢,10789,21548,1.48,0.54,93.6,90.1,24.5,80
3110400050,東北自動車道,奥州市・平泉町境,一般国道４号,3402,1,0.6,一関～平泉前沢,10759,一関～平泉前沢,10789,21548,1.48,0.54,91.3,92.2,24.5,80
3110400060,東北自動車道,一般国道４号,平泉町・奥州市境,3402,1,0.1,平泉前沢～奥州スマート～水沢,11151,平泉前沢～奥州スマート～水沢,11206,22357,1.46,0.39,92.8,91.2,24.5,80
3110400065,東北自動車道,平泉町・奥州市境,衣川水沢線,3215,1,10.7,平泉前沢～奥州スマート～水沢,11151,平泉前沢～奥州スマート～水沢,11206,22357,1.46,0.39,93.6,93.2,24.5,100
3110400070,東北自動車道,衣川水沢線,一般国道４号,3215,1,6.7,平泉前沢～奥州スマート～水沢,11151,平泉前沢～奥州スマート～水沢,11206,22357,1.46,0.39,92.7,93.7,24.5,100
3110400080,東北自動車道,一般国道４号,奥州市・金ケ崎町境,3215,1,1.6,水沢～北上金ヶ崎,11909,水沢～北上金ヶ崎,12124,24033,1.4,0.42,94,94.8,24.5,100
3110400090,東北自動車道,奥州市・金ケ崎町境,北上金ヶ崎インター線,3381,1,7.1,水沢～北上金ヶ崎,11909,水沢～北上金ヶ崎,12124,24033,1.4,0.42,95,93.3,24.5,100
3110400100,東北自動車道,北上金ヶ崎インター線,秋田自動車道,3206,1,3.8,北上金ヶ崎～北上JCT,12486,北上金ヶ崎～北上JCT,12429,24915,1.39,0.44,92.1,93.7,24.5,100
3110400110,東北自動車道,秋田自動車道,一般国道１０７号,3206,1,2.9,北上JCT～北上江釣子,11747,北上JCT～北上江釣子,11729,23476,1.38,0.41,94.4,93.2,24.5,100
3110400120,東北自動車道,一般国道１０７号,北上市・花巻市境,3206,1,7.1,北上江釣子～花巻南,11691,北上江釣子～花巻南,11634,23325,1.36,0.39,95.3,95.6,24.5,100
3110400130,東北自動車道,北上市・花巻市境,花巻南インター線,3205,1,2.7,北上江釣子～花巻南,11691,北上江釣子～花巻南,11634,23325,1.36,0.39,94.5,95.3,24.5,100
3110400140,東北自動車道,花巻南インター線,釜石自動車道,3205,1,4.1,花巻南～花巻JCT,11919,花巻南～花巻JCT,11885,23804,1.35,0.36,93.9,98.2,24.5,120
3110400150,東北自動車道,釜石自動車道,花巻平泉線,3205,1,2.7,花巻JCT～花巻,12775,花巻JCT～花巻,12851,25626,1.34,0.4,96,96.7,24.5,120
3110400160,東北自動車道,花巻平泉線,花巻市・紫波町境,3205,1,7.2,花巻～紫波,13080,花巻～紫波,13199,26279,1.33,0.41,97.7,97.6,24.5,120
3110400170,東北自動車道,花巻市・紫波町境,紫波インター線,3321,1,5.6,花巻～紫波,13080,花巻～紫波,13199,26279,1.33,0.41,95.3,98.2,24.5,120
3110400180,東北自動車道,紫波インター線,紫波町・矢巾町境,3321,1,3.5,紫波～矢巾スマート,12781,紫波～矢巾スマート,12937,25718,1.33,0.42,96.3,98.9,24.5,120
3110400185,東北自動車道,紫波町・矢巾町境,不動盛岡線,3322,1,3.7,紫波～矢巾スマート,12781,紫波～矢巾スマート,12937,25718,1.33,0.42,95.7,96.8,24.5,120
3110400190,東北自動車道,不動盛岡線,矢巾町・盛岡市境,3322,1,3.5,矢巾スマート～盛岡南,12118,矢巾スマート～盛岡南,12088,24206,1.32,0.39,93.4,92.4,24.5,120
3110400200,東北自動車道,矢巾町・盛岡市境,上米内湯沢線,3201,1,0.3,矢巾スマート～盛岡南,12118,矢巾スマート～盛岡南,12088,24206,1.32,0.39,87,98.1,24.5,120
3110400210,東北自動車道,上米内湯沢線,一般国道４６号,3201,1,7,盛岡南～盛岡,9906,盛岡南～盛岡,9601,19507,1.37,0.33,92.2,95.1,24.5,100
3110400220,東北自動車道,一般国道４６号,盛岡市・滝沢市境,3201,1,1.5,盛岡～滝沢中央スマート,9866,盛岡～滝沢中央スマート,9431,19297,1.37,0.36,90.6,94.4,24.5,100
3110400230,東北自動車道,市道,一般国道４号,3216,1,6.4,滝沢中央スマート～滝沢,9129,滝沢中央スマート～滝沢,8948,18077,1.38,0.36,94.4,92,24.5,100
3110400240,東北自動車道,一般国道４号,滝沢市・八幡平市境,3216,1,9.2,滝沢～西根,7808,滝沢～西根,7871,15679,1.4,0.34,94.1,95,24.5,100
