交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
37116110010,高松自動車道,高松自動車道,白鳥引田線,37207,1,7.1,板野～引田,7631,板野～引田,7331,14962,1.4,0.28,97.6,96.3,23.5,100
37116110020,高松自動車道,白鳥引田線,大内白鳥インター線,37207,1,5.2,引田～白鳥大内,7648,引田～白鳥大内,7350,14998,1.39,0.29,95.9,94.2,23.5,100
37116110030,高松自動車道,大内白鳥インター線,東かがわ市・さぬき市境,37207,1,6.4,白鳥大内～津田東,8182,白鳥大内～津田東,7808,15990,1.37,0.31,95.1,92.5,23.5,100
37116110040,高松自動車道,東かがわ市・さぬき市境,一般国道１１号,37206,1,1,白鳥大内～津田東,8182,白鳥大内～津田東,7808,15990,1.37,0.31,90.5,93.4,22,80
37116110050,高松自動車道,一般国道１１号,,37206,1,0.3,白鳥大内～津田東,8182,白鳥大内～津田東,7808,15990,1.37,0.31,92.3,91.7,22,80
37300111210,高松自動車道,,三木津田線,37206,1,5.2,津田東～津田寒川,8565,津田東～津田寒川,8240,16805,1.36,0.25,91,89.3,22,80
37300111220,高松自動車道,三木津田線,石田東志度線,37206,1,3.4,津田寒川～志度,8828,津田寒川～志度,8441,17269,1.36,0.26,91.4,92.9,22,80
37300111230,高松自動車道,石田東志度線,さぬき市・三木町境,37206,1,3.4,志度～さぬき三木,9048,志度～さぬき三木,8667,17715,1.35,0.24,93.1,90.9,22,80
37300111240,高松自動車道,さぬき市・三木町境,一般国道１１号,37341,1,1.3,志度～さぬき三木,9048,志度～さぬき三木,8667,17715,1.35,0.34,93.7,90.3,22,80
37300111250,高松自動車道,一般国道１１号,三木町・高松市境,37341,1,2.3,さぬき三木～高松東,8313,さぬき三木～高松東,7944,16257,1.36,0.24,91,91.3,22,80
37116110070,高松自動車道,三木町・高松市境,一般国道１１号,37201,1,0.4,さぬき三木～高松東,8313,さぬき三木～高松東,7944,16257,1.36,0.24,91.2,92.2,22,80
37116110080,高松自動車道,一般国道１１号,中徳三谷高松線,37201,1,4.1,高松東～高松中央,9602,高松東～高松中央,9132,18734,1.33,0.3,85.9,88.2,22,80
37116110090,高松自動車道,中徳三谷高松線,一般国道１１号,37201,1,6.5,高松中央～高松檀紙,11065,高松中央～高松檀紙,10592,21657,1.31,0.37,90.8,90.6,22,80
37116110100,高松自動車道,一般国道１１号,三木国分寺線,37201,1,2.5,高松檀紙～高松西,8958,高松檀紙～高松西,8560,17518,1.32,0.29,91.8,89.7,22,80
37116110110,高松自動車道,三木国分寺線,高松市・綾川町境,37201,1,4.6,高松西～府中湖スマート,13479,高松西～府中湖スマート,12943,26422,1.28,0.54,90.3,91.4,23.5,100
37116110120,高松自動車道,高松市・綾川町境,綾川町・坂出市境,37387,1,0.9,高松西～府中湖スマート,13479,高松西～府中湖スマート,12943,26422,1.28,0.54,93.2,95.2,23.5,100
37116110130,高松自動車道,綾川町・坂出市境,川西北側道線,37203,1,1.9,高松西～府中湖スマート,13479,高松西～府中湖スマート,12943,26422,1.28,0.54,86.9,94.7,23.5,100
37116110140,高松自動車道,川西北側道線,坂出市・丸亀市境,37203,1,3,府中湖スマート～坂出JCT,13584,府中湖スマート～坂出JCT,13073,26657,1.28,0.43,82.4,90.7,23.5,100
