交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
14110100010,東名高速道路,東名高速道路,川崎市多摩区・川崎市宮前区境,14135,1,1.9,東京～東名川崎,46444,東京～東名川崎,46850,93294,1.58,0.65,15.5,73.5,32,100
14110100020,東名高速道路,川崎市多摩区・川崎市宮前区境,野川菅生線,14136,1,2.4,東京～東名川崎,46444,東京～東名川崎,46850,93294,1.58,0.65,25.3,75.3,32.1,100
14110100030,東名高速道路,野川菅生線,川崎市宮前区・横浜市青葉区境,14136,1,1,東名川崎～横浜青葉,49384,東名川崎～横浜青葉,47455,96839,1.53,0.66,61.2,86.4,32.1,100
14110100040,東名高速道路,川崎市宮前区・横浜市青葉区境,横浜北西線,14117,1,4.8,東名川崎～横浜青葉,49384,東名川崎～横浜青葉,47455,96839,1.53,0.66,79.3,63.8,33.6,100
14110100050,東名高速道路,横浜北西線,横浜市青葉区・横浜市緑区境,14117,1,0.8,横浜青葉～横浜町田,62726,横浜青葉～横浜町田,59310,122036,1.49,0.87,85.6,41.1,33.6,100
14110100060,東名高速道路,横浜市青葉区・横浜市緑区境,横浜市緑区・横浜市青葉区境,14113,1,1.1,横浜青葉～横浜町田,62726,横浜青葉～横浜町田,59310,122036,1.49,0.87,44.7,35,33.6,100
14110100070,東名高速道路,横浜市緑区・横浜市青葉区境,横浜市青葉区・横浜市緑区境,14117,1,0.4,横浜青葉～横浜町田,62726,横浜青葉～横浜町田,59310,122036,1.49,0.87,46.6,32.1,33.6,100
14110100080,東名高速道路,横浜市青葉区・横浜市緑区境,一般国道１６号,14113,1,4,横浜青葉～横浜町田,62726,横浜青葉～横浜町田,59310,122036,1.49,0.87,35.2,24.5,33.6,100
14110100090,東名高速道路,一般国道１６号,東名高速道路,14113,1,0.4,横浜町田～綾瀬スマート,72008,横浜町田～綾瀬スマート,68417,140425,1.47,1.04,44.3,19.8,33.6,100
14110100110,東名高速道路,東名高速道路,横浜市瀬谷区・大和市境,14114,1,1.4,横浜町田～綾瀬スマート,72008,横浜町田～綾瀬スマート,68417,140425,1.47,1.04,62.3,38.4,33.6,100
