交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
39116120010,高知自動車道,高知自動車道,一般国道４３９号,39344,1,12.9,新宮～大豊,4866,新宮～大豊,4804,9670,1.32,0.27,95.1,84.9,20.5,80
39116120020,高知自動車道,一般国道４３９号,大豊町・香美市境,39344,1,10.9,大豊～南国,5595,大豊～南国,5501,11096,1.29,0.25,96.6,93.1,20.5,80
39116120030,高知自動車道,大豊町・香美市境,香美市・南国市境,39212,1,5.9,大豊～南国,5595,大豊～南国,5501,11096,1.29,0.25,92.9,90.9,20.5,80
39116120040,高知自動車道,香美市・南国市境,一般国道３２号,39204,1,4.2,大豊～南国,5595,大豊～南国,5501,11096,1.29,0.25,87.5,91.7,20.5,80
39116120050,高知自動車道,一般国道３２号,南国市・高知市境,39204,1,5.5,南国～高知,4387,南国～高知,4297,8684,1.23,0.15,90.4,90.2,20.5,80
39116120060,高知自動車道,南国市・高知市境,一般国道５５号（高知南国道路）,39201,1,2.1,南国～高知,4387,南国～高知,4297,8684,1.23,0.15,87.9,92.3,20.5,80
39116120070,高知自動車道,一般国道５５号（高知南国道路）,高知市・いの町境,39201,1,9.5,高知～伊野,5495,高知～伊野,5247,10742,1.17,0.88,78.9,80,10.5,70
39116120080,高知自動車道,高知市・いの町境,一般国道３３号（高知西バイパス）,39386,1,0.8,高知～伊野,5495,高知～伊野,5247,10742,1.17,0.88,87.2,83.7,10.5,70
39116120090,高知自動車道,一般国道３３号（高知西バイパス）,いの町・高知市境,39386,1,1.3,伊野～土佐,4162,伊野～土佐,3822,7984,1.19,0.83,84.3,86.7,10.5,70
39116120100,高知自動車道,いの町・高知市境,高知市・いの町境,39201,1,2.6,伊野～土佐,4162,伊野～土佐,3822,7984,1.19,0.83,79.1,83.7,10.5,70
39116120110,高知自動車道,高知市・いの町境,いの町・土佐市境,39386,1,2.8,伊野～土佐,4162,伊野～土佐,3822,7984,1.19,0.83,81.2,83.2,10.5,70
39116120120,高知自動車道,いの町・土佐市境,一般国道５６号,39205,1,2.4,伊野～土佐,4162,伊野～土佐,3822,7984,1.19,0.83,84.6,86.1,10.5,70
39116120130,高知自動車道,一般国道５６号,一般国道５６号,39205,1,5.4,土佐～土佐PAスマート,4453,土佐～土佐PAスマート,4197,8650,1.2,0.94,81.6,86.2,10.5,70
39116120140,高知自動車道,一般国道５６号,土佐市・須崎市境,39205,1,7.4,土佐PAスマート～須崎東,4350,土佐PAスマート～須崎東,4128,8478,1.2,0.69,82.4,82.9,10.5,70
39116120150,高知自動車道,土佐市・須崎市境,一般国道５６号,39206,1,2,土佐PAスマート～須崎東,4350,土佐PAスマート～須崎東,4128,8478,1.2,0.69,67.7,71.8,10.5,70
39116120170,四国横断自動車道（阿南四万十線）,一般国道５６号,須崎市・中土佐町境,39206,1,4.1,高岡郡中土佐町久礼,6898,高岡郡中土佐町久礼,6807,13705,1.19,1.28,75.2,75.5,10.5,70
39116120180,四国横断自動車道（阿南四万十線）,須崎市・中土佐町境,一般国道５６号,39401,1,2.9,高岡郡中土佐町久礼,6898,高岡郡中土佐町久礼,6807,13705,1.19,1.28,74.5,76.7,10.5,70
39116120190,四国横断自動車道（阿南四万十線）,一般国道５６号,中土佐町・四万十町境,39401,1,5.9,高岡郡中土佐町久礼,5037,高岡郡中土佐町久礼,4879,9916,1.18,1.11,82.5,84.5,10.5,70
39116120200,四国横断自動車道（阿南四万十線）,中土佐町・四万十町境,四万十町東インター線,39412,1,2.6,高岡郡中土佐町久礼,5037,高岡郡中土佐町久礼,4879,9916,1.18,1.11,79.5,74.3,10.5,70
39116120210,四国横断自動車道（阿南四万十線）,四万十町東インター線,一般国道５６号,39412,1,6.3,高岡郡四万十町,4288,高岡郡四万十町,4129,8417,1.18,0.82,68.8,57.3,10.5,70
39300320010,一般国道３２号,一般国道３２号,土佐岩原停車場線,39344,0,2.3,長岡郡大豊町東土居,1335,長岡郡大豊町東土居,1221,2556,1.27,0.63,55.6,54.6,9.95,50
39300320020,一般国道３２号,土佐岩原停車場線,一般国道４３９号,39344,0,4.3,長岡郡大豊町東土居,1335,長岡郡大豊町東土居,1221,2556,1.27,0.63,53.3,53.3,9.95,50
39300320030,一般国道３２号,一般国道４３９号,東祖谷山大杉停車場線,39344,0,0.3,長岡郡大豊町東土居,1335,長岡郡大豊町東土居,1221,2556,1.27,0.63,43.4,43.6,9.95,50
