交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
43110300010,九州縦貫自動車道鹿児島線宮崎線,九州縦貫自動車道鹿児島線宮崎線,大牟田南関線,43367,1,1.3,みやま柳川～南関,18950,みやま柳川～南関,18892,37842,1.33,0.73,90,90.3,24.5,100
43110300020,九州縦貫自動車道鹿児島線宮崎線,大牟田南関線,南関町・和水町境,43367,1,9,南関～菊水,16263,南関～菊水,16287,32550,1.36,0.67,91.9,90.5,24.5,100
43110300030,九州縦貫自動車道鹿児島線宮崎線,南関町・和水町境,玉名山鹿線,43369,1,2.6,南関～菊水,16263,南関～菊水,16287,32550,1.36,0.67,90.6,92.8,24.5,100
43110300040,九州縦貫自動車道鹿児島線宮崎線,玉名山鹿線,和水町・山鹿市境,43369,1,3.9,菊水～植木,16241,菊水～植木,16339,32580,1.35,0.64,93.3,92.8,24.5,100
43110300050,九州縦貫自動車道鹿児島線宮崎線,和水町・山鹿市境,山鹿市・熊本市北区境,43208,1,3.8,菊水～植木,16241,菊水～植木,16339,32580,1.35,0.64,95.2,91.3,24.5,100
43110300060,九州縦貫自動車道鹿児島線宮崎線,山鹿市・熊本市北区境,一般国道３号,43105,1,3,菊水～植木,16241,菊水～植木,16339,32580,1.35,0.64,92.4,92.8,24.5,100
43110300065,九州縦貫自動車道鹿児島線宮崎線,一般国道３号,大津植木線（現道）,43105,1,4.6,植木～北熊本スマート,16254,植木～北熊本スマート,16537,32791,1.33,0.55,92.9,90.8,24.5,100
43110300070,九州縦貫自動車道鹿児島線宮崎線,大津植木線（現道）,熊本市北区・合志市境,43105,1,3.1,北熊本スマート～熊本,16437,北熊本スマート～熊本,16625,33062,1.33,0.56,91.6,88.8,24.5,100
43110300080,九州縦貫自動車道鹿児島線宮崎線,熊本市北区・合志市境,合志市・菊陽町境,43216,1,2.2,北熊本スマート～熊本,16437,北熊本スマート～熊本,16625,33062,1.33,0.56,90.1,91.3,24.5,100
43110300090,九州縦貫自動車道鹿児島線宮崎線,合志市・菊陽町境,菊陽町・熊本市北区境,43404,1,0.6,北熊本スマート～熊本,16437,北熊本スマート～熊本,16625,33062,1.33,0.56,81.4,79.4,24.5,100
