交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
26110110010,名神高速道路,名神高速道路,一般国道１号,26110,1,0.4,大津～京都東,39787,大津～京都東,40068,79855,1.56,1.23,30.2,67.8,24,80
26110110020,名神高速道路,一般国道１号,京都市山科区・京都市伏見区境,26110,1,5.7,京都東～京都南,38691,京都東～京都南,39499,78190,1.59,0.91,49.4,69.4,25,80
26110110030,名神高速道路,京都市山科区・京都市伏見区境,一般国道１号,26109,1,4.2,京都東～京都南,38691,京都東～京都南,39499,78190,1.59,0.91,79.7,77.4,22.5,80
26110110040,名神高速道路,一般国道１号,京都市南区・京都市伏見区境,26107,1,1.4,京都南～大山崎(JCT),43352,京都南～大山崎(JCT),42739,86091,1.54,0.64,75,82.4,36.75,80
26110110050,名神高速道路,京都市南区・京都市伏見区境,京都市伏見区・向日市境,26109,1,1.6,京都南～大山崎(JCT),43352,京都南～大山崎(JCT),42739,86091,1.54,0.64,84.2,83.5,32,80
26110110060,名神高速道路,京都市伏見区・向日市境,向日市・京都市伏見区境,26208,1,0.6,京都南～大山崎(JCT),43352,京都南～大山崎(JCT),42739,86091,1.54,0.64,86.3,84.3,32,80
26110110070,名神高速道路,向日市・京都市伏見区境,京都市伏見区・向日市境,26109,1,0.5,京都南～大山崎(JCT),43352,京都南～大山崎(JCT),42739,86091,1.54,0.64,85.1,83.6,32,80
26110110080,名神高速道路,京都市伏見区・向日市境,向日市・長岡京市境,26208,1,0.2,京都南～大山崎(JCT),43352,京都南～大山崎(JCT),42739,86091,1.54,0.64,85,84.3,32,80
26110110090,名神高速道路,向日市・長岡京市境,長岡京市・大山崎町境,26209,1,2.4,京都南～大山崎(JCT),43352,京都南～大山崎(JCT),42739,86091,1.54,0.64,85.2,84.2,32,80
26110110100,名神高速道路,長岡京市・大山崎町境,名神高速道路（支線）,26303,1,1,京都南～大山崎(JCT),43352,京都南～大山崎(JCT),42739,86091,1.54,0.64,83.9,85.1,32,80
26110110110,名神高速道路,名神高速道路（支線）,名神高速道路,26303,1,1.8,大山崎(JCT)～高槻JCT,54244,大山崎(JCT)～高槻JCT,55411,109655,1.5,0.89,83.3,83.1,32,80
26110110130,名神高速道路（支線）,名神高速道路,大山崎町・八幡市境,26303,1,1,大山崎(JCT)～久御山淀,17669,大山崎(JCT)～久御山淀,18964,36633,1.29,0.64,65.2,79.6,20.5,80
26110110140,名神高速道路（支線）,大山崎町・八幡市境,八幡市・京都市伏見区境,26210,1,1.4,大山崎(JCT)～久御山淀,17669,大山崎(JCT)～久御山淀,18964,36633,1.29,0.64,69.8,81.1,20.5,80
26110110150,名神高速道路（支線）,八幡市・京都市伏見区境,京都市伏見区・八幡市境,26109,1,0.5,大山崎(JCT)～久御山淀,17669,大山崎(JCT)～久御山淀,18964,36633,1.29,0.64,71.2,86,20.25,80
26110110160,名神高速道路（支線）,京都市伏見区・八幡市境,一般国道４７８号（京滋バイパス）,26210,1,0.3,大山崎(JCT)～久御山淀,17669,大山崎(JCT)～久御山淀,18964,36633,1.29,0.64,74.1,83.5,20.25,80
26112100010,舞鶴若狭自動車道,舞鶴若狭自動車道,一般国道９号,26201,1,8.9,春日～福知山,4333,春日～福知山,4183,8516,1.39,0.19,88,89,22,80
26112100020,舞鶴若狭自動車道,一般国道９号,福知山市・綾部市境,26201,1,3.3,福知山～綾部,3849,福知山～綾部,3688,7537,1.4,0.24,84.7,85.5,20.5,80
26112100030,舞鶴若狭自動車道,福知山市・綾部市境,綾部インター線,26203,1,7.1,福知山～綾部,3849,福知山～綾部,3688,7537,1.4,0.24,91.4,87.5,20.5,80
26112100040,舞鶴若狭自動車道,綾部インター線,一般国道４７８号,26203,1,4.4,綾部～綾部JCT,3960,綾部～綾部JCT,3777,7737,1.38,0.2,90.1,86.2,20.5,80
26112100050,舞鶴若狭自動車道,一般国道４７８号,綾部市・舞鶴市境,26203,1,5.9,綾部JCT～舞鶴西,4039,綾部JCT～舞鶴西,3863,7902,1.39,0.21,88.7,86.4,20.5,80
26112100060,舞鶴若狭自動車道,綾部市・舞鶴市境,池辺京田線,26202,1,2.1,綾部JCT～舞鶴西,4039,綾部JCT～舞鶴西,3863,7902,1.39,0.21,86.7,89.6,20.5,80
26112100070,舞鶴若狭自動車道,池辺京田線,小倉西舞鶴線,26202,1,10.7,舞鶴西～舞鶴東,3060,舞鶴西～舞鶴東,2975,6035,1.45,0.64,82.9,81.6,12,70
26112100080,舞鶴若狭自動車道,小倉西舞鶴線,舞鶴若狭自動車道,26202,1,4.1,舞鶴東～大飯高浜,2273,舞鶴東～大飯高浜,2173,4446,1.58,0.62,83.6,78.7,12,70
26103070710,新名神高速道路,一般国道２４号（京奈道路）,城陽市・京田辺市境,26207,1,1.2,城陽(JCT)～八幡京田辺(JCT),7364,城陽(JCT)～八幡京田辺(JCT),7834,15198,1.2,0.32,69.1,63.1,23.5,80
26103070720,新名神高速道路,城陽市・京田辺市境,京田辺市・八幡市境,26211,1,2.8,城陽(JCT)～八幡京田辺(JCT),7364,城陽(JCT)～八幡京田辺(JCT),7834,15198,1.2,0.32,87.7,84.4,23.5,80
26103070730,新名神高速道路,京田辺市・八幡市境,八幡京田辺インター線,26210,1,1.3,城陽(JCT)～八幡京田辺(JCT),7364,城陽(JCT)～八幡京田辺(JCT),7834,15198,1.2,1.13,49.4,21.4,14,40
26300010010,一般国道１号,一般国道１号,四ノ宮四ツ塚線,26110,0,0,京都市山科区音羽前田町,25574,京都市山科区音羽前田町,24447,50021,1.44,1.34,32.9,44.7,22,50
26300010020,一般国道１号,四ノ宮四ツ塚線,名神高速道路,26110,0,0,京都市山科区音羽前田町,25574,京都市山科区音羽前田町,24447,50021,1.44,1.34,31,42.8,22,50
26300010030,一般国道１号,名神高速道路,大津淀線,26110,0,0.6,京都市山科区音羽前田町,25574,京都市山科区音羽前田町,24447,50021,1.44,1.34,26.2,18.9,22,50
26300010040,一般国道１号,大津淀線,大津淀線,26110,0,0.6,京都市山科区音羽前田町,25574,京都市山科区音羽前田町,24447,50021,1.44,1.34,24.3,15,22,50
26300010050,一般国道１号,大津淀線,外環状線,26110,0,0.7,京都市山科区音羽前田町,25574,京都市山科区音羽前田町,24447,50021,1.44,1.34,21.3,11.3,22,50
26300010060,一般国道１号,外環状線,小野山科停車場線,26110,0,0.2,京都市山科区東野片下リ町,21012,京都市山科区東野片下リ町,20453,41465,1.43,1.43,10.4,25.2,23,50
26300010070,一般国道１号,小野山科停車場線,勧修寺日ノ岡線,26110,0,1.3,京都市山科区東野片下リ町,21012,京都市山科区東野片下リ町,20453,41465,1.43,1.43,14.3,20.2,23,50
26300010080,一般国道１号,勧修寺日ノ岡線,大石道,26110,0,0.3,京都市東山区清閑寺山ノ内町,26901,京都市東山区清閑寺山ノ内町,29294,56195,1.4,1.38,19.5,22.9,21,50
26300010090,一般国道１号,大石道,渋谷山科停車場線,26110,0,0.5,京都市東山区清閑寺山ノ内町,26901,京都市東山区清閑寺山ノ内町,29294,56195,1.4,1.38,26.5,36.7,21,50
26300010094,一般国道１号,渋谷山科停車場線,渋谷山科停車場線,26110,0,0.4,京都市東山区清閑寺山ノ内町,26901,京都市東山区清閑寺山ノ内町,29294,56195,1.4,1.38,46.9,47.4,21,50
26300010097,一般国道１号,渋谷山科停車場線,京都市山科区・京都市東山区境,26110,0,0.3,京都市東山区清閑寺山ノ内町,26901,京都市東山区清閑寺山ノ内町,29294,56195,1.4,1.38,50.3,44.8,21,50
26300010100,一般国道１号,京都市山科区・京都市東山区境,渋谷山科停車場線,26105,0,0.2,京都市東山区清閑寺山ノ内町,26901,京都市東山区清閑寺山ノ内町,29294,56195,1.4,0.88,48.6,39.7,18,50
26300010110,一般国道１号,渋谷山科停車場線,渋谷山科停車場線,26105,0,0.1,京都市東山区清閑寺山ノ内町,26901,京都市東山区清閑寺山ノ内町,29294,56195,1.4,2.22,48.7,34.7,19,50
26300010120,一般国道１号,渋谷山科停車場線,四ノ宮四ツ塚線,26105,0,1.3,京都市東山区清閑寺山ノ内町,26901,京都市東山区清閑寺山ノ内町,29294,56195,1.4,2.22,46,25.6,19,50
26300010130,一般国道１号,四ノ宮四ツ塚線,鴨川東岸線,26105,0,0.8,京都市東山区宮川筋8丁目,24646,京都市東山区朱雀町,25305,49951,1.4,0.95,18.5,21.5,50,50
26300010140,一般国道１号,鴨川東岸線,京都市東山区・京都市下京区境,26105,0,0,京都市下京区本覚寺前町,24923,京都市下京区本塩竈町,26176,51099,1.38,1,10.9,13.9,33.5,50
26300010150,一般国道１号,京都市東山区・京都市下京区境,下鴨京都停車場線,26106,0,0.2,京都市下京区本覚寺前町,24923,京都市下京区本塩竈町,26176,51099,1.38,1.11,11.2,14.4,49.5,50
26300010160,一般国道１号,下鴨京都停車場線,一般国道２４号,26106,0,0.6,京都市下京区本覚寺前町,24923,京都市下京区本塩竈町,26176,51099,1.38,1.11,11.6,19,49.5,50
26300010170,一般国道１号,一般国道２４号,一般国道９号,26106,0,0.7,京都市下京区本覚寺前町,24923,京都市下京区本塩竈町,26176,51099,1.38,1.11,17.2,21.9,49.5,50
26300010180,一般国道１号,一般国道９号,梅津東山七条線,26106,0,0.8,京都市下京区松明町,21007,京都市下京区西油小路町,24641,45648,1.38,0.79,19,11.7,38.5,50
26300010190,一般国道１号,梅津東山七条線,塩小路通,26106,0,0.2,京都市下京区松明町,21007,京都市下京区西油小路町,24641,45648,1.38,1.22,17.5,10,38.5,50
26300010195,一般国道１号,塩小路通,京都市下京区・京都市南区境,26106,0,0.2,京都市下京区松明町,21007,京都市下京区西油小路町,24641,45648,1.38,1.38,15.9,13,26,50
26300010200,一般国道１号,京都市下京区・京都市南区境,八条通,26107,0,0.1,京都市下京区松明町,21007,京都市下京区西油小路町,24641,45648,1.38,1.24,17.2,14.5,30,50
26300010210,一般国道１号,八条通,四ノ宮四ツ塚線,26107,0,0.5,京都市下京区松明町,21007,京都市下京区西油小路町,24641,45648,1.38,1.63,19.4,16.7,27,50
26300010220,一般国道１号,四ノ宮四ツ塚線,七条大宮四ツ塚線,26107,0,0.4,京都市南区西九条蔵王町,15126,京都市南区西九条島町,13212,28338,1.42,0.91,11.6,17.8,28,50
26300010230,一般国道１号,七条大宮四ツ塚線,一般国道１７１号,26107,0,0.3,京都市南区西九条蔵王町,15126,京都市南区西九条島町,13212,28338,1.42,0.91,13.4,22.8,28,50
26300010240,一般国道１号,一般国道１７１号,京都環状線,26107,0,0.7,京都市南区上鳥羽高畠町,22191,京都市南区上鳥羽菅田町,23812,46003,1.42,1.43,24.6,19.9,22,50
26300010250,一般国道１号,京都環状線,久世橋道,26107,0,0.8,京都市南区上鳥羽高畠町,22191,京都市南区上鳥羽菅田町,23812,46003,1.42,1.43,21.6,20.1,22,50
26300010260,一般国道１号,久世橋道,中山稲荷線,26107,0,0.1,京都市南区上鳥羽南花名町地先,27119,京都市南区上鳥羽南花名町地先,27344,54463,1.43,1.18,13.1,16.4,22,50
26300010270,一般国道１号,中山稲荷線,向日町上鳥羽線,26107,0,0.4,京都市南区上鳥羽南花名町地先,27119,京都市南区上鳥羽南花名町地先,27344,54463,1.43,1.18,15,19.1,22,50
26300010280,一般国道１号,向日町上鳥羽線,名神高速道路,26107,0,0.8,京都市南区上鳥羽南花名町地先,27119,京都市南区上鳥羽南花名町地先,27344,54463,1.43,1.18,12.8,27.8,22,50
26300010290,一般国道１号,名神高速道路,南インター竹田線,26109,0,0.3,京都市伏見区中島秋ノ山町,23192,京都市伏見区中島秋ノ山町,24463,47655,1.43,1.27,18.9,12.9,21,50
26300010300,一般国道１号,南インター竹田線,伏見向日線,26109,0,0.6,京都市伏見区中島秋ノ山町,22245,京都市伏見区中島鳥羽離宮町,25580,47825,1.45,1.39,22.3,12.7,21,50
26300010310,一般国道１号,伏見向日線,羽束師墨染線,26109,0,0.6,京都市伏見区中島樋ノ上町,25372,京都市伏見区中島外山町,24557,49929,1.46,1.17,15,20.5,20,50
26300010320,一般国道１号,羽束師墨染線,京都守口線,26109,0,0.9,京都市伏見区下鳥羽東柳長町,27036,京都市伏見区下鳥羽平塚町,27913,54949,1.46,1.29,17.6,20,20,50
26300010330,一般国道１号,京都守口線,観月橋横大路線,26109,0,0.7,京都市伏見区横大路芝生,25631,京都市伏見区横大路芝生,25220,50851,1.43,1.41,21.1,22.2,25,60
26300010340,一般国道１号,観月橋横大路線,三栖向納所線,26109,0,0.8,京都市伏見区横大路芝生,25631,京都市伏見区横大路芝生,25220,50851,1.43,1.41,16,46.7,25,60
26300010350,一般国道１号,三栖向納所線,京都市伏見区・久御山町境,26109,0,1.1,京都市伏見区向島上五反田町,25356,京都市伏見区向島上五反田町,27655,53011,1.43,1.57,20.1,46.2,25,60
26300010360,一般国道１号,京都市伏見区・久御山町境,一般国道１号,26322,0,1.4,久世郡久御山町森中内,17862,久世郡久御山町森中内,20222,38084,1.41,1.13,30.5,22.6,25,60
26300010370,一般国道１号,一般国道１号,八幡宇治線,26322,0,0.7,久世郡久御山町田井新荒見,17858,久世郡久御山町田井新荒見,19606,37464,1.47,1.28,16.6,26.7,24,60
26300010380,一般国道１号,八幡宇治線,宇治淀線,26322,0,1.4,久世郡久御山町田井新荒見,17858,久世郡久御山町田井新荒見,19606,37464,1.47,0.95,31.4,21,25,60
26300010390,一般国道１号,宇治淀線,久御山町・八幡市境,26322,0,0.7,久世郡久御山町下津屋鯛ケ鼻,22566,久世郡久御山町下津屋鯛ケ鼻,23092,45658,1.47,1.19,14.8,45.5,24.5,60
26300010400,一般国道１号,久御山町・八幡市境,八幡木津線,26210,0,0.5,八幡市下奈良榊,20976,八幡市下奈良榊,21166,42142,1.43,1.12,32.3,34.8,15,50
26300010405,一般国道１号,八幡木津線,八幡木津線,26210,0,0.4,八幡市下奈良榊,20976,八幡市下奈良榊,21166,42142,1.43,1.12,13.7,27,15,50
26300010410,一般国道１号,八幡木津線,八幡城陽線,26210,0,0.3,八幡市下奈良榊,20976,八幡市下奈良榊,21166,42142,1.43,1.12,14.3,33,15,50
26300010420,一般国道１号,八幡城陽線,交野久御山線,26210,0,0.6,八幡市下奈良榊,20976,八幡市下奈良榊,21166,42142,1.43,1.12,17.5,33,15,50
26300010430,一般国道１号,交野久御山線,富野荘八幡線,26210,0,0.9,八幡市美濃山ヒル塚,20028,八幡市美濃山ヒル塚,18657,38685,1.48,1.09,28.8,31.3,28,50
26300010440,一般国道１号,富野荘八幡線,長尾八幡線,26210,0,0.5,八幡市美濃山ヒル塚,20028,八幡市美濃山ヒル塚,18657,38685,1.48,1.09,24.1,30.3,28,50
26300010450,一般国道１号,長尾八幡線,八幡京田辺インター線,26210,0,0.5,八幡市美濃山ヒル塚,20028,八幡市美濃山ヒル塚,18657,38685,1.48,1.09,31.1,21,28,50
26300010460,一般国道１号,八幡京田辺インター線,一般国道１号,26210,0,0.2,八幡市美濃山ヒル塚,20028,八幡市美濃山ヒル塚,18657,38685,1.48,1.09,17.1,26.5,28,50
26300010480,一般国道１号（京滋バイパス）,一般国道１号（京滋バイパス）,二尾木幡線,26204,1,1,南郷～笠取,24741,南郷～笠取,26485,51226,1.46,0.92,80.7,65.4,20,80
26300010490,一般国道１号（京滋バイパス）,二尾木幡線,京都宇治線,26204,1,4.9,笠取～宇治東,26779,笠取～宇治東,28697,55476,1.44,1,66,69.3,20,80
26300010500,一般国道１号（京滋バイパス）,京都宇治線,京滋バイパス側道（宇治市道）,26204,1,2.1,宇治東～宇治西,24059,宇治東～宇治西,26263,50322,1.45,0.71,69.5,73.4,20,80
26300010510,一般国道１号（京滋バイパス）,京滋バイパス側道（宇治市道）,一般国道２４号,26204,1,1.5,宇治西～巨椋～久御山JCT,23220,宇治西～巨椋～久御山JCT,25221,48441,1.4,0.72,77.9,71.9,20,80
26300010520,一般国道１号（京滋バイパス）,一般国道２４号,一般国道２４号,26204,1,0.5,宇治西～巨椋～久御山JCT,23220,宇治西～巨椋～久御山JCT,25221,48441,1.4,0.72,77.6,69.1,20.5,80
26300010530,一般国道１号（京滋バイパス）,一般国道２４号,宇治市・久御山町境,26204,1,0.2,宇治西～巨椋～久御山JCT,23220,宇治西～巨椋～久御山JCT,25221,48441,1.4,0.72,82.4,71.8,20.5,80
26300010540,一般国道１号（京滋バイパス）,宇治市・久御山町境,一般国道１号（第二京阪道路）,26322,1,1.7,宇治西～巨椋～久御山JCT,23220,宇治西～巨椋～久御山JCT,25221,48441,1.4,0.72,84.9,71.6,20.5,80
26300010550,一般国道１号（京滋バイパス）,一般国道１号（第二京阪道路）,一般国道４７８号（京滋バイパス）,26322,1,0.7,久御山JCT～久御山,15425,久御山JCT～久御山,16474,31899,1.28,0.57,78.4,75.5,20.5,80
