交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
24110700010,東名阪自動車道,東名阪自動車道,水郷公園線,24205,1,0.8,弥富～長島,25248,弥富～長島,24096,49344,1.32,0.74,77.2,79.3,21.25,80
24110700020,東名阪自動車道,水郷公園線,一般国道２５８号,24205,1,3.3,長島～桑名東,24798,長島～桑名東,23995,48793,1.32,0.77,79.8,80.9,21.25,80
24110700030,東名阪自動車道,一般国道２５８号,一般国道４２１号,24205,1,3.9,桑名東～桑名,22815,桑名東～桑名,21979,44794,1.33,0.69,81.5,82.4,21.25,80
24110700040,東名阪自動車道,一般国道４２１号,桑名市・四日市市境,24205,1,2.7,桑名～四日市JCT,23783,桑名～四日市JCT,23047,46830,1.31,0.75,84.5,81.3,22.5,80
24110700050,東名阪自動車道,桑名市・四日市市境,伊勢湾岸自動車道,24202,1,0.7,桑名～四日市JCT,23783,桑名～四日市JCT,23047,46830,1.31,0.75,82.8,88.6,22.5,80
24110700060,東名阪自動車道,伊勢湾岸自動車道,上海老茂福線,24202,1,2.5,四日市JCT～四日市東,35255,四日市JCT～四日市東,34380,69635,1.65,1.06,82.7,88,30,80
24110700070,東名阪自動車道,上海老茂福線,一般国道４７７号,24202,1,6.4,四日市東～四日市,30266,四日市東～四日市,29346,59612,1.71,0.91,83.8,87.4,21.25,80
24110700080,東名阪自動車道,一般国道４７７号,四日市市・鈴鹿市境,24202,1,6.9,四日市～鈴鹿,28366,四日市～鈴鹿,27330,55696,1.75,0.85,82.3,86.9,21.25,80
24110700090,東名阪自動車道,四日市市・鈴鹿市境,神戸長沢線,24207,1,2.7,四日市～鈴鹿,28366,四日市～鈴鹿,27330,55696,1.75,0.85,83.1,85.7,21.25,80
24110700100,東名阪自動車道,神戸長沢線,鈴鹿市・亀山市境,24207,1,3.3,鈴鹿～亀山JCT,25734,鈴鹿～亀山JCT,25072,50806,1.82,0.79,82.7,86.8,22.5,80
24110700110,東名阪自動車道,鈴鹿市・亀山市境,新名神高速道路,24210,1,1.8,鈴鹿～亀山JCT,25734,鈴鹿～亀山JCT,25072,50806,1.82,0.79,85.2,87.6,22.5,80
24110700120,東名阪自動車道,新名神高速道路,亀山関線,24210,1,5.2,亀山JCT～亀山PAスマート,24548,亀山JCT～亀山PAスマート,23156,47704,1.37,0.68,85.6,84.7,22.5,80
24110700125,東名阪自動車道,亀山関線,一般国道１号,24210,1,0.7,亀山PAスマート～亀山,24366,亀山PAスマート～亀山,22888,47254,1.37,0.67,85.3,89.4,22.5,80
24110700130,東名阪自動車道,一般国道１号,東名阪自動車道,24210,1,2.3,亀山～伊勢関,11976,亀山～伊勢関,11572,23548,1.24,0.4,89.9,92,22.5,80
24117100010,東名阪自動車道,一般国道２５号（名阪国道）,東名阪自動車道,24210,1,1.4,関JCT～伊勢関,2687,関JCT～伊勢関,2576,5263,1.23,0.12,59.5,63.5,22.5,80
24117100020,伊勢自動車道,東名阪自動車道,津市・亀山市境,24201,1,1.9,伊勢関～芸濃,14552,伊勢関～芸濃,14259,28811,1.23,0.6,88.7,93.9,24.5,100
24117100030,伊勢自動車道,津市・亀山市境,亀山市・津市境,24210,1,2.8,伊勢関～芸濃,14552,伊勢関～芸濃,14259,28811,1.23,0.6,93.4,92.6,24.5,100
24117100040,伊勢自動車道,亀山市・津市境,津関線,24201,1,1.6,伊勢関～芸濃,14552,伊勢関～芸濃,14259,28811,1.23,0.6,90.7,92.7,24.5,100
24117100050,伊勢自動車道,津関線,津芸濃大山田線,24201,1,8.5,芸濃～津,13443,芸濃～津,13121,26564,1.23,0.57,91.8,90.2,24.5,100
24117100060,伊勢自動車道,津芸濃大山田線,一般国道１６５号,24201,1,6.3,津～久居,12135,津～久居,11532,23667,1.21,0.54,94.1,92.1,24.5,100
24117100070,伊勢自動車道,一般国道１６５号,津市・松阪市境,24201,1,5.2,久居～一志嬉野,9636,久居～一志嬉野,9055,18691,1.2,0.48,92.1,94.2,23.5,100
24117100080,伊勢自動車道,津市・松阪市境,一志嬉野線,24204,1,0.6,久居～一志嬉野,9636,久居～一志嬉野,9055,18691,1.2,0.48,93.5,94.4,23.5,100
24117100090,伊勢自動車道,一志嬉野線,松阪一志線,24204,1,6.4,一志嬉野～松阪,9157,一志嬉野～松阪,8636,17793,1.19,0.46,93.3,93.1,23.5,100
24117100100,伊勢自動車道,松阪一志線,松阪市・多気町境,24204,1,8.6,松阪～勢和多気JCT,6757,松阪～勢和多気JCT,6325,13082,1.17,0.36,93.1,96.1,20.5,80
24117100110,伊勢自動車道,松阪市・多気町境,紀勢自動車道,24441,1,5.3,松阪～勢和多気JCT,6757,松阪～勢和多気JCT,6325,13082,1.17,0.36,94.2,92.6,20.5,80
24117100115,伊勢自動車道,紀勢自動車道,,24441,1,1.3,勢和多気JCT～多気ヴィソンスマート,4195,勢和多気JCT～多気ヴィソンスマート,4160,8355,1.16,0.26,90,92.7,20.5,80
24117100120,伊勢自動車道,,多気町・玉城町境,24441,1,5.7,多気ヴィソンスマート～玉城,4408,多気ヴィソンスマート～玉城,4160,8568,1.15,0.25,89.5,93.1,20.5,80
24117100130,伊勢自動車道,多気町・玉城町境,度会玉城線,24461,1,3.3,多気ヴィソンスマート～玉城,4408,多気ヴィソンスマート～玉城,4160,8568,1.15,0.25,87.7,94.6,20.5,80
24117100140,伊勢自動車道,度会玉城線,玉城町・伊勢市境,24461,1,3.3,玉城～伊勢西,3297,玉城～伊勢西,3142,6439,1.14,0.15,90.2,92.8,20.5,80
24117100150,伊勢自動車道,玉城町・伊勢市境,伊勢磯部線,24203,1,6.2,玉城～伊勢西,3297,玉城～伊勢西,3142,6439,1.14,0.15,84.2,86.8,20.5,80
24117100160,伊勢自動車道,伊勢磯部線,一般国道２３号,24203,1,1.8,伊勢西IC～伊勢IC,1922,伊勢西IC～伊勢IC,1739,3661,1.16,0.12,68.6,71.9,20.5,60
24117300005,紀勢自動車道,伊勢自動車道,一般国道４２号,24441,1,0.5,勢和多気JCT～勢和多気～大宮大台,3802,勢和多気JCT～勢和多気～大宮大台,3405,7207,1.17,0.78,75.7,81.1,10.5,70
24117300010,紀勢自動車道,一般国道４２号,多気町・大台町境,24441,1,3.7,勢和多気JCT～勢和多気～大宮大台,3802,勢和多気JCT～勢和多気～大宮大台,3405,7207,1.17,0.78,78.7,82.3,10.5,70
24117300020,紀勢自動車道,多気町・大台町境,大台町・大紀町境,24443,1,6.5,勢和多気JCT～勢和多気～大宮大台,3802,勢和多気JCT～勢和多気～大宮大台,3405,7207,1.17,0.78,83.1,82.5,10.5,70
24117300030,紀勢自動車道,大台町・大紀町境,大紀町・大台町境,24471,1,2.1,勢和多気JCT～勢和多気～大宮大台,3802,勢和多気JCT～勢和多気～大宮大台,3405,7207,1.17,0.78,81.5,81.3,10.5,70
24117300040,紀勢自動車道,大紀町・大台町境,一般国道４２号,24443,1,0.6,勢和多気JCT～勢和多気～大宮大台,3802,勢和多気JCT～勢和多気～大宮大台,3405,7207,1.17,0.78,83.4,80.6,10.5,70
24117300050,紀勢自動車道,一般国道４２号,大台町・大紀町境,24443,1,4.1,大宮大台～紀勢大内山,2610,大宮大台～紀勢大内山,2512,5122,1.21,0.66,89.8,86,10.5,70
24117300060,紀勢自動車道,大台町・大紀町境,紀勢インタ－線,24471,1,6.3,大宮大台～紀勢大内山,2610,大宮大台～紀勢大内山,2512,5122,1.21,0.66,85.3,82.8,10.5,70
24117300070,紀勢自動車道,紀勢インタ－線,大紀町・紀北町境,24471,1,6.9,紀勢大内山～紀伊長島,2391,紀勢大内山～紀伊長島,2313,4704,1.21,0.58,77.1,78.2,10.5,70
24117300080,紀勢自動車道,大紀町・紀北町境,紀勢自動車道（尾鷲多気線）,24543,1,3.4,紀勢大内山～紀伊長島,2391,紀勢大内山～紀伊長島,2313,4704,1.21,0.58,80.2,83.3,10.5,70
24118400010,伊勢湾岸自動車道,伊勢湾岸自動車道,境政成新田蟹江線,24303,1,0.2,湾岸弥富～弥富木曽岬,39743,湾岸弥富～弥富木曽岬,39473,79216,1.7,0.75,80.8,82.6,30,100
24118400020,伊勢湾岸自動車道,境政成新田蟹江線,木曽岬町・桑名市境,24303,1,0.3,弥富木曽岬～湾岸長島,41083,弥富木曽岬～湾岸長島,40750,81833,1.67,0.8,80.1,79.9,30,100
24118400030,伊勢湾岸自動車道,木曽岬町・桑名市境,水郷公園線,24205,1,2.2,弥富木曽岬～湾岸長島,41083,弥富木曽岬～湾岸長島,40750,81833,1.67,0.8,82.5,83.5,30,100
24118400040,伊勢湾岸自動車道,水郷公園線,湾岸桑名インター線,24205,1,2.5,湾岸長島～湾岸桑名,39820,湾岸長島～湾岸桑名,39601,79421,1.69,0.78,83.1,84.2,30,100
24118400050,伊勢湾岸自動車道,湾岸桑名インター線,桑名市・川越町境,24205,1,0.7,湾岸桑名～みえ川越,37055,湾岸桑名～みえ川越,36719,73774,1.72,0.73,85.4,85.3,30,100
24118400060,伊勢湾岸自動車道,桑名市・川越町境,一般国道１号（北勢ＢＰ）,24344,1,1.1,湾岸桑名～みえ川越,37055,湾岸桑名～みえ川越,36719,73774,1.72,0.73,87,86.8,30,100
24118400070,伊勢湾岸自動車道,一般国道１号（北勢ＢＰ）,川越町・朝日町境,24344,1,1.5,みえ川越～みえ朝日,31342,みえ川越～みえ朝日,31431,62773,1.81,0.63,87.6,87.6,30,100
24118400080,伊勢湾岸自動車道,川越町・朝日町境,朝日町・川越町境,24343,1,0.6,みえ川越～みえ朝日,31342,みえ川越～みえ朝日,31431,62773,1.81,0.63,87.6,88.8,30,100
24118400090,伊勢湾岸自動車道,朝日町・川越町境,川越町・朝日町境,24344,1,0.9,みえ川越～みえ朝日,31342,みえ川越～みえ朝日,31431,62773,1.81,0.63,88.1,86.9,30,100
24118400100,伊勢湾岸自動車道,川越町・朝日町境,朝日町・四日市市境,24343,1,0.5,みえ川越～みえ朝日,31342,みえ川越～みえ朝日,31431,62773,1.81,0.63,88.8,82.8,30,100
24118400110,伊勢湾岸自動車道,朝日町・四日市市境,四日市市・朝日町境,24202,1,0.5,みえ川越～みえ朝日,31342,みえ川越～みえ朝日,31431,62773,1.81,0.63,88.8,81.2,30,100
24118400120,伊勢湾岸自動車道,四日市市・朝日町境,四日市朝日線,24343,1,0.1,みえ川越～みえ朝日,31342,みえ川越～みえ朝日,31431,62773,1.81,0.63,88.5,81.1,30,100
24118400130,伊勢湾岸自動車道,四日市朝日線,朝日町・四日市市境,24343,1,0.9,みえ朝日～四日市JCT,32258,みえ朝日～四日市JCT,32300,64558,1.79,0.64,89,85.8,30,100
24118400140,伊勢湾岸自動車道,朝日町・四日市市境,東名阪自動車道,24202,1,1.2,みえ朝日～四日市JCT,32258,みえ朝日～四日市JCT,32300,64558,1.79,0.64,87.8,86.4,30,100
24118400150,新名神高速道路,東名阪自動車道,四日市市・桑名市境,24202,1,1.5,四日市JCT～新四日市JCT,22202,四日市JCT～新四日市JCT,22383,44585,1.41,0.74,89.2,89.6,23.5,100
24118400160,新名神高速道路,四日市市・桑名市境,桑名市・東員町境,24205,1,1.4,四日市JCT～新四日市JCT,22202,四日市JCT～新四日市JCT,22383,44585,1.41,0.74,85.3,91.6,23.5,100
24118400170,新名神高速道路,桑名市・東員町境,東員町・四日市市境,24324,1,0.3,四日市JCT～新四日市JCT,22202,四日市JCT～新四日市JCT,22383,44585,1.41,0.74,86.7,89.5,23.5,100
24118400180,新名神高速道路,東員町・四日市市境,一般国道４７５号（東海環状道）,24202,1,1.2,四日市JCT～新四日市JCT,22202,四日市JCT～新四日市JCT,22383,44585,1.41,0.74,88.8,90,23.5,100
24119100030,新名神高速道路,一般国道４７５号（東海環状道）,四日市市・菰野町境,24202,1,3.5,新四日市JCT～菰野,19367,新四日市JCT～菰野,19696,39063,1.42,0.68,90,90.4,23.5,100
24119100040,新名神高速道路,四日市市・菰野町境,一般国道４７７号,24341,1,4.7,新四日市JCT～菰野,19367,新四日市JCT～菰野,19696,39063,1.42,0.68,90,89.2,23.5,100
24119100050,新名神高速道路,一般国道４７７号,菰野町・四日市市境,24341,1,4.4,菰野～鈴鹿PAスマート,18929,菰野～鈴鹿PAスマート,19313,38242,1.43,0.67,91.9,89,23.5,100
24119100060,新名神高速道路,菰野町・四日市市境,四日市市・鈴鹿市境,24202,1,2.4,菰野～鈴鹿PAスマート,18929,菰野～鈴鹿PAスマート,19313,38242,1.43,0.67,92,92.9,23.5,100
24119100070,新名神高速道路,四日市市・鈴鹿市境,鈴鹿市道山本６５号線,24207,1,1.2,菰野～鈴鹿PAスマート,18929,菰野～鈴鹿PAスマート,19313,38242,1.43,0.92,87.6,90.2,23.5,100
24119100080,新名神高速道路,鈴鹿市道山本６５号線,鈴鹿市・亀山市境,24207,1,4.6,鈴鹿PAスマート～亀山西JCT,18954,鈴鹿PAスマート～亀山西JCT,19250,38204,1.43,0.9,91.6,92.6,23.5,100
