交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
4110400010,東北自動車道,東北自動車道,一般国道４号,4206,1,17.2,国見～白石,13886,国見～白石,14341,28227,1.55,0.35,86.9,87.9,24.5,100
4110400020,東北自動車道,一般国道４号,白石市・蔵王町境,4206,1,1.2,白石～村田,14316,白石～村田,14739,29055,1.51,0.39,89.2,90.4,24.5,100
4110400030,東北自動車道,白石市・蔵王町境,蔵王町・村田町境,4301,1,10.3,白石～村田,14316,白石～村田,14739,29055,1.51,0.39,90.2,90.3,24.5,80
4110400040,東北自動車道,蔵王町・村田町境,亘理大河原川崎線,4322,1,0.8,白石～村田,14316,白石～村田,14739,29055,1.51,0.39,85.9,91,24.5,80
4110400050,東北自動車道,亘理大河原川崎線,山形自動車道,4322,1,2.7,村田～村田JCT,16472,村田～村田JCT,16932,33404,1.46,0.51,88.8,89.3,24.5,80
4110400060,東北自動車道,山形自動車道,村田町・太白区境,4322,1,6.3,村田JCT～仙台南,19746,村田JCT～仙台南,19956,39702,1.39,0.64,82.5,87.7,24.5,80
4110400070,東北自動車道,村田町・太白区境,太白区・名取市境,4104,1,4.4,村田JCT～仙台南,19746,村田JCT～仙台南,19956,39702,1.39,0.64,85.9,88.9,24.5,80
4110400080,東北自動車道,太白区・名取市境,一般国道２８６号,4207,1,1.6,村田JCT～仙台南,19746,村田JCT～仙台南,19956,39702,1.39,0.64,88,85.5,24.5,80
4110400090,東北自動車道,一般国道２８６号,太白区・青葉区境,4104,1,4.3,仙台南～仙台宮城,15511,仙台南～仙台宮城,15322,30833,1.36,0.56,89.4,89.4,24.5,80
4110400100,東北自動車道,太白区・青葉区境,一般国道４８号（仙台西道路）,4101,1,1.3,仙台南～仙台宮城,15511,仙台南～仙台宮城,15322,30833,1.36,0.56,86.3,89.6,24.5,80
4110400110,東北自動車道,一般国道４８号（仙台西道路）,青葉区・泉区境,4101,1,5.4,仙台宮城～泉PAスマート,13374,仙台宮城～泉PAスマート,13483,26857,1.4,0.45,89.7,93.1,24.5,80
4110400120,東北自動車道,青葉区・泉区境,泉塩釜線,4105,1,4.8,仙台宮城～泉PAスマート,13374,仙台宮城～泉PAスマート,13483,26857,1.4,0.45,87.7,89.9,24.5,80
4110400130,東北自動車道,泉塩釜線,一般国道４号,4105,1,3.5,泉PAスマート～泉,13350,泉PAスマート～泉,13724,27074,1.39,0.49,89.1,88.5,24.5,80
4110400140,東北自動車道,一般国道４号,泉区・富谷市境,4105,1,0.6,泉～富谷JCT,15417,泉～富谷JCT,15690,31107,1.37,0.74,88.9,88.2,24.5,80
4110400150,東北自動車道,泉区・富谷市境,一般国道４７号（仙台北部道路）,4216,1,2.7,泉～富谷JCT,15417,泉～富谷JCT,15690,31107,1.37,0.74,91.7,96.3,24.5,100
4110400160,東北自動車道,一般国道４７号（仙台北部道路）,富谷市・大和町境,4216,1,4.1,富谷JCT～大和,19102,富谷JCT～大和,19252,38354,1.39,0.83,89.2,95.6,24.5,100
4110400170,東北自動車道,富谷市・大和町境,塩釜吉岡線,4421,1,3.6,富谷JCT～大和,19102,富谷JCT～大和,19252,38354,1.39,0.83,88.2,90,24.5,100
4110400180,東北自動車道,塩釜吉岡線,大和町・大衡村境,4421,1,2.1,大和～大衡,17704,大和～大衡,17735,35439,1.39,0.76,88.9,93.7,24.5,100
4110400185,東北自動車道,大和町・大衡村境,大衡落合線,4424,1,1.1,大和～大衡,17704,大和～大衡,17735,35439,1.39,0.76,92.9,92.6,24.5,100
4110400190,東北自動車道,大衡落合線,大衡村・大崎市境,4424,1,3.1,大衡～三本木スマート,17012,大衡～三本木スマート,17039,34051,1.4,0.73,93.3,92.8,24.5,100
4110400200,東北自動車道,大衡村・大崎市境,市道（三本木スマートIC）,4215,1,3.4,大衡～三本木スマート,17012,大衡～三本木スマート,17039,34051,1.4,0.73,90.4,91.7,24.5,100
4110400210,東北自動車道,市道（三本木スマートIC）,一般国道４７号,4215,1,8.3,三本木スマート～古川,15694,三本木スマート～古川,15624,31318,1.42,0.55,91.9,92.1,24.5,100
4110400220,東北自動車道,一般国道４７号,化女沼公園線,4215,1,5.9,古川～長者原スマート,13019,古川～長者原スマート,13057,26076,1.46,0.46,93.2,92.4,24.5,100
4110400230,東北自動車道,化女沼公園線,大崎市・栗原市境,4215,1,3.4,長者原スマート～築館,12712,長者原スマート～築館,12762,25474,1.46,0.59,93.1,92.5,24.5,100
4110400240,東北自動車道,大崎市・栗原市境,一般国道４号,4213,1,6.8,長者原スマート～築館,12712,長者原スマート～築館,12762,25474,1.46,0.59,90.9,93,24.5,100
4110400250,東北自動車道,一般国道４号,中田栗駒線,4213,1,11.8,築館～若柳金成,10845,築館～若柳金成,11028,21873,1.51,0.4,92.5,92.5,24.5,100
4110400260,東北自動車道,中田栗駒線,東北自動車道,4213,1,11.2,若柳金成～一関,10529,若柳金成～一関,10656,21185,1.51,0.52,93.7,91.4,24.5,100
4114000010,常磐自動車道,一般国道６号,山元町・亘理町境,4362,1,1,山元～鳥の海スマート,6849,山元～鳥の海スマート,6966,13815,1.32,0.3,93.3,90.9,23.5,100
4114000015,常磐自動車道,山元町・亘理町境,相馬亘理線,4361,1,5.1,山元～鳥の海スマート,6849,山元～鳥の海スマート,6966,13815,1.32,0.3,94.3,94.1,23.5,100
4114000020,常磐自動車道,相馬亘理線,一般国道６号（仙台東部道路）,4361,1,5.4,鳥の海スマート～亘理,7373,鳥の海スマート～亘理,7516,14889,1.32,0.31,95.1,93.3,23.5,100
4114000095,常磐自動車道,常磐自動車道,角田山元線,4362,1,0.7,新地～山元南スマート,5455,新地～山元南スマート,5460,10915,1.37,0.81,86.9,83.4,12,70
4114000100,常磐自動車道,角田山元線,一般国道６号,4362,1,9.3,山元南スマート～山元,5573,山元南スマート～山元,5550,11123,1.37,0.85,91,88.8,12,70
4114300010,山形自動車道,東北自動車道,村田町・川崎町境,4322,1,6,村田JCT～宮城川崎,5747,村田JCT～宮城川崎,5997,11744,1.29,0.28,92.4,88.5,20.5,80
4114300020,山形自動車道,村田町・川崎町境,一般国道２８６号,4324,1,4,村田JCT～宮城川崎,5747,村田JCT～宮城川崎,5997,11744,1.29,0.28,94.2,90.7,20.5,80
4114300030,山形自動車道,一般国道２８６号,一般国道２８６号,4324,1,11.9,宮城川崎～笹谷,5836,宮城川崎～笹谷,6042,11878,1.29,0.26,91.2,89.8,20.5,80
4114300040,山形自動車道,一般国道２８６号,山形自動車道,4324,1,3.8,笹谷～関沢,7297,笹谷～関沢,7572,14869,1.28,0.32,88.5,83,20.5,80
4300040010,一般国道４号,一般国道４号,越河角田線,4206,0,3.1,白石市斎川字舘山,7168,白石市斎川字舘山,6652,13820,1.48,0.83,63.4,61.8,16.25,50
4300040020,一般国道４号,越河角田線,,4206,0,6.1,白石市斎川字舘山,7168,白石市斎川字舘山,6652,13820,1.48,0.83,49.9,49.1,13.5,50
4300040030,一般国道４号,,白石丸森線,4206,0,1.7,白石市城南一丁目,8077,白石市城南一丁目,7268,15345,1.48,1.25,46.7,45.7,13,60
4300040040,一般国道４号,白石丸森線,一般国道１１３号,4206,0,0.9,白石市城南一丁目,10026,白石市城南一丁目,9422,19448,1.36,0.67,30.4,40.5,22.23,60
4300040050,一般国道４号,一般国道１１３号,一般国道４５７号,4206,0,2.4,白石市福岡蔵本字菅生田,10843,白石市福岡蔵本字菅生田,10605,21448,1.36,0.88,57.8,61.9,21.25,60
4300040060,一般国道４号,一般国道４５７号,白石上山線,4206,0,0.3,白石市福岡蔵本字菅生田,10843,白石市福岡蔵本字菅生田,10605,21448,1.36,0.88,40.5,34.2,21.25,60
4300040070,一般国道４号,白石上山線,東北自動車道,4206,0,1.8,白石市福岡深谷字街道外三番,15099,白石市福岡深谷字街道外三番,14795,29894,1.36,0.8,35.3,41.3,22.25,60
4300040080,一般国道４号,東北自動車道,白石市・蔵王町境,4206,0,0.5,白石市福岡深谷字街道外三番,15099,白石市福岡深谷字街道外三番,14795,29894,1.36,0.8,36.4,33.9,22.25,60
4300040090,一般国道４号,白石市・蔵王町境,白石上山線,4301,0,0.6,白石市福岡深谷字街道外三番,15099,白石市福岡深谷字街道外三番,14795,29894,1.36,0.77,41.1,47.7,25,60
4300040100,一般国道４号,白石上山線,岩沼蔵王線,4301,0,1.6,刈田郡蔵王町宮字小浜川原,12117,刈田郡蔵王町宮字小浜川原,11467,23584,1.36,0.66,39,38.7,25,60
4300040110,一般国道４号,岩沼蔵王線,白川犬卒都婆向山線（旧北白川停車場向山線）,4301,0,2.8,刈田郡蔵王町宮字小浜川原,12117,刈田郡蔵王町宮字小浜川原,11467,23584,1.36,0.58,51.2,51.3,24.55,60
4300040120,一般国道４号,白川犬卒都婆向山線（旧北白川停車場向山線）,蔵王町・大河原町境,4301,0,0.1,柴田郡大河原町字新南,13949,柴田郡大河原町字新南,12555,26504,1.36,1.03,19.7,31.2,29.06,60
4300040130,一般国道４号,蔵王町・大河原町境,大河原高倉線,4321,0,2.7,柴田郡大河原町字新南,13949,柴田郡大河原町字新南,12555,26504,1.36,1.03,35.9,38.7,29.06,60
4300040140,一般国道４号,大河原高倉線,蔵王大河原線,4321,0,1.1,柴田郡大河原町字新南,14028,柴田郡大河原町字新南,12949,26977,1.36,0.91,27.5,30.6,28,60
4300040150,一般国道４号,蔵王大河原線,亘理大河原川崎線,4321,0,0.9,柴田郡大河原町字新南,14028,柴田郡大河原町字新南,12949,26977,1.36,0.91,34.3,27.6,28,60
4300040160,一般国道４号,亘理大河原川崎線,大河原町・村田町境,4321,0,0.5,柴田郡村田町沼辺字立石,17132,柴田郡村田町沼辺字立石,16639,33771,1.33,1,26.1,42.5,28,60
4300040170,一般国道４号,大河原町・村田町境,村田町・柴田町境,4322,0,1.4,柴田郡村田町沼辺字立石,17132,柴田郡村田町沼辺字立石,16639,33771,1.33,0.87,41.9,40.9,26.75,60
