交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
45110300010,九州縦貫自動車道鹿児島線宮崎線,九州縦貫自動車道鹿児島線宮崎線,九州縦貫自動車道鹿児島線,45209,1,5.9,人吉球磨スマート～えびの,6090,人吉球磨スマート～えびの,6578,12668,1.46,0.2,87.2,92.8,20.5,80
45113200010,九州縦貫自動車道鹿児島線,九州縦貫自動車道鹿児島線宮崎線,九州縦貫自動車道鹿児島線,45209,1,2,えびの～えびのJCT,5940,えびの～えびのJCT,6411,12351,1.42,0.19,91.7,89.3,21,80
45110300030,九州縦貫自動車道鹿児島線,九州縦貫自動車道鹿児島線,九州縦貫自動車道鹿児島線,45209,1,3.1,えびのJCT～栗野,4285,えびのJCT～栗野,4625,8910,1.4,0.22,93.1,91.4,20.5,80
45100330245,東九州自動車道,一般国道１０号（延岡南道路）,土々呂日向線,45421,1,1.5,門川～門川南スマート,2251,門川～門川南スマート,2216,4467,1.21,0.52,80.3,81.3,10.5,70
45100330250,東九州自動車道,土々呂日向線,門川町・日向市境,45421,1,4,門川南スマート～日向,2436,門川南スマート～日向,2375,4811,1.21,0.54,84.9,83.4,10.5,70
45100330260,東九州自動車道,門川町・日向市境,一般国道３２７号（日向IC）,45206,1,8,門川南スマート～日向,2436,門川南スマート～日向,2375,4811,1.21,0.54,89.7,85.1,10.5,70
45100330220,東九州自動車道,一般国道３２７号（日向IC）,日向市・都農町境,45206,1,12.5,日向～都農,3377,日向～都農,3233,6610,1.2,0.65,83.6,82.5,10.5,70
45100330230,東九州自動車道,日向市・都農町境,都農インター線,45406,1,6.6,日向～都農,3377,日向～都農,3233,6610,1.2,0.65,85.5,84,10.5,70
45113010150,東九州自動車道,都農インター線,都農町・川南町境,45406,1,1.5,都農～高鍋,3452,都農～高鍋,3293,6745,1.19,0.79,84.8,82.1,10.5,70
45113010160,東九州自動車道,都農町・川南町境,川南町・高鍋町境,45405,1,11.4,都農～高鍋,3452,都農～高鍋,3293,6745,1.19,0.79,85.1,85.1,10.5,70
45100330170,東九州自動車道,川南町・高鍋町境,東九州自動車道,45401,1,0.8,都農～高鍋,3452,都農～高鍋,3293,6745,1.19,0.79,83.8,83.4,10.5,70
