交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
20111000010,中央自動車道西宮線,中央自動車道西宮線,諏訪南インタ－線,20362,1,11,小淵沢～諏訪南,10921,小淵沢～諏訪南,9701,20622,1.55,0.34,92.3,92.3,20.5,80
20111000020,中央自動車道西宮線,諏訪南インタ－線,富士見町・茅野市境,20362,1,0.3,諏訪南～諏訪,11999,諏訪南～諏訪,10907,22906,1.5,0.41,91.6,93.5,20.5,80
20111000030,中央自動車道西宮線,富士見町・茅野市境,茅野市・原村境,20214,1,2,諏訪南～諏訪,11999,諏訪南～諏訪,10907,22906,1.5,0.41,91.2,87.1,20.5,80
20111000040,中央自動車道西宮線,茅野市・原村境,原村・茅野市境,20363,1,2.6,諏訪南～諏訪,11999,諏訪南～諏訪,10907,22906,1.5,0.41,86.8,84.2,20.5,80
20111000050,中央自動車道西宮線,原村・茅野市境,茅野市・諏訪市境,20214,1,6.4,諏訪南～諏訪,11999,諏訪南～諏訪,10907,22906,1.5,0.41,84.2,84.5,20.5,80
20111000060,中央自動車道西宮線,茅野市・諏訪市境,一般国道２０号,20206,1,0.1,諏訪南～諏訪,11999,諏訪南～諏訪,10907,22906,1.5,0.41,89.4,82.6,20.5,80
20111000070,中央自動車道西宮線,一般国道２０号,諏訪市・岡谷市境,20206,1,5.8,諏訪～岡谷JCT,15970,諏訪～岡谷JCT,15030,31000,1.43,0.55,88.7,90,20.5,80
20111000080,中央自動車道西宮線,諏訪市・岡谷市境,長野自動車道,20204,1,4.3,諏訪～岡谷JCT,15970,諏訪～岡谷JCT,15030,31000,1.43,0.55,89.3,90.8,20.5,80
20111000090,中央自動車道西宮線,長野自動車道,岡谷市・辰野町境,20204,1,5.8,岡谷JCT～伊北,15865,岡谷JCT～伊北,16531,32396,1.53,0.53,82.4,85.9,20.5,80
20111000100,中央自動車道西宮線,岡谷市・辰野町境,辰野町・箕輪町境,20382,1,8,岡谷JCT～伊北,15865,岡谷JCT～伊北,16531,32396,1.53,0.53,88.9,89.8,20.5,80
20111000110,中央自動車道西宮線,辰野町・箕輪町境,一般国道１５３号,20383,1,1.3,岡谷JCT～伊北,15865,岡谷JCT～伊北,16531,32396,1.53,0.53,91.7,88.6,20.5,80
20111000120,中央自動車道西宮線,一般国道１５３号,箕輪町・南箕輪村境,20383,1,4.3,伊北～伊那,14186,伊北～伊那,14974,29160,1.57,0.37,92.4,89.2,20.5,80
20111000130,中央自動車道西宮線,箕輪町・南箕輪村境,南箕輪村・伊那市境,20385,1,2.7,伊北～伊那,14186,伊北～伊那,14974,29160,1.57,0.37,92.4,90.6,20.5,80
20111000140,中央自動車道西宮線,南箕輪村・伊那市境,伊那インタ－線,20209,1,1.7,伊北～伊那,14186,伊北～伊那,14974,29160,1.57,0.37,91.3,88.8,20.5,80
20111000150,中央自動車道西宮線,伊那インタ－線,伊那市・南箕輪村境,20209,1,0.1,伊那～小黒川スマート,13374,伊那～小黒川スマート,14125,27499,1.59,0.49,91,90.7,20.5,80
20111000160,中央自動車道西宮線,伊那市・南箕輪村境,南箕輪村・伊那市境,20385,1,1.1,伊那～小黒川スマート,13374,伊那～小黒川スマート,14125,27499,1.59,0.49,90.9,90.8,20.5,80
20111000165,中央自動車道西宮線,南箕輪村・伊那市境,伊那市道,20209,1,1.2,伊那～小黒川スマート,13374,伊那～小黒川スマート,14125,27499,1.59,0.49,90.9,88.3,20.5,80
20111000170,中央自動車道西宮線,伊那市道,伊那市・宮田村境,20209,1,6.4,小黒川スマート～駒ヶ根,13398,小黒川スマート～駒ヶ根,14172,27570,1.59,0.48,90.6,89.5,20.5,80
20111000180,中央自動車道西宮線,伊那市・宮田村境,宮田村・伊那市境,20388,1,0.1,小黒川スマート～駒ヶ根,13398,小黒川スマート～駒ヶ根,14172,27570,1.59,0.48,91.6,91.1,20.5,80
20111000190,中央自動車道西宮線,宮田村・伊那市境,伊那市・宮田村境,20209,1,1.4,小黒川スマート～駒ヶ根,13398,小黒川スマート～駒ヶ根,14172,27570,1.59,0.48,90.7,89.9,20.5,80
20111000200,中央自動車道西宮線,伊那市・宮田村境,宮田村・駒ヶ根市境,20388,1,3.6,小黒川スマート～駒ヶ根,13398,小黒川スマート～駒ヶ根,14172,27570,1.59,0.48,92.5,87.7,20.5,80
20111000210,中央自動車道西宮線,宮田村・駒ヶ根市境,駒ケ根駒ケ岳公園線,20210,1,1.2,小黒川スマート～駒ヶ根,13398,小黒川スマート～駒ヶ根,14172,27570,1.59,0.48,89.9,87.7,20.5,80
20111000215,中央自動車道西宮線,駒ケ根駒ケ岳公園線,市道琴ヶ沢線,20210,1,3.1,駒ヶ根～駒ヶ岳スマート,12539,駒ヶ根～駒ヶ岳スマート,13442,25981,1.62,0.49,89.1,,20.5,80
20111000220,中央自動車道西宮線,市道琴ヶ沢線,駒ヶ根市・飯島町境,20210,1,0.6,駒ヶ岳スマート～松川,12351,駒ヶ岳スマート～松川,13342,25693,1.63,0.47,87,88.2,20.5,80
20111000230,中央自動車道西宮線,駒ヶ根市・飯島町境,飯島町・松川町境,20384,1,7.7,駒ヶ岳スマート～松川,12351,駒ヶ岳スマート～松川,13342,25693,1.63,0.47,89.7,84.7,20.5,80
20111000240,中央自動車道西宮線,飯島町・松川町境,松川インター大鹿線,20402,1,3.6,駒ヶ岳スマート～松川,12351,駒ヶ岳スマート～松川,13342,25693,1.63,0.47,89.5,90.8,20.5,80
