交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
42113110010,九州横断自動車道長崎大分線,九州横断自動車道長崎大分線,一般国道３４号,42321,1,4.4,嬉野～東そのぎ,6903,嬉野～東そのぎ,6921,13824,1.26,0.34,96.6,96.8,20.5,100
42113110020,九州横断自動車道長崎大分線,一般国道３４号,東彼杵町・大村市境,42321,1,6.3,東そのぎ～大村,8305,東そのぎ～大村,8291,16596,1.25,0.37,93.8,91.1,23.5,100
42113110030,九州横断自動車道長崎大分線,東彼杵町・大村市境,一般国道４４４号,42205,1,7.2,東そのぎ～大村,8305,東そのぎ～大村,8291,16596,1.25,0.37,96.2,95.4,23.5,100
42113110035,九州横断自動車道長崎大分線,一般国道４４４号,大村外環状線,42205,1,3.6,大村～木場スマート,10419,大村～木場スマート,10605,21024,1.24,0.39,94.7,80.5,23.5,100
42113110040,九州横断自動車道長崎大分線,大村外環状線,大村市・諫早市境,42205,1,6.9,木場スマート～諫早,11806,木場スマート～諫早,11969,23775,1.24,0.46,92.4,95.6,23.5,100
42113110050,九州横断自動車道長崎大分線,大村市・諫早市境,一般国道３４号,42204,1,1.6,木場スマート～諫早,11806,木場スマート～諫早,11969,23775,1.24,0.46,89.7,86.2,23.5,100
42113110060,九州横断自動車道長崎大分線,一般国道３４号,諫早市・長崎市境,42204,1,3.9,諫早～長崎多良見,11317,諫早～長崎多良見,11868,23185,1.22,0.43,96.1,89,23.5,100
42113110070,九州横断自動車道長崎大分線,諫早市・長崎市境,一般国道３４号,42201,1,1,諫早～長崎多良見,11317,諫早～長崎多良見,11868,23185,1.22,0.43,88.1,92.8,23.5,100
42113110080,九州横断自動車道長崎大分線,一般国道３４号,一般県道長崎芒塚インター線,42201,1,8.3,長崎多良見～長崎芒塚,6546,長崎多良見～長崎芒塚,6802,13348,1.21,1.38,88.2,88.6,11,70
42113110090,九州横断自動車道長崎大分線,一般県道長崎芒塚インター線,長崎インター線,42201,1,3,長崎芒塚～長崎,5476,長崎芒塚～長崎,5753,11229,1.21,1.28,72.8,73.7,11,70
42300340010,一般国道３４号,一般国道３４号,九州横断自動車道長崎大分線,42321,0,6.6,東彼杵郡東彼杵町坂本郷1338,2120,東彼杵郡東彼杵町坂本郷1338,2050,4170,1.25,0.4,44.8,41,9.5,50
42300340020,一般国道３４号,九州横断自動車道長崎大分線,千綿渓線,42321,0,2.1,東彼杵郡東彼杵町,8091,東彼杵郡東彼杵町,8166,16257,1.32,1.11,29.8,38.1,10.5,50
42300340030,一般国道３４号,千綿渓線,東彼杵町・大村市境,42321,0,4.6,東彼杵郡東彼杵町,8091,東彼杵郡東彼杵町,8166,16257,1.32,1.11,40.9,43.6,10.5,50
42300340040,一般国道３４号,東彼杵町・大村市境,大村嬉野線,42205,0,1.6,東彼杵郡東彼杵町,8091,東彼杵郡東彼杵町,8166,16257,1.32,1.15,48.4,43.4,10.5,50
42300340050,一般国道３４号,大村嬉野線,松原停車場線,42205,0,0.9,大村市竹松本町840-3,6898,大村市竹松本町840-3,8472,15370,1.24,0.99,29.4,25.6,10.5,50
42300340060,一般国道３４号,松原停車場線,竹松停車場線,42205,0,3.1,大村市竹松本町840-3,6898,大村市竹松本町840-3,8472,15370,1.24,1.21,21.1,23.2,11,50
42300340070,一般国道３４号,竹松停車場線,一般国道４４４号,42205,0,1.6,大村市桜馬場1丁目389-3,12125,大村市桜馬場1丁目389-3,14038,26163,1.3,1,25.5,25.2,20,50
42300340080,一般国道３４号,一般国道４４４号,大村停車場線,42205,0,2.9,大村市桜馬場1丁目389-3,12125,大村市桜馬場1丁目389-3,14038,26163,1.3,1,23,30,20,50
42300340090,一般国道３４号,大村停車場線,,42205,0,1,大村市西本町,20539,大村市西本町,22246,42785,1.34,0.92,21,27.3,31.25,50
42300340100,一般国道３４号,,大村貝津線,42205,0,1.8,大村市久原二丁目,15257,大村市久原二丁目,13698,28955,1.34,0.68,35.5,26.7,31.25,50
42300340110,一般国道３４号,大村貝津線,大村貝津線,42205,0,0.1,大村市久原二丁目,15257,大村市久原二丁目,13698,28955,1.34,0.68,38.3,19.4,31.25,50
42300340120,一般国道３４号,大村貝津線,大村市・諫早市境,42205,0,3.6,大村市中里町,13684,大村市中里町,13708,27392,1.34,1.45,34.2,17.8,13.75,50
42300340130,一般国道３４号,大村市・諫早市境,富川渓線,42204,0,1.1,大村市中里町,13684,大村市中里町,13708,27392,1.34,1.47,16.9,34.4,9.75,50
42300340140,一般国道３４号,富川渓線,,42204,0,3.6,諫早市下大渡野町,7909,諫早市下大渡野町,7406,15315,1.34,0.96,26.9,32.7,35.75,60
42300340150,一般国道３４号,,一般国道５７号,42204,0,1.3,諫早市小船越町,6149,諫早市小船越町,6046,12195,1.34,1.17,24.2,32.3,34.75,60
42300340155,一般国道３４号,一般国道５７号,諫早外環状線,42204,0,0.3,諫早市貝津町2239-3,27158,諫早市貝津町2239-3,25508,52666,1.32,1.01,18.4,21,30.75,60
42300340160,一般国道３４号,諫早外環状線,大村貝津線,42204,0,0.7,諫早市貝津町2239-3,27158,諫早市貝津町2239-3,25508,52666,1.32,1.01,29.5,12.4,30.75,60
42300340170,一般国道３４号,大村貝津線,九州横断自動車道長崎大分線,42204,0,0.8,諫早市多良見町市布,20180,諫早市多良見町市布,19900,40080,1.32,1.11,14.6,20.7,25.25,60
42300340180,一般国道３４号,九州横断自動車道長崎大分線,田結久山線,42204,0,1.3,諫早市多良見町市布,20180,諫早市多良見町市布,19900,40080,1.32,1.02,27.5,20.3,26.75,60
42300340190,一般国道３４号,田結久山線,一般国道２０７号,42204,0,0.6,諫早市多良見町市布,20180,諫早市多良見町市布,19900,40080,1.32,1.02,24.6,25.4,26.75,60
42300340200,一般国道３４号,一般国道２０７号,一般国道３４号（長崎バイパス）,42204,0,2.7,諫早市多良見町市布,20180,諫早市多良見町市布,19900,40080,1.32,1.02,23.8,29.7,26.75,60
42300340210,一般国道３４号,一般国道３４号（長崎バイパス）,九州横断自動車道長崎大分線,42204,0,0.6,長崎市古賀町1066,11425,長崎市古賀町1066,11049,22474,1.32,1.58,39.6,33.4,11,50
