交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
29110720010,西名阪自動車道,一般国道２５号（名阪国道）,天理市・大和郡山市境,29204,1,1.6,郡山IC～天理IC,19771,郡山IC～天理IC,19645,39416,1.4,0.63,69.5,69,21,60
29110720020,西名阪自動車道,天理市・大和郡山市境,一般国道２４号,29203,1,1.3,郡山IC～天理IC,19771,郡山IC～天理IC,19645,39416,1.4,0.63,57.8,67.2,21,80
29110720023,西名阪自動車道,一般国道２４号,一般国道２４号（京奈和自動車道）,29203,1,1.2,郡山下ツ道JCT～郡山IC,19125,郡山下ツ道JCT～郡山IC,18951,38076,1.37,0.61,80.8,80.8,21,80
29110720025,西名阪自動車道,一般国道２４号（京奈和自動車道）,大和郡山広陵線,29203,1,1.2,大和まほろばSIC～郡山下ツ道JCT,23739,大和まほろばSIC～郡山下ツ道JCT,24202,47941,1.38,0.76,87.1,78.8,21,80
29110720030,西名阪自動車道,大和郡山広陵線,大和郡山市・安堵町境,29203,1,0.7,法隆寺IC～大和まほろばSIC,24880,法隆寺IC～大和まほろばSIC,25148,50028,1.38,0.81,82.9,80.3,21,80
29110720040,西名阪自動車道,大和郡山市・安堵町境,安堵町・大和郡山市境,29345,1,0.2,法隆寺IC～大和まほろばSIC,24880,法隆寺IC～大和まほろばSIC,25148,50028,1.38,0.81,82.4,80.1,21,80
29110720050,西名阪自動車道,安堵町・大和郡山市境,大和郡山市・安堵町境,29203,1,0.1,法隆寺IC～大和まほろばSIC,24880,法隆寺IC～大和まほろばSIC,25148,50028,1.38,0.81,81.7,77.5,21,80
29110720060,西名阪自動車道,大和郡山市・安堵町境,安堵町・河合町境,29345,1,2.4,法隆寺IC～大和まほろばSIC,24880,法隆寺IC～大和まほろばSIC,25148,50028,1.38,0.81,80,75.8,21,80
29110720070,西名阪自動車道,安堵町・河合町境,大和高田斑鳩線,29427,1,0.5,法隆寺IC～大和まほろばSIC,24880,法隆寺IC～大和まほろばSIC,25148,50028,1.38,0.81,81.9,79,21,80
29110720080,西名阪自動車道,大和高田斑鳩線,河合町・上牧町境,29427,1,2.2,香芝IC～法隆寺IC,25607,香芝IC～法隆寺IC,25861,51468,1.38,0.76,83.3,78.5,21,80
29110720090,西名阪自動車道,河合町・上牧町境,上牧町・香芝市境,29424,1,2.1,香芝IC～法隆寺IC,25607,香芝IC～法隆寺IC,25861,51468,1.38,0.76,80.9,76.5,21,80
29110720100,西名阪自動車道,上牧町・香芝市境,香芝インタ－線,29210,1,1.1,香芝IC～法隆寺IC,25607,香芝IC～法隆寺IC,25861,51468,1.38,0.76,78.5,73.6,19.5,80
29110720110,西名阪自動車道,香芝インタ－線,西名阪自動車道,29210,1,3.5,柏原IC～香芝IC,29813,柏原IC～香芝IC,30179,59992,1.39,1.03,76.7,74.1,21.25,80
29300240010,一般国道２４号,一般国道２４号,一般国道２４号,29201,0,0.3,奈良市左京5,14785,奈良市左京5,14012,28797,1.37,0.44,37.6,59.2,31.94,60
29300240030,一般国道２４号,一般国道２４号,,29201,0,0.9,奈良市左京5,15367,奈良市左京5,13378,28745,1.37,0.43,56.9,37.8,28.61,60
29300240040,一般国道２４号,,奈良加茂線,29201,0,1.8,奈良市法蓮町,23586,奈良市法蓮町,20809,44395,1.34,1.08,56.9,13.5,27.5,60
29300240050,一般国道２４号,奈良加茂線,,29201,0,1.6,奈良市法蓮町,23586,奈良市法蓮町,20809,44395,1.34,1.08,18.9,19.8,27.5,60
29300240060,一般国道２４号,,,29201,0,0.3,奈良市四条大路1,14543,奈良市四条大路1,14673,29216,1.34,0.4,57.7,34,19.1,60
29300240070,一般国道２４号,,京終停車場薬師寺線,29201,0,1.3,奈良市柏木町,27295,奈良市柏木町,25494,52789,1.36,1.16,31.2,13.9,28.54,60
29300240080,一般国道２４号,京終停車場薬師寺線,奈良大和郡山線,29201,0,1.3,奈良市柏木町,27295,奈良市柏木町,25494,52789,1.36,1.16,14.5,15,28.54,60
29300240090,一般国道２４号,奈良大和郡山線,,29201,0,0.3,奈良市柏木町,27295,奈良市柏木町,25494,52789,1.36,1.16,19.1,17.7,28.54,60
29300240100,一般国道２４号,,奈良市・大和郡山市境,29201,0,0.3,奈良市西九条町4,26205,奈良市西九条町4,25834,52039,1.36,1.05,18.8,20.5,26.68,60
29300240110,一般国道２４号,奈良市・大和郡山市境,大和郡山上三橋線,29203,0,0.8,奈良市西九条町4,26205,奈良市西九条町4,25834,52039,1.36,0.96,11.8,31.2,27.79,60
29300240120,一般国道２４号,大和郡山上三橋線,大和郡山環状線,29203,0,1.5,大和郡山市大江町,20269,大和郡山市大江町,20581,40850,1.36,0.81,14.8,21.5,27.79,60
29300240130,一般国道２４号,大和郡山環状線,木津横田線,29203,0,0.9,大和郡山市大江町,20269,大和郡山市大江町,20581,40850,1.36,0.81,19.2,11,27.79,60
29300240140,一般国道２４号,木津横田線,一般国道２５号,29203,0,0.6,大和郡山市大江町,20269,大和郡山市大江町,20581,40850,1.36,0.81,35.5,12.7,27.79,60
29300240150,一般国道２４号,一般国道２５号,西名阪自動車道,29203,0,0.6,大和郡山市横田町,24728,大和郡山市横田町,25520,50248,1.36,1.03,14.9,24.8,27.79,60
29300240160,一般国道２４号,西名阪自動車道,大和郡山市・天理市境,29203,0,0.2,大和郡山市横田町,24728,大和郡山市横田町,25520,50248,1.36,1.03,12.7,14.3,27.79,60
29300240170,一般国道２４号,大和郡山市・天理市境,筒井二階堂線,29204,0,0.2,天理市南六条町,24186,天理市南六条町,25457,49643,1.36,1.02,15.6,13,36.55,50
29300240180,一般国道２４号,筒井二階堂線,一般国道２４号,29204,0,0.3,天理市南六条町,24186,天理市南六条町,25457,49643,1.36,1.02,12.3,22.8,36.55,50
29300240190,一般国道２４号,一般国道２４号,天理斑鳩線,29204,0,0.9,天理市二階堂上ノ庄町,9562,天理市二階堂上ノ庄町,10315,19877,1.31,1.29,8.7,24,14,50
29300240200,一般国道２４号,天理斑鳩線,一般国道２５号,29204,0,0.5,天理市二階堂上ノ庄町,9562,天理市二階堂上ノ庄町,10315,19877,1.31,1.29,10.7,19.6,14,50
29300240210,一般国道２４号,一般国道２５号,天理王寺線,29204,0,1.4,天理市嘉幡町,9491,天理市嘉幡町,8628,18119,1.31,1.21,18.3,19,13.67,50
29300240220,一般国道２４号,天理王寺線,天理王寺線,29204,0,0.1,天理市嘉幡町,9491,天理市嘉幡町,8628,18119,1.31,1.21,17.2,18,13.67,50
29300240230,一般国道２４号,天理王寺線,天理市・田原本町境,29204,0,0.6,天理市嘉幡町,9491,天理市嘉幡町,8628,18119,1.31,1.21,14.2,32.3,13.67,50
29300240235,一般国道２４号,天理市・田原本町境,,29363,0,0.7,磯城郡田原本町唐古,8840,磯城郡田原本町唐古,9039,17879,1.31,1.09,15,27,15,50
29300240240,一般国道２４号,,結崎田原本線,29363,0,0.5,磯城郡田原本町唐古,8840,磯城郡田原本町唐古,9039,17879,1.31,1.09,27,26.4,15,50
29300240250,一般国道２４号,結崎田原本線,柳本田原本線,29363,0,0.3,磯城郡田原本町唐古,8840,磯城郡田原本町唐古,9039,17879,1.31,1.09,28.4,22,15,50
29300240260,一般国道２４号,柳本田原本線,大和高田桜井線,29363,0,1,磯城郡田原本町千代,9794,磯城郡田原本町千代,10646,20440,1.28,1.08,24.6,22.5,12.69,50
