交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
15110800010,北陸自動車道,日本海東北自動車道,新潟市江南区・新潟市西区境,15104,1,1.4,新潟中央JCT～新潟西,10200,新潟中央JCT～新潟西,10288,20488,1.3,0.44,89.1,87.7,23.5,80
15110800020,北陸自動車道,新潟市江南区・新潟市西区境,一般国道１１６号,15107,1,2.1,新潟中央JCT～新潟西,10200,新潟中央JCT～新潟西,10288,20488,1.3,0.44,87.2,88.4,23.5,80
15110800030,北陸自動車道,一般国道１１６号,主要地方道新潟燕線,15107,1,5.8,新潟西～黒埼スマート,19413,新潟西～黒埼スマート,19178,38591,1.31,0.68,89.5,91.2,23.5,100
15110800040,北陸自動車道,主要地方道新潟燕線,新潟市西区・新潟市西蒲区境,15107,1,1.3,黒埼スマート～巻潟東,19626,黒埼スマート～巻潟東,19426,39052,1.31,0.72,88.3,91,23.5,100
15110800050,北陸自動車道,新潟市西区・新潟市西蒲区境,一般国道４６０号,15108,1,8.1,黒埼スマート～巻潟東,19626,黒埼スマート～巻潟東,19426,39052,1.31,0.72,89.7,90.3,23.5,100
15110800060,北陸自動車道,一般国道４６０号,新潟市西蒲区・燕市境,15108,1,2.6,巻潟東～三条燕,19130,巻潟東～三条燕,18948,38078,1.31,0.71,88.8,90.7,23.5,100
15110800070,北陸自動車道,新潟市西蒲区・燕市境,一般国道２８９号,15213,1,7.7,巻潟東～三条燕,19130,巻潟東～三条燕,18948,38078,1.31,0.71,90.6,88,23.5,100
15110800080,北陸自動車道,一般国道２８９号,燕市・三条市境,15213,1,0.6,三条燕～栄スマート,17713,三条燕～栄スマート,17740,35453,1.33,0.64,88.8,77.7,23.5,100
15110800090,北陸自動車道,燕市・三条市境,三条市・燕市境,15204,1,1.2,三条燕～栄スマート,17713,三条燕～栄スマート,17740,35453,1.33,0.64,89.4,71.2,23.5,100
15110800100,北陸自動車道,三条市・燕市境,燕市・三条市境,15213,1,0.8,三条燕～栄スマート,17713,三条燕～栄スマート,17740,35453,1.33,0.64,78.2,67.9,23.5,100
15110800105,北陸自動車道,燕市・三条市境,栄スマートIC接続道路,15204,1,3.3,三条燕～栄スマート,17713,三条燕～栄スマート,17740,35453,1.33,0.64,76.3,74.6,23.5,100
