交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
33110200010,山陽自動車道,山陽自動車道,一般国道２号,33211,1,4.9,赤穂～備前,17571,赤穂～備前,17702,35273,1.88,0.71,85.6,82.5,23,80
33110200020,山陽自動車道,一般国道２号,備前市・和気町境,33211,1,7.3,備前～和気,16032,備前～和気,16296,32328,1.88,0.67,94,84.4,23,80
33110200030,山陽自動車道,備前市・和気町境,一般国道３７４号,33346,1,3,備前～和気,16032,備前～和気,16296,32328,1.88,0.67,86,87.4,23,80
33110200040,山陽自動車道,一般国道３７４号,和気町・赤磐市境,33346,1,1.7,和気～山陽,16274,和気～山陽,16590,32864,1.86,0.68,90.6,86.4,23,80
33110200050,山陽自動車道,和気町・赤磐市境,赤磐市・岡山市東区境,33213,1,5.2,和気～山陽,16274,和気～山陽,16590,32864,1.86,0.68,89.3,88.2,23,80
33110200060,山陽自動車道,赤磐市・岡山市東区境,岡山市東区・赤磐市境,33103,1,4.6,和気～山陽,16274,和気～山陽,16590,32864,1.86,0.68,87,84.2,23,80
33110200070,山陽自動車道,岡山市東区・赤磐市境,西大寺山陽線,33213,1,2.5,和気～山陽,16274,和気～山陽,16590,32864,1.86,0.46,87.4,89.1,23,80
33110200080,山陽自動車道,西大寺山陽線,赤磐市・岡山市北区境,33213,1,3.6,山陽～岡山,17877,山陽～岡山,18371,36248,1.76,0.72,88.8,85.4,23,80
33110200090,山陽自動車道,赤磐市・岡山市北区境,一般国道５３号,33101,1,10,山陽～岡山,17877,山陽～岡山,18371,36248,1.76,0.72,86.9,86.1,23,80
33110200100,山陽自動車道,一般国道５３号,辛川市場佐山線,33101,1,1.6,岡山～吉備スマート,21763,岡山～吉備スマート,22041,43804,1.62,0.63,86.1,85.9,25,100
33110200110,山陽自動車道,辛川市場佐山線,山陽自動車道,33101,1,5.5,吉備スマート～岡山JCT,22345,吉備スマート～岡山JCT,22486,44831,1.6,0.65,87.2,83.8,25,100
33110200120,山陽自動車道,山陽自動車道,岡山市北区・倉敷市境,33101,1,1.2,岡山JCT～倉敷JCT,22212,岡山JCT～倉敷JCT,22463,44675,1.61,0.56,88.7,81.8,25,100
33110200130,山陽自動車道,岡山市北区・倉敷市境,山陽自動車道,33202,1,5.2,岡山JCT～倉敷JCT,22212,岡山JCT～倉敷JCT,22463,44675,1.61,0.56,88.5,88,25,100
33110200140,山陽自動車道,山陽自動車道,一般国道４２９号,33202,1,2.1,倉敷JCT～倉敷,20777,倉敷JCT～倉敷,21053,41830,1.64,0.35,90.2,88.1,31,100
33110200150,山陽自動車道,一般国道４２９号,倉敷美袋線,33202,1,9.5,倉敷～玉島,20570,倉敷～玉島,20667,41237,1.65,0.75,88.4,87.9,25,100
33110200160,山陽自動車道,倉敷美袋線,倉敷市・浅口市境,33202,1,5.2,玉島～鴨方,21326,玉島～鴨方,21703,43029,1.66,0.79,88.3,85.1,25,100
33110200170,山陽自動車道,倉敷市・浅口市境,鴨方矢掛線,33216,1,3.4,玉島～鴨方,21326,玉島～鴨方,21703,43029,1.66,0.79,88,85.8,25,100
33110200180,山陽自動車道,鴨方矢掛線,浅口市・里庄町境,33216,1,2.2,鴨方～笠岡,21200,鴨方～笠岡,21560,42760,1.67,0.77,89,88.7,25,100
33110200190,山陽自動車道,浅口市・里庄町境,里庄町・浅口市境,33445,1,0.2,鴨方～笠岡,21200,鴨方～笠岡,21560,42760,1.67,0.77,90.4,87.8,25,100
33110200200,山陽自動車道,里庄町・浅口市境,浅口市・笠岡市境,33216,1,1.3,鴨方～笠岡,21200,鴨方～笠岡,21560,42760,1.67,0.77,91,86.1,25,100
33110200210,山陽自動車道,浅口市・笠岡市境,笠岡井原線,33205,1,3.2,鴨方～笠岡,21200,鴨方～笠岡,21560,42760,1.67,0.77,87.4,89,25,100
33110200220,山陽自動車道,笠岡井原線,山陽自動車道,33205,1,5.8,笠岡～福山東,20171,笠岡～福山東,20425,40596,1.71,0.74,86.1,85.4,25,100
33110200240,山陽自動車道,山陽自動車道,倉敷市・早島町境,33202,1,2.2,倉敷JCT～早島,11892,倉敷JCT～早島,11867,23759,1.34,0.37,87.8,83.5,23,80
33110200250,山陽自動車道,倉敷市・早島町境,一般国道２号,33423,1,1.2,倉敷JCT～早島,11892,倉敷JCT～早島,11867,23759,1.34,0.37,83,87.8,23,80
33110200270,山陽自動車道,山陽自動車道,岡山自動車道,33101,1,0.4,岡山JCT～岡山総社,5712,岡山JCT～岡山総社,5602,11314,1.27,0.27,86.3,85.2,20.5,80
33112010010,中国自動車道,中国自動車道,作東インター線,33215,1,1.5,佐用～作東,4681,佐用～作東,4635,9316,1.55,0.32,89,88.3,20.5,80
33112010020,中国自動車道,作東インター線,美作奈義線,33215,1,8.2,作東～美作,4648,作東～美作,4703,9351,1.54,0.33,87.5,85.4,20.5,80
33112010025,中国自動車道,美作奈義線,一般国道３７４号,33215,1,2.4,美作～勝央,4451,美作～勝央,4493,8944,1.57,0.17,90.6,86.9,20.5,80
33112010030,中国自動車道,一般国道３７４号,美作市・勝央町境,33215,1,0.2,勝央～津山,4384,勝央～津山,4494,8878,1.55,0.18,90.6,87.4,20.5,80
33112010040,中国自動車道,美作市・勝央町境,勝央町・津山市境,33622,1,5,勝央～津山,4384,勝央～津山,4494,8878,1.55,0.18,88.8,87,20.5,80
33112010050,中国自動車道,勝央町・津山市境,一般国道５３号,33203,1,3.7,勝央～津山,4384,勝央～津山,4494,8878,1.55,0.18,89.4,88.2,20.5,80
33112010060,中国自動車道,一般国道５３号,一般国道１７９号,33203,1,10.4,津山～院庄,4759,津山～院庄,4833,9592,1.51,0.17,89.8,87,20.5,80
33112010070,中国自動車道,一般国道１７９号,津山市・真庭市境,33203,1,12.1,院庄～落合JCT,5241,院庄～落合JCT,5298,10539,1.47,0.17,92,88.7,20.5,80
33112010080,中国自動車道,津山市・真庭市境,米子自動車道,33214,1,1.6,院庄～落合JCT,5241,院庄～落合JCT,5298,10539,1.47,0.17,83.9,88.6,20.5,80
33112010090,中国自動車道,米子自動車道,一般国道３１３号,33214,1,6.7,落合JCT～落合,4855,落合JCT～落合,5192,10047,1.43,0.19,84.7,84.7,20.5,80
33112010100,中国自動車道,一般国道３１３号,岡山自動車道,33214,1,9.3,落合～北房JCT,5309,落合～北房JCT,5612,10921,1.41,0.18,87.3,89,20.5,80
33112010110,中国自動車道,岡山自動車道,一般国道３１３号,33214,1,2.5,北房JCT～北房,3143,北房JCT～北房,3381,6524,1.55,0.15,90.9,85.3,20.5,80
33112010120,中国自動車道,一般国道３１３号,真庭市・新見市境,33214,1,6.5,北房～大佐スマート,2783,北房～大佐スマート,3045,5828,1.62,0.31,89,82.6,20.5,60
33112010130,中国自動車道,真庭市・新見市境,新見市・真庭市境,33210,1,0.2,北房～大佐スマート,2783,北房～大佐スマート,3045,5828,1.62,0.31,90.5,77.2,20.5,60
33112010140,中国自動車道,新見市・真庭市境,真庭市・新見市境,33214,1,0.8,北房～大佐スマート,2783,北房～大佐スマート,3045,5828,1.62,0.31,87,85.2,20.5,60
33112010150,中国自動車道,真庭市・新見市境,市道戸谷線,33210,1,6.6,北房～大佐スマート,2783,北房～大佐スマート,3045,5828,1.62,0.31,78.1,82.4,20.5,60
33112010160,中国自動車道,市道戸谷線,一般国道１８０号,33210,1,12.3,大佐スマート～新見,2680,大佐スマート～新見,2945,5625,1.67,0.28,84.4,83.1,20.5,60
33112010170,中国自動車道,一般国道１８０号,中国自動車道,33210,1,22.6,新見～東城,2037,新見～東城,2319,4356,1.95,0.19,86.4,84.8,20.5,60
33112210010,岡山自動車道,山陽自動車道,一般国道１８０号,33101,1,0.3,岡山JCT～岡山総社,5712,岡山JCT～岡山総社,5602,11314,1.27,0.27,82.4,89.8,20.5,80
33112210020,岡山自動車道,一般国道１８０号,岡山市北区・総社市境,33101,1,0.5,岡山総社～賀陽,4482,岡山総社～賀陽,4478,8960,1.26,0.3,92.7,90.3,20.5,80
33112210030,岡山自動車道,岡山市北区・総社市境,総社市・吉備中央町境,33208,1,12.4,岡山総社～賀陽,4482,岡山総社～賀陽,4478,8960,1.26,0.3,93.5,90.6,20.5,80
33112210040,岡山自動車道,総社市・吉備中央町境,一般国道４８４号,33681,1,6.7,岡山総社～賀陽,4482,岡山総社～賀陽,4478,8960,1.26,0.3,93.5,92.1,20.5,80
33112210050,岡山自動車道,一般国道４８４号,吉備中央町・高梁市境,33681,1,6.4,賀陽～有漢,3907,賀陽～有漢,3836,7743,1.26,0.96,84.9,87.9,10.5,70
33112210060,岡山自動車道,吉備中央町・高梁市境,高梁旭線,33209,1,6.4,賀陽～有漢,3907,賀陽～有漢,3836,7743,1.26,0.96,86.2,85.5,10.5,70
33112210070,岡山自動車道,高梁旭線,高梁市・真庭市境,33209,1,4.2,有漢～北房JCT,3904,有漢～北房JCT,3839,7743,1.25,0.97,80.5,83.1,10.5,70
33112210080,岡山自動車道,高梁市・真庭市境,中国自動車道,33214,1,4.2,有漢～北房JCT,3904,有漢～北房JCT,3839,7743,1.25,0.97,87,92.4,10.5,70
33112220010,米子自動車道,中国自動車道,一般国道１８１号,33214,1,3.2,落合JCT～久世,3479,落合JCT～久世,3199,6678,1.31,0.17,88.7,91.3,20.5,80
