交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
47113500010,沖縄自動車道,那覇糸満線,那覇市・南風原町境,47201,1,.1,那覇～西原JCT,6266,那覇～西原JCT,5134,11400,1.21,.26,8.8,26.9,22.00,80
47113500020,沖縄自動車道,那覇市・南風原町境,南風原町・西原町境,47350,1,1.6,那覇～西原JCT,6266,那覇～西原JCT,5134,11400,1.21,.26,25.6,57.9,22.00,80
47113500030,沖縄自動車道,南風原町・西原町境,一般国道５０６号（南風原道路）,47329,1,.8,那覇～西原JCT,6266,那覇～西原JCT,5134,11400,1.21,.26,88.7,88.3,22.00,80
47113500040,沖縄自動車道,一般国道５０６号（南風原道路）,西原町・浦添市境,47329,1,2.4,西原JCT～西原,24610,西原JCT～西原,23417,48027,1.22,.86,68.2,76.9,22.00,80
47113500050,沖縄自動車道,西原町・浦添市境,浦添市・西原町境,47208,1,.7,西原JCT～西原,24610,西原JCT～西原,23417,48027,1.22,.86,71.8,69.1,22.00,80
47113500060,沖縄自動車道,浦添市・西原町境,一般国道３３０号,47329,1,.1,西原JCT～西原,24610,西原JCT～西原,23417,48027,1.22,.86,76.8,78.4,22.00,80
47113500070,沖縄自動車道,一般国道３３０号,西原町・宜野湾市境,47329,1,1.2,西原～北中城,27485,西原～北中城,27044,54529,1.23,1.04,64.1,76.9,22.00,80
47113500080,沖縄自動車道,西原町・宜野湾市境,宜野湾市・中城村境,47205,1,1.0,西原～北中城,27485,西原～北中城,27044,54529,1.23,1.04,71.2,81.3,22.00,80
47113500090,沖縄自動車道,宜野湾市・中城村境,中城村・北中城村境,47328,1,3.9,西原～北中城,27485,西原～北中城,27044,54529,1.23,1.04,69.7,80.8,22.00,80
47113500100,沖縄自動車道,中城村・北中城村境,那覇北中城線,47327,1,.3,西原～北中城,27485,西原～北中城,27044,54529,1.23,1.04,77.7,83.0,22.00,80
47113500110,沖縄自動車道,那覇北中城線,宜野湾北中城線,47327,1,1.3,北中城～喜舎場スマート,26744,北中城～喜舎場スマート,23958,50702,1.22,1.00,77.7,82.8,22.00,80
47113500120,沖縄自動車道,宜野湾北中城線,北中城村・沖縄市境,47327,1,1.8,喜舎場スマート～沖縄南,23904,喜舎場スマート～沖縄南,23958,47862,1.22,.97,78.4,83.6,22.00,80
47113500130,沖縄自動車道,北中城村・沖縄市境,沖縄北谷線,47211,1,2.7,喜舎場スマート～沖縄南,23904,喜舎場スマート～沖縄南,23958,47862,1.22,.97,73.8,70.0,22.00,80
47113500140,沖縄自動車道,沖縄北谷線,一般国道３２９号,47211,1,5.1,沖縄南～沖縄北,19179,沖縄南～沖縄北,18413,37592,1.22,.80,83.0,84.4,22.00,80
47113500150,沖縄自動車道,一般国道３２９号,沖縄市・うるま市境,47211,1,2.0,沖縄北～石川,14619,沖縄北～石川,14276,28895,1.22,.77,89.6,90.3,22.00,80
47113500160,沖縄自動車道,沖縄市・うるま市境,石川仲泊線,47213,1,6.5,沖縄北～石川,14619,沖縄北～石川,14276,28895,1.22,.77,87.2,91.8,22.00,80
47113500170,沖縄自動車道,石川仲泊線,うるま市・金武町境,47213,1,1.2,石川～屋嘉,13582,石川～屋嘉,13608,27190,1.21,.81,87.8,89.3,23.00,80
47113500180,沖縄自動車道,うるま市・金武町境,屋嘉恩納線,47314,1,1.5,石川～屋嘉,13582,石川～屋嘉,13608,27190,1.21,.81,89.1,91.8,23.00,80
47113500190,沖縄自動車道,屋嘉恩納線,一般国道３２９号,47314,1,5.8,屋嘉～金武,12148,屋嘉～金武,12233,24381,1.21,.74,90.4,81.9,23.00,80
47113500200,沖縄自動車道,一般国道３２９号,金武町・宜野座村境,47314,1,4.5,金武～宜野座,9378,金武～宜野座,9312,18690,1.20,.54,93.4,93.2,23.00,80
47113500210,沖縄自動車道,金武町・宜野座村境,一般国道３２９号（宜野座改良）,47313,1,3.7,金武～宜野座,9378,金武～宜野座,9312,18690,1.20,.54,87.6,95.4,23.00,80
47113500220,沖縄自動車道,一般国道３２９号（宜野座改良）,宜野座村・名護市境,47313,1,4.3,宜野座～許田,7661,宜野座～許田,7351,15012,1.19,.41,85.9,91.4,23.00,80
47113500230,沖縄自動車道,宜野座村・名護市境,名護市・宜野座村境,47209,1,.4,宜野座～許田,7661,宜野座～許田,7351,15012,1.19,.41,93.8,92.9,23.00,80
47113500240,沖縄自動車道,名護市・宜野座村境,宜野座村・名護市境,47313,1,.5,宜野座～許田,7661,宜野座～許田,7351,15012,1.19,.41,91.3,93.2,23.00,80
