交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
27110110010,名神高速道路,名神高速道路,島本町・高槻市境,27301,1,3.2,大山崎(JCT)～高槻JCT,54244,大山崎(JCT)～高槻JCT,55411,109655,1.5,0.89,80.3,84.4,32,80
27110110015,名神高速道路,島本町・高槻市境,新名神高速道路（高槻連絡路）,27207,1,3.4,大山崎(JCT)～高槻JCT,54244,大山崎(JCT)～高槻JCT,55411,109655,1.5,0.89,84.1,74.9,32,80
27110110020,名神高速道路,新名神高速道路（高槻連絡路）,高槻市・茨木市境,27207,1,5.1,高槻JCT～茨木,41715,高槻JCT～茨木,43178,84893,1.4,0.74,86.8,82.7,32,80
27110110030,名神高速道路,高槻市・茨木市境,一般国道１７１号,27211,1,2.7,高槻JCT～茨木,41715,高槻JCT～茨木,43178,84893,1.4,0.74,84.5,77.8,31,80
27110110040,名神高速道路,一般国道１７１号,中国自動車道,27211,1,2,茨木～吹田JCT,46637,茨木～吹田JCT,49247,95884,1.38,0.9,76.8,63.8,32,80
27110110050,名神高速道路,中国自動車道,茨木市・吹田市境,27211,1,0.3,吹田JCT～吹田,40792,吹田JCT～吹田,34617,75409,1.37,0.7,81.7,58.4,32.5,80
27110110060,名神高速道路,茨木市・吹田市境,吹田市・茨木市境,27205,1,0.4,吹田JCT～吹田,40792,吹田JCT～吹田,34617,75409,1.37,0.7,81.7,57.8,42.5,80
27110110070,名神高速道路,吹田市・茨木市境,茨木市・吹田市境,27211,1,0.1,吹田JCT～吹田,40792,吹田JCT～吹田,34617,75409,1.37,0.7,82.1,61.9,32.5,80
27110110080,名神高速道路,茨木市・吹田市境,近畿自動車道,27205,1,0.1,吹田JCT～吹田,40792,吹田JCT～吹田,34617,75409,1.37,0.7,79.6,75.2,32.5,80
27110110090,名神高速道路,近畿自動車道,吹田市・豊中市境,27205,1,7.7,吹田～豊中,31858,吹田～豊中,32149,64007,1.35,0.96,76.5,73.1,32.25,80
