交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
41110300010,九州縦貫自動車道鹿児島線宮崎線,九州縦貫自動車道鹿児島線宮崎線,九州縦貫自動車道鹿児島線宮崎線,41341,1,0.9,筑紫野～鳥栖JCT,46794,筑紫野～鳥栖JCT,46009,92803,1.28,1.22,67.7,79.8,32,100
41110300030,九州縦貫自動車道鹿児島線宮崎線,九州縦貫自動車道鹿児島線宮崎線,基山町・鳥栖市境,41341,1,2.4,筑紫野～鳥栖JCT,46794,筑紫野～鳥栖JCT,46009,92803,1.28,1.22,61.9,84.6,32,100
41110300040,九州縦貫自動車道鹿児島線宮崎線,基山町・鳥栖市境,九州縦貫自動車道鹿児島線宮崎線,41203,1,0.8,筑紫野～鳥栖JCT,46794,筑紫野～鳥栖JCT,46009,92803,1.28,1.22,43.2,91,32,100
41110300050,九州縦貫自動車道鹿児島線宮崎線,九州縦貫自動車道鹿児島線宮崎線,九州縦貫自動車道鹿児島線宮崎線,41203,1,3.4,鳥栖JCT～久留米,30402,鳥栖JCT～久留米,30111,60513,1.28,0.62,69.3,92.4,32,100
41110300070,九州縦貫自動車道鹿児島線宮崎線,九州縦貫自動車道鹿児島線宮崎線,九州横断自動車道長崎大分線,41203,1,1.2,鳥栖JCT～鳥栖,22738,鳥栖JCT～鳥栖,22214,44952,1.26,0.68,78.7,84.4,23.5,100
41113110010,九州横断自動車道長崎大分線,九州縦貫自動車道鹿児島線宮崎線,鳥栖市・みやき町境,41203,1,7.7,鳥栖～東脊振,15218,鳥栖～東脊振,15390,30608,1.25,0.72,87,91,23.5,100
41113110020,九州横断自動車道長崎大分線,鳥栖市・みやき町境,みやき町・上峰町境,41346,1,2.7,鳥栖～東脊振,15218,鳥栖～東脊振,15390,30608,1.25,0.72,90.5,92.6,23.5,100
41113110030,九州横断自動車道長崎大分線,みやき町・上峰町境,上峰町・吉野ヶ里町境,41345,1,1.5,鳥栖～東脊振,15218,鳥栖～東脊振,15390,30608,1.25,0.72,89,94.6,23.5,100
41113110040,九州横断自動車道長崎大分線,上峰町・吉野ヶ里町境,一般国道３８５号,41327,1,1.7,鳥栖～東脊振,15218,鳥栖～東脊振,15390,30608,1.25,0.72,92.4,91.6,23.5,100
41113110050,九州横断自動車道長崎大分線,一般国道３８５号,吉野ヶ里町・神埼市境,41327,1,1.4,東脊振～佐賀大和,13308,東脊振～佐賀大和,13400,26708,1.25,0.47,93.4,93.1,23.5,100
41113110060,九州横断自動車道長崎大分線,吉野ヶ里町・神埼市境,神埼市・佐賀市境,41210,1,4.4,東脊振～佐賀大和,13308,東脊振～佐賀大和,13400,26708,1.25,0.47,92.2,93.5,23.5,100
41113110070,九州横断自動車道長崎大分線,神埼市・佐賀市境,一般国道２６３号,41201,1,6,東脊振～佐賀大和,13308,東脊振～佐賀大和,13400,26708,1.25,0.47,31.5,93.5,23.5,100
41113110080,九州横断自動車道長崎大分線,一般国道２６３号,佐賀市・小城市境,41201,1,4.6,佐賀大和～小城PAスマート,10947,佐賀大和～小城PAスマート,11054,22001,1.25,0.48,89.2,95.2,23.5,100
41113110085,九州横断自動車道長崎大分線,佐賀市・小城市境,小城富士線,41208,1,2,佐賀大和～小城PAスマート,10947,佐賀大和～小城PAスマート,11054,22001,1.25,0.48,96.5,90.9,23.5,100
41113110090,九州横断自動車道長崎大分線,小城富士線,小城市・多久市境,41208,1,5.2,小城PAスマート～多久,10701,小城PAスマート～多久,10751,21452,1.25,0.51,94.9,95.3,23.5,100
41113110100,九州横断自動車道長崎大分線,小城市・多久市境,一般国道２０３号,41204,1,3.3,小城PAスマート～多久,10701,小城PAスマート～多久,10751,21452,1.25,0.51,93.7,94.3,23.5,100
41113110110,九州横断自動車道長崎大分線,一般国道２０３号,多久市・武雄市境,41204,1,7.9,多久～武雄北方,9544,多久～武雄北方,9566,19110,1.25,0.44,95.1,93.2,23.5,100
41113110120,九州横断自動車道長崎大分線,多久市・武雄市境,一般国道３４号,41206,1,3.2,多久～武雄北方,9544,多久～武雄北方,9566,19110,1.25,0.44,95.5,97.7,23.5,100
41113110130,九州横断自動車道長崎大分線,一般国道３４号,一般国道４９７号(武雄佐世保道路),41206,1,11.3,武雄北方～武雄JCT,7602,武雄北方～武雄JCT,7715,15317,1.27,0.31,95.9,92.8,23.5,100
41113110140,九州横断自動車道長崎大分線,一般国道４９７号(武雄佐世保道路),武雄市・嬉野市境,41206,1,1.5,武雄JCT～嬉野,6731,武雄JCT～嬉野,6795,13526,1.26,0.32,94.6,94.3,23.5,100
41113110150,九州横断自動車道長崎大分線,武雄市・嬉野市境,嬉野市・武雄市境,41209,1,0.3,武雄JCT～嬉野,6731,武雄JCT～嬉野,6795,13526,1.26,0.32,95.1,98.2,23.5,100
41113110160,九州横断自動車道長崎大分線,嬉野市・武雄市境,佐世保嬉野線,41206,1,2.7,武雄JCT～嬉野,6731,武雄JCT～嬉野,6795,13526,1.26,0.32,98.3,93.4,23.5,100
41113110170,九州横断自動車道長崎大分線,佐世保嬉野線,武雄市・嬉野市境,41206,1,0.2,嬉野～東そのぎ,6903,嬉野～東そのぎ,6921,13824,1.26,0.34,98,90.1,20.5,80
41113110180,九州横断自動車道長崎大分線,武雄市・嬉野市境,九州横断自動車道長崎大分線,41209,1,5.2,嬉野～東そのぎ,6903,嬉野～東そのぎ,6921,13824,1.26,0.34,95.9,91.1,20.5,80
41113120010,九州横断自動車道長崎大分線,九州縦貫自動車道鹿児島線宮崎線,鳥栖市・基山町境,41203,1,0.2,鳥栖JCT～筑後小郡,13193,鳥栖JCT～筑後小郡,13223,26416,1.21,0.45,88.3,72.5,23.5,100
41113120020,九州横断自動車道長崎大分線,鳥栖市・基山町境,九州横断自動車道長崎大分線,41341,1,0.1,鳥栖JCT～筑後小郡,13193,鳥栖JCT～筑後小郡,13223,26416,1.21,0.45,88.1,81.4,23.5,100
41300030010,一般国道３号,一般国道３号,小郡基山線,41341,0,2.5,三養基郡基山町小倉,9702,三養基郡基山町小倉,12118,21820,1.28,0.82,40.6,45.1,25,60
41300030020,一般国道３号,小郡基山線,基山町・鳥栖市境,41341,0,1.8,三養基郡基山町小倉,9702,三養基郡基山町小倉,12118,21820,1.28,0.82,41.2,35.2,25,60
41300030030,一般国道３号,基山町・鳥栖市境,九千部山公園線,41203,0,0.1,三養基郡基山町小倉,9702,三養基郡基山町小倉,12118,21820,1.28,0.99,24.2,26.3,26.5,50
41300030040,一般国道３号,九千部山公園線,一般国道３４号,41203,0,0.3,三養基郡基山町小倉,9702,三養基郡基山町小倉,12118,21820,1.28,0.99,29.2,29.3,26.5,50
41300030050,一般国道３号,一般国道３４号,九州縦貫自動車道鹿児島線宮崎線,41203,0,0.9,鳥栖市原町,11252,鳥栖市原町,13099,24351,1.46,0.85,13.8,18.4,23.5,50
41300030060,一般国道３号,九州縦貫自動車道鹿児島線宮崎線,一般国道５００号,41203,0,0.1,鳥栖市原町,11252,鳥栖市原町,13099,24351,1.46,0.85,25.8,8.7,23.5,50
41300030070,一般国道３号,一般国道５００号,鳥栖朝倉線,41203,0,1.3,鳥栖市原町,11252,鳥栖市原町,13099,24351,1.46,2.57,24.4,15.1,10,50
41300030080,一般国道３号,鳥栖朝倉線,中原鳥栖線,41203,0,3.7,鳥栖市原町,11252,鳥栖市原町,13099,24351,1.46,2.26,29.1,25.5,12.5,50
41300030090,一般国道３号,中原鳥栖線,一般国道３号,41203,0,0.8,鳥栖市原町,11252,鳥栖市原町,13099,24351,1.46,2.26,23,20.4,12.5,50
41300340010,一般国道３４号,一般国道３号,九州縦貫自動車道鹿児島線宮崎線,41203,0,1.1,鳥栖市宿町,8412,鳥栖市宿町,9137,17549,1.28,1.61,16.3,19.9,13.75,50
41300340015,一般国道３４号,九州縦貫自動車道鹿児島線宮崎線,,41203,0,1,鳥栖市宿町,8412,鳥栖市宿町,9137,17549,1.28,1.61,24.1,18.4,13.75,50
41300340020,一般国道３４号,,佐賀川久保鳥栖線,41203,0,1,鳥栖市宿町,8412,鳥栖市宿町,9137,17549,1.28,1.61,23.6,17.1,13.75,50
41300340025,一般国道３４号,佐賀川久保鳥栖線,,41203,0,0.4,鳥栖市宿町,8412,鳥栖市宿町,9137,17549,1.28,1.61,18.9,11.8,13.75,50
41300340030,一般国道３４号,,佐賀川久保鳥栖線,41203,0,0.4,鳥栖市宿町,8412,鳥栖市宿町,9137,17549,1.28,1.61,14.4,12.7,13.75,50
41300340040,一般国道３４号,佐賀川久保鳥栖線,久留米基山筑紫野線,41203,0,1.1,鳥栖市宿町,8412,鳥栖市宿町,9137,17549,1.28,1.61,21.2,10.9,13.75,50
41300340045,一般国道３４号,久留米基山筑紫野線,新鳥栖停車場線,41203,0,0.7,鳥栖市村田町一本松,10132,鳥栖市村田町一本松,10188,20320,1.4,1.25,13.3,16.2,14,50
41300340050,一般国道３４号,新鳥栖停車場線,江口長門石江島線,41203,0,1.3,鳥栖市村田町一本松,10132,鳥栖市村田町一本松,10188,20320,1.4,1.25,18.4,12.9,14,50
41300340060,一般国道３４号,江口長門石江島線,鳥栖市・みやき町境,41203,0,2.6,鳥栖市村田町一本松,10132,鳥栖市村田町一本松,10188,20320,1.4,1.25,16.6,27.3,14,50
41300340070,一般国道３４号,鳥栖市・みやき町境,早良中原停車場線,41346,0,1.2,三養基郡みやき町簑原,10461,三養基郡みやき町簑原,10011,20472,1.4,1.28,16.3,31.2,11.75,50
41300340080,一般国道３４号,早良中原停車場線,早良中原停車場線,41346,0,0.3,三養基郡みやき町原古賀,9441,三養基郡みやき町原古賀,9385,18826,1.4,1.25,21.4,23.9,13,50
41300340090,一般国道３４号,早良中原停車場線,みやき町・上峰町境,41346,0,0.9,三養基郡みやき町原古賀,9441,三養基郡みやき町原古賀,9385,18826,1.4,1.25,26.8,30.5,13,50
41300340100,一般国道３４号,みやき町・上峰町境,中原三瀬線,41345,0,0.9,三養基郡上峰町堤,8497,三養基郡上峰町堤,7990,16487,1.4,1.2,32.7,20.8,11.75,50
41300340110,一般国道３４号,中原三瀬線,上峰町・吉野ヶ里町境,41345,0,0.6,三養基郡上峰町堤,8497,三養基郡上峰町堤,7990,16487,1.4,1.2,15.7,28.9,11.75,50
41300340120,一般国道３４号,上峰町・吉野ヶ里町境,吉野ヶ里町・上峰町境,41327,0,0.2,三養基郡上峰町堤,8497,三養基郡上峰町堤,7990,16487,1.4,0.89,22.1,35.7,11,50
41300340130,一般国道３４号,吉野ヶ里町・上峰町境,上峰町・吉野ヶ里町境,41345,0,0.1,三養基郡上峰町堤,8497,三養基郡上峰町堤,7990,16487,1.4,0.87,30.8,36.5,10.5,50
41300340140,一般国道３４号,上峰町・吉野ヶ里町境,北茂安三田川線,41327,0,0.3,三養基郡上峰町堤,8497,三養基郡上峰町堤,7990,16487,1.4,1.11,29.3,16.4,11.75,50
41300340150,一般国道３４号,北茂安三田川線,一般国道３８５号,41327,0,2.5,神埼郡吉野ヶ里町苔野,10393,神埼郡吉野ヶ里町苔野,10496,20889,1.41,1.34,25.1,20.6,11.75,50
41300340160,一般国道３４号,一般国道３８５号,吉野ヶ里町・神埼市境,41327,0,0.8,神埼郡吉野ヶ里町田手,10348,神埼郡吉野ヶ里町田手,9887,20235,1.41,1.38,18.9,32.2,11.75,50
41300340170,一般国道３４号,吉野ヶ里町・神埼市境,肥前神埼停車場線,41210,0,1,神埼郡吉野ヶ里町田手,10348,神埼郡吉野ヶ里町田手,9887,20235,1.41,1.43,30.7,21.1,13.75,40
41300340180,一般国道３４号,肥前神埼停車場線,三瀬神埼線,41210,0,0.2,神埼郡吉野ヶ里町田手,10348,神埼郡吉野ヶ里町田手,9887,20235,1.41,1.43,22.2,13.2,13.75,40
41300340190,一般国道３４号,三瀬神埼線,佐賀外環状線,41210,0,0.6,神埼郡吉野ヶ里町田手,10348,神埼郡吉野ヶ里町田手,9887,20235,1.41,1.43,24,15.8,13.75,40
41300340200,一般国道３４号,佐賀外環状線,佐賀外環状線,41210,0,0.4,神埼郡吉野ヶ里町田手,10348,神埼郡吉野ヶ里町田手,9887,20235,1.41,1.43,16.7,22.1,13.75,40
41300340210,一般国道３４号,佐賀外環状線,神埼市・佐賀市境,41210,0,3.9,神埼市神埼町神埼,11899,神埼市神埼町神埼,12956,24855,1.41,1.69,25.4,30.9,10.75,50
41300340220,一般国道３４号,神埼市・佐賀市境,佐賀脊振線,41201,0,0.2,神埼市神埼町神埼,11899,神埼市神埼町神埼,12956,24855,1.41,0.61,28.3,35.7,26.75,60
41300340230,一般国道３４号,佐賀脊振線,佐賀脊振線,41201,0,0.5,神埼市神埼町神埼,11899,神埼市神埼町神埼,12956,24855,1.41,0.61,30.7,35.1,26.75,60
41300340240,一般国道３４号,佐賀脊振線,薬師丸佐賀停車場線,41201,0,1.8,佐賀市兵庫町瓦町,10726,佐賀市兵庫町瓦町,10479,21205,1.41,0.56,49.3,39.6,23.25,60
41300340250,一般国道３４号,薬師丸佐賀停車場線,佐賀環状東線,41201,0,0.4,佐賀市日の出町,19654,佐賀市日の出町,18506,38160,1.41,0.8,27.3,31.1,25.5,60
41300340255,一般国道３４号,佐賀環状東線,,41201,0,1.3,佐賀市日の出町,19654,佐賀市日の出町,18506,38160,1.41,0.8,26.4,13.9,25.5,60
41300340260,一般国道３４号,,一般国道２６３号,41201,0,0.5,佐賀市日の出町,19654,佐賀市日の出町,18506,38160,1.41,0.91,11.4,35.2,24.5,60
41300340270,一般国道３４号,一般国道２６３号,一般国道２０８号,41201,0,2.2,佐賀市日の出町,19654,佐賀市日の出町,18506,38160,1.41,0.91,22.5,23.7,24.5,60
41300340280,一般国道３４号,一般国道２０８号,鍋島停車場東山田線,41201,0,0.9,佐賀市鍋島町,21126,佐賀市鍋島町,18708,39834,1.31,1.05,45.4,12,23.75,60
41300340290,一般国道３４号,鍋島停車場東山田線,鍋島停車場東山田線,41201,0,0.1,佐賀市鍋島町,21126,佐賀市鍋島町,18708,39834,1.31,1.05,25,14.4,23.75,60
41300340300,一般国道３４号,鍋島停車場東山田線,佐賀市・小城市境,41201,0,1.7,佐賀市鍋島町,21126,佐賀市鍋島町,18708,39834,1.31,1.05,19,40.1,23.75,60
41300340310,一般国道３４号,佐賀市・小城市境,一般国道２０３号,41208,0,1.5,佐賀市鍋島町,21126,佐賀市鍋島町,18708,39834,1.31,0.9,27.4,37,24.25,60
41300340320,一般国道３４号,一般国道２０３号,川上牛津線,41208,0,2.1,小城市三日月町,14185,小城市三日月町,13140,27325,1.31,0.63,44.1,39.1,24.25,60
41300340330,一般国道３４号,川上牛津線,小城牛津線,41208,0,0.3,小城市牛津町柿樋瀬,14790,小城市牛津町柿樋瀬,13115,27905,1.31,0.73,37.1,21.4,24,60
41300340340,一般国道３４号,小城牛津線,一般国道２０７号,41208,0,1.2,小城市牛津町柿樋瀬,14790,小城市牛津町柿樋瀬,13115,27905,1.31,0.73,41.1,29.7,24,60
41300340350,一般国道３４号,一般国道２０７号,（旧）多久牛津線,41208,0,0.2,小城市牛津町柿樋瀬,16347,小城市牛津町柿樋瀬,14646,30993,1.31,0.84,28.6,30.4,30.75,60
41300340360,一般国道３４号,（旧）多久牛津線,別府牛津停車場線,41208,0,1.1,小城市牛津町砥川,14347,小城市牛津町砥川,12643,26990,1.31,0.79,44,45.9,30.75,60
41300340370,一般国道３４号,別府牛津停車場線,別府牛津停車場線,41208,0,0.1,小城市牛津町砥川,14347,小城市牛津町砥川,12643,26990,1.31,0.79,31.1,20,30.75,60
41300340380,一般国道３４号,別府牛津停車場線,小城市・江北町境,41208,0,1.7,小城市牛津町砥川,14347,小城市牛津町砥川,12643,26990,1.31,0.63,33.3,47.3,30.75,60
41300340390,一般国道３４号,小城市・江北町境,多久江北線,41424,0,0.4,小城市牛津町砥川,14347,小城市牛津町砥川,12643,26990,1.31,0.71,49,38.5,27.5,60
41300340400,一般国道３４号,多久江北線,（旧）江北芦刈線,41424,0,0.9,杵島郡江北町山口,14040,杵島郡江北町山口,13095,27135,1.31,0.64,42.5,45.8,27.5,60
41300340410,一般国道３４号,（旧）江北芦刈線,一般国道２０７号,41424,0,1.2,杵島郡江北町山口,14040,杵島郡江北町山口,13095,27135,1.31,0.64,29.3,36.4,27.5,60
41300340420,一般国道３４号,一般国道２０７号,多久江北線,41424,0,1,杵島郡江北町上小田,10733,杵島郡江北町上小田,10129,20862,1.31,1.26,42.9,30.5,12.5,50
41300340430,一般国道３４号,多久江北線,,41424,0,1,杵島郡江北町上小田,10733,杵島郡江北町上小田,10129,20862,1.31,1.47,32.8,26,11,50
