交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
11110400010,東北自動車道,高速川口線,東京外環自動車道,11203,1,0.5,川口JCT～さいたま市境（浦和第二IC）,48841,川口JCT～さいたま市境（浦和第二IC）,47807,96648,1.4,0.89,59.2,81,30,80
11110400020,東北自動車道,東京外環自動車道,川口市・さいたま市緑区境,11203,1,1.5,川口JCT～さいたま市境（浦和第二IC）,48841,川口JCT～さいたま市境（浦和第二IC）,47807,96648,1.4,0.89,38.7,73.4,30,80
11110400030,東北自動車道,川口市・さいたま市緑区境,さいたま市緑区・川口市境,11109,1,0.5,さいたま市境（川口JCT）～浦和第二IC,48841,さいたま市境（川口JCT）～浦和第二IC,47807,96648,1.4,0.89,52.9,72.7,30,80
11110400040,東北自動車道,さいたま市緑区・川口市境,川口市・さいたま市緑区境,11203,1,0.1,川口JCT～さいたま市境（浦和第二IC）,48841,川口JCT～さいたま市境（浦和第二IC）,47807,96648,1.4,0.89,54.7,70.6,30,80
11110400050,東北自動車道,川口市・さいたま市緑区境,一般国道１２２号,11109,1,0.6,さいたま市境（川口JCT）～浦和第二IC,48841,さいたま市境（川口JCT）～浦和第二IC,47807,96648,1.4,0.89,57.9,70.4,30,80
11110400060,東北自動車道,一般国道１２２号,一般国道１２２号,11109,1,1.6,浦和第二～浦和TB,44040,浦和第二～浦和TB,42102,86142,1.4,0.83,45.9,38.8,30,80
11110400070,東北自動車道,一般国道１２２号,さいたま市緑区・さいたま市岩槻区境,11109,1,2.4,浦和TB～岩槻,49239,浦和TB～岩槻,47474,96713,1.38,0.93,38.6,57.2,32.25,100
11110400080,東北自動車道,さいたま市緑区・さいたま市岩槻区境,一般国道１６号,11110,1,3.3,浦和TB～岩槻,49239,浦和TB～岩槻,47474,96713,1.38,0.93,66.7,77.5,32.25,100
11110400090,東北自動車道,一般国道１６号,さいたま市岩槻区・蓮田市境,11110,1,4.8,岩槻～蓮田スマート,47138,岩槻～蓮田スマート,43773,90911,1.36,0.93,74.9,78.4,32.25,100
11110400095,東北自動車道,さいたま市岩槻区・蓮田市境,蓮田白岡久喜線,11238,1,2.7,岩槻～蓮田スマート,47138,岩槻～蓮田スマート,43773,90911,1.36,0.93,73.8,84,32.25,100
