交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
25110110010,名神高速道路,名神高速道路,北陸自動車道,25214,1,10.4,関ヶ原～米原JCT,15678,関ヶ原～米原JCT,15964,31642,1.6,0.52,89.5,89.5,24,80
25110110020,名神高速道路,北陸自動車道,米原市・彦根市境,25214,1,2.9,米原JCT～彦根,18227,米原JCT～彦根,19001,37228,1.54,0.49,89.2,85.1,24,80
25110110030,名神高速道路,米原市・彦根市境,一般国道３０６号,25202,1,5,米原JCT～彦根,18227,米原JCT～彦根,19001,37228,1.54,0.49,86.7,80.2,24,80
25110110040,名神高速道路,一般国道３０６号,彦根市・多賀町境,25202,1,2.2,彦根～湖東三山スマート,18290,彦根～湖東三山スマート,19111,37401,1.54,0.61,88.8,82.7,24,100
25110110050,名神高速道路,彦根市・多賀町境,多賀町・甲良町境,25443,1,4.5,彦根～湖東三山スマート,18290,彦根～湖東三山スマート,19111,37401,1.54,0.61,88.9,80.4,24,100
25110110060,名神高速道路,多賀町・甲良町境,甲良町・愛荘町境,25442,1,2.4,彦根～湖東三山スマート,18290,彦根～湖東三山スマート,19111,37401,1.54,0.61,88.5,80.8,24,100
25110110065,名神高速道路,甲良町・愛荘町境,湖東三山インター線,25425,1,2,彦根～湖東三山スマート,18290,彦根～湖東三山スマート,19111,37401,1.54,0.61,87,79.4,24,80
25110110070,名神高速道路,湖東三山インター線,愛荘町・東近江市境,25425,1,1.3,湖東三山スマート～八日市,19342,湖東三山スマート～八日市,20044,39386,1.52,0.51,87.3,73.7,24,80
25110110080,名神高速道路,愛荘町・東近江市境,一般国道４２１号,25213,1,9.2,湖東三山スマート～八日市,19342,湖東三山スマート～八日市,20044,39386,1.52,0.51,85.2,84.3,24,100
25110110085,名神高速道路,一般国道４２１号,土山蒲生近江八幡線,25213,1,6.7,八日市～蒲生スマート,21434,八日市～蒲生スマート,22107,43541,1.48,0.66,76.9,84.7,24,100
25110110090,名神高速道路,土山蒲生近江八幡線,東近江市・竜王町境,25213,1,1.6,蒲生スマート～竜王,22059,蒲生スマート～竜王,22794,44853,1.47,0.7,90.3,86.7,24,100
25110110100,名神高速道路,東近江市・竜王町境,一般国道４７７号,25384,1,4.4,蒲生スマート～竜王,22059,蒲生スマート～竜王,22794,44853,1.47,0.7,89.8,79.2,24,100
25110110110,名神高速道路,一般国道４７７号,竜王町・湖南市境,25384,1,2.3,竜王～栗東湖南,25634,竜王～栗東湖南,26298,51932,1.42,0.85,88.9,73.4,26.75,80
25110110120,名神高速道路,竜王町・湖南市境,湖南市・野洲市境,25211,1,2.7,竜王～栗東湖南,25634,竜王～栗東湖南,26298,51932,1.42,0.85,85.3,74.5,26.75,80
25110110130,名神高速道路,湖南市・野洲市境,野洲市・栗東市境,25210,1,2.2,竜王～栗東湖南,25634,竜王～栗東湖南,26298,51932,1.42,0.85,85.2,72.9,24,80
25110110140,名神高速道路,野洲市・栗東市境,栗東市・湖南市境,25208,1,0.2,竜王～栗東湖南,25634,竜王～栗東湖南,26298,51932,1.42,0.85,82.3,73.3,24,80
25110110150,名神高速道路,栗東市・湖南市境,湖南市・栗東市境,25211,1,0.2,竜王～栗東湖南,25634,竜王～栗東湖南,26298,51932,1.42,0.85,82.4,74.5,24,80
25110110155,名神高速道路,湖南市・栗東市境,東名・名神高速道路,25208,1,2.2,竜王～栗東湖南,25634,竜王～栗東湖南,26298,51932,1.42,0.85,78.6,77.7,24,100
25110110160,名神高速道路,東名・名神高速道路,一般国道１号,25208,1,1.2,栗東湖南～栗東,29304,栗東湖南～栗東,30163,59467,1.41,0.98,79.3,78.9,24,100
25110110170,名神高速道路,一般国道１号,栗東市・草津市境,25208,1,2.2,栗東～草津JCT,34699,栗東～草津JCT,35256,69955,1.4,0.92,81.8,78.2,32,100
25110110180,名神高速道路,栗東市・草津市境,新名神高速道路,25206,1,4,栗東～草津JCT,34699,栗東～草津JCT,35256,69955,1.4,0.92,84.6,68.4,32,100
25110110190,名神高速道路,新名神高速道路,草津市・大津市境,25206,1,1.1,草津JCT～瀬田東,56040,草津JCT～瀬田東,58518,114558,1.55,1.2,86.7,55.3,32,100
25110110200,名神高速道路,草津市・大津市境,一般国道１号（京滋バイパス）,25201,1,2,草津JCT～瀬田東,56040,草津JCT～瀬田東,58518,114558,1.55,1.2,79.9,53.8,32,100
25110110210,名神高速道路,一般国道１号（京滋バイパス）,瀬田西インター線,25201,1,1.6,瀬田東～瀬田西,35936,瀬田東～瀬田西,36857,72793,1.59,0.92,73.2,54.9,25,100
25110110220,名神高速道路,瀬田西インター線,大津インター線,25201,1,5.5,瀬田西～大津,39325,瀬田西～大津,39709,79034,1.56,1.05,77.5,60.7,24,100
25110110230,名神高速道路,大津インター線,名神高速道路,25201,1,2.9,大津～京都東,39787,大津～京都東,40068,79855,1.56,1.23,70.6,63.6,20.5,80
25110800010,北陸自動車道,北陸自動車道,一般国道８号,25203,1,12.6,敦賀JCT～木之本,8015,敦賀JCT～木之本,8565,16580,1.59,0.29,88.5,89.4,22,80
25110800015,北陸自動車道,一般国道８号,丁野虎姫長浜線,25203,1,7.1,木之本～小谷城スマート,8521,木之本～小谷城スマート,9144,17665,1.55,0.34,91.9,85.2,25,100
25110800020,北陸自動車道,丁野虎姫長浜線,中山東上坂線,25203,1,7.4,小谷城スマート～長浜,8792,小谷城スマート～長浜,9398,18190,1.53,0.34,93,93.5,25,100
25110800030,北陸自動車道,中山東上坂線,長浜市・米原市境,25203,1,6.2,長浜～米原,10405,長浜～米原,10901,21306,1.46,0.43,85.9,82.4,25,100
25110800040,北陸自動車道,長浜市・米原市境,一般国道２１号,25214,1,2.1,長浜～米原,10405,長浜～米原,10901,21306,1.46,0.43,86,91.7,25,100
25110800050,北陸自動車道,一般国道２１号,名神高速道路,25214,1,0.9,米原～米原JCT,11905,米原～米原JCT,12393,24298,1.43,0.5,86,78.3,25,40
25119100010,新名神高速道路,新名神高速道路,甲賀土山インター線,25209,1,9.5,亀山西JCT～甲賀土山,23186,亀山西JCT～甲賀土山,24212,47398,1.92,1.04,87.5,94.1,32.25,100
25119100020,新名神高速道路,甲賀土山インター線,甲南インター線,25209,1,10.2,甲賀土山～甲南,21591,甲賀土山～甲南,23035,44626,1.92,1.02,85,88.9,24,100
25119100030,新名神高速道路,甲南インター線,信楽インター線,25209,1,6.7,甲南～信楽,23073,甲南～信楽,24735,47808,1.83,1.04,88.6,86.6,30,100
25119100040,新名神高速道路,信楽インター線,甲賀市・大津市境,25209,1,5.4,信楽～草津田上,26338,信楽～草津田上,28105,54443,1.72,1.08,85.4,85.8,24,80
25119100050,新名神高速道路,甲賀市・大津市境,大津市・栗東市境,25201,1,0.3,信楽～草津田上,26338,信楽～草津田上,28105,54443,1.72,1.08,85,86.7,23.5,80
