交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
32112010010,中国自動車道,中国自動車道,一般国道１８７号,32505,1,7.7,吉和～六日市,1619,吉和～六日市,1809,3428,2.12,0.12,87.2,88.7,20.5,80
32112010020,中国自動車道,一般国道１８７号,中国自動車道,32505,1,14.7,六日市～鹿野,1630,六日市～鹿野,1821,3451,2.05,0.12,84.7,80.2,20.5,80
32112320010,浜田自動車道,浜田自動車道,浜田八重可部線,32449,1,4,大朝～瑞穂,1309,大朝～瑞穂,1184,2493,1.24,0.38,86.2,86.2,10.5,70
32112320020,浜田自動車道,浜田八重可部線,邑南町・浜田市境,32449,1,1.4,瑞穂～旭,1266,瑞穂～旭,1144,2410,1.23,0.36,83.2,83.2,10.5,70
32112320030,浜田自動車道,邑南町・浜田市境,弥栄旭インター線,32202,1,13.6,瑞穂～旭,1266,瑞穂～旭,1144,2410,1.23,0.36,81,83.5,10.5,70
32112320040,浜田自動車道,弥栄旭インター線,側道今福上り線,32202,1,7.9,旭～金城スマート,1199,旭～金城スマート,1076,2275,1.22,0.34,80.3,78.8,10.5,70
32112320050,浜田自動車道,側道今福上り線,一般国道９号（江津道路）,32202,1,8.2,金城スマート～浜田JCT,1187,金城スマート～浜田JCT,1080,2267,1.21,0.36,81.6,76.9,10.5,70
32112320060,浜田自動車道,一般国道９号（江津道路）,一般国道９号（浜田道路）,32202,1,1.3,浜田JCT～浜田,1924,浜田JCT～浜田,1818,3742,1.19,0.48,61,56.4,10.5,70
32112500010,松江自動車道,松江自動車道,雲南市・松江市境,32209,1,9.7,三刀屋木次～宍道JCT,1819,三刀屋木次～宍道JCT,1793,3612,1.19,0.48,82,78.3,10.5,70
32112500020,松江自動車道,雲南市・松江市境,山陰自動車道,32201,1,0.9,三刀屋木次～宍道JCT,1819,三刀屋木次～宍道JCT,1793,3612,1.19,0.48,80.1,85.4,10.5,70
32112600010,山陰自動車道,一般国道９号（松江道路・本線）,一般国道９号（松江道路・本線）,32201,1,0.6,松江玉造～宍道,5843,松江玉造～宍道,5636,11479,1.18,1.08,73.8,84.7,10.5,70
32112600020,山陰自動車道,一般国道９号（松江道路・本線）,宍道インター線,32201,1,13.5,松江玉造～宍道,5843,松江玉造～宍道,5636,11479,1.18,1.08,74.8,78.6,10.5,70
32112600030,山陰自動車道,宍道インター線,松江自動車道,32201,1,1.6,宍道～宍道JCT,5079,宍道～宍道JCT,5055,10134,1.18,0.97,87.1,85.7,10.5,70
32112600040,山陰自動車道,松江自動車道,松江市・出雲市境,32201,1,0.4,宍道JCT～斐川,3957,宍道JCT～斐川,3907,7864,1.16,0.89,79.4,80.3,10.5,70
32112600050,山陰自動車道,松江市・出雲市境,斐川上島線,32203,1,4.2,宍道JCT～斐川,3957,宍道JCT～斐川,3907,7864,1.16,0.89,75.6,79.2,10.5,70
32112600060,山陰自動車道,斐川上島線,,32203,1,3.7,斐川～出雲,1831,斐川～出雲,1795,3626,1.18,0.46,69.8,73,10.5,70
32112600070,山陰自動車道,,出雲インター線,32203,1,9.9,斐川～出雲,1831,斐川～出雲,1795,3626,1.18,0.46,82.2,82.8,10.5,70
32122050085,松江自動車道,松江自動車道,,32209,1,8.4,県境～雲南吉田IC（大万木トラカン）,2867,県境～雲南吉田IC（大万木トラカン）,2960,5827,1.25,0.92,82.3,82.5,10.5,70
32122050090,松江自動車道,,吉田掛谷インター線,32209,1,3.9,雲南吉田IC～吉田掛合IC（川尻TN北坑口）,2776,雲南吉田IC～吉田掛合IC（川尻TN北坑口）,2826,5602,1.25,0.71,79.6,81.2,10.5,70
32122050100,松江自動車道,吉田掛谷インター線,松江自動車道,32209,1,12.3,吉田掛合IC～三刀屋木次IC（吉田トラカン）,3384,吉田掛合IC～三刀屋木次IC(吉田トラカン）,3417,6801,1.23,0.96,76.7,80.6,10.5,70
32300090010,一般国道９号,一般国道９号,米子伯太線,32206,0,0.4,安来市中海町,10813,安来市中海町,11239,22052,1.35,1.74,22.1,20.6,12,50
32300090020,一般国道９号,米子伯太線,布部安来線,32206,0,2.5,安来市中海町,10813,安来市中海町,11239,22052,1.35,1.46,19.9,36.4,11,50
32300090030,一般国道９号,布部安来線,黒井田安来線,32206,0,1.5,安来市中海町,10813,安来市中海町,11239,22052,1.35,1.46,40.6,45.1,11,50
32300090040,一般国道９号,黒井田安来線,和田南線,32206,0,1.8,安来市中海町,10813,安来市中海町,11239,22052,1.35,1.59,42.8,41.8,12,50
32300090050,一般国道９号,和田南線,安来港線,32206,0,0.5,安来市中海町,10813,安来市中海町,11239,22052,1.35,1.7,32.1,27.9,15,40
32300090060,一般国道９号,安来港線,安来伯太日南線,32206,0,0.2,安来トラカン,7867,安来トラカン,8344,16211,1.35,1.25,28,22.2,15,40
32300090070,一般国道９号,安来伯太日南線,安来木次線,32206,0,0.9,安来トラカン,7867,安来トラカン,8344,16211,1.35,1.34,26.6,22.3,15,40
32300090080,一般国道９号,安来木次線,,32206,0,0.4,安来トラカン,7867,安来トラカン,8344,16211,1.35,1.13,19.6,31.1,13,50
32300090085,一般国道９号,,安来木次線,32206,0,0.5,安来トラカン,7867,安来トラカン,8344,16211,1.35,1.13,27.1,26.5,13,50
