交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
22110100005,東名高速道路,東名高速道路,小山町道２３１６号線,22344,1,7.7,大井松田～足柄スマート～御殿場,41031,大井松田～足柄スマート～御殿場,39352,80383,1.8,0.97,89.8,79,39.45,80
22110100010,東名高速道路,小山町道２３１６号線,小山町・御殿場市境,22344,1,0.4,大井松田～足柄スマート～御殿場,41031,大井松田～足柄スマート～御殿場,39352,80383,1.8,0.97,81,80.3,39.45,80
22110100020,東名高速道路,小山町・御殿場市境,一般国道１３８号,22215,1,2.5,大井松田～足柄スマート～御殿場,41031,大井松田～足柄スマート～御殿場,39352,80383,1.8,0.97,88.4,83,39.45,100
22110100025,東名高速道路,一般国道１３８号,新東名高速道路,22215,1,4.6,御殿場～御殿場JCT,37809,御殿場～御殿場JCT,37304,75113,1.87,1.59,90.1,85.6,26.4,100
22110100029,東名高速道路,新東名高速道路,御殿場市道３６９８号,22215,1,3.4,御殿場JCT～駒門スマート～裾野,13293,御殿場JCT～駒門スマート～裾野,13220,26513,1.57,0.5,89.3,94.2,26.4,100
22110100030,東名高速道路,御殿場市道３６９８号,御殿場市・裾野市境,22215,1,1.3,御殿場JCT～駒門スマート～裾野,13293,御殿場JCT～駒門スマート～裾野,13220,26513,1.57,0.5,87.1,89.8,26.4,100
22110100040,東名高速道路,御殿場市・裾野市境,裾野インタ－線,22220,1,0.8,御殿場JCT～駒門スマート～裾野,13293,御殿場JCT～駒門スマート～裾野,13220,26513,1.57,0.5,85.7,84.1,26.4,100
22110100050,東名高速道路,裾野インタ－線,裾野市・長泉町境,22220,1,6.4,裾野～沼津,13838,裾野～沼津,13879,27717,1.53,0.42,82,71.3,26.4,100
22110100060,東名高速道路,裾野市・長泉町境,長泉町・沼津市境,22342,1,2.8,裾野～沼津,13838,裾野～沼津,13879,27717,1.53,0.42,85.2,77.3,27.1,100
22110100070,東名高速道路,長泉町・沼津市境,一般国道１号（伊豆縦貫道）,22203,1,0.3,裾野～沼津,13838,裾野～沼津,13879,27717,1.53,0.42,84.1,86.1,26.4,100
22110100075,東名高速道路,一般国道１号（伊豆縦貫道）,沼津市道０１０５号線,22203,1,2.5,沼津～愛鷹スマート～富士,16025,沼津～愛鷹スマート～富士,15668,31693,1.47,0.61,86.7,87.3,27.1,100
22110100080,東名高速道路,沼津市道０１０５号線,沼津市・富士市境,22203,1,6.3,沼津～愛鷹スマート～富士,16025,沼津～愛鷹スマート～富士,15668,31693,1.47,0.61,88.1,88.4,27.1,100
22110100090,東名高速道路,沼津市・富士市境,一般国道１３９号（西富士道路）,22210,1,9.4,沼津～愛鷹スマート～富士,16025,沼津～愛鷹スマート～富士,15668,31693,1.47,0.61,92.1,88.5,26.4,100
22110100100,東名高速道路,一般国道１３９号（西富士道路）,富士市道,22210,1,6,富士～富士川スマート,14372,富士～富士川スマート,14046,28418,1.48,0.49,87.4,58.6,26.4,100
22110100110,東名高速道路,富士市道,富士市・静岡市清水区境,22210,1,3.2,富士川スマート～清水JCT,14404,富士川スマート～清水JCT,14244,28648,1.49,0.39,70.5,49.8,26.4,100
22110100115,東名高速道路,富士市・静岡市清水区境,新東名高速道路（連絡道）,22103,1,15.7,富士川スマート～清水JCT,14404,富士川スマート～清水JCT,14244,28648,1.49,0.39,77.2,76,26.4,100
22110100120,東名高速道路,新東名高速道路（連絡道）,一般国道１号（静清ＢＰ）,22103,1,1.4,清水JCT～清水,17965,清水JCT～清水,18296,36261,1.41,0.51,83.3,78.7,26.4,100
22110100130,東名高速道路,一般国道１号（静清ＢＰ）,静岡市清水区・静岡市葵区境,22103,1,5.2,清水～日本平久能山スマート～静岡,16474,清水～日本平久能山スマート～静岡,16477,32951,1.42,0.44,89.3,83.5,26.4,100
22110100140,東名高速道路,静岡市清水区・静岡市葵区境,静岡市葵区・静岡市駿河区境,22101,1,0.5,清水～日本平久能山スマート～静岡,16474,清水～日本平久能山スマート～静岡,16477,32951,1.42,0.44,91.2,86.5,26.4,100
22110100145,東名高速道路,静岡市葵区・静岡市駿河区境,宮川４号線,22102,1,5.3,清水～日本平久能山スマート～静岡,16474,清水～日本平久能山スマート～静岡,16477,32951,1.42,0.44,90.3,85.5,26.4,100
22110100150,東名高速道路,宮川４号線,中島南安倍線,22102,1,3,清水～日本平久能山スマート～静岡,16474,清水～日本平久能山スマート～静岡,16477,32951,1.42,0.44,87.3,82.5,26.4,100
22110100160,東名高速道路,中島南安倍線,静岡市駿河区・焼津市境,22102,1,6.7,静岡～焼津,19376,静岡～焼津,18795,38171,1.38,0.68,91.6,90.7,26.4,100
22110100170,東名高速道路,静岡市駿河区・焼津市境,焼津森線,22212,1,5.1,静岡～焼津,19376,静岡～焼津,18795,38171,1.38,0.68,91.6,83.1,26.4,100
22110100180,東名高速道路,焼津森線,焼津市・藤枝市境,22212,1,3.9,焼津～大井川焼津藤枝スマート～吉田,18868,焼津～大井川焼津藤枝スマート～吉田,18828,37696,1.39,0.65,87,86.9,26.4,100
22110100190,東名高速道路,焼津市・藤枝市境,藤枝市・焼津市境,22214,1,0.4,焼津～大井川焼津藤枝スマート～吉田,18868,焼津～大井川焼津藤枝スマート～吉田,18828,37696,1.39,0.65,87.7,88.9,26.4,100
22110100200,東名高速道路,藤枝市・焼津市境,焼津市・藤枝市境,22212,1,0.2,焼津～大井川焼津藤枝スマート～吉田,18868,焼津～大井川焼津藤枝スマート～吉田,18828,37696,1.39,0.65,89,87.4,26.4,100
22110100210,東名高速道路,焼津市・藤枝市境,藤枝市・焼津市境,22214,1,0.4,焼津～大井川焼津藤枝スマート～吉田,18868,焼津～大井川焼津藤枝スマート～吉田,18828,37696,1.39,0.65,89.2,85.4,26.4,100
22110100220,東名高速道路,藤枝市・焼津市境,焼津市・藤枝市境,22212,1,1.2,焼津～大井川焼津藤枝スマート～吉田,18868,焼津～大井川焼津藤枝スマート～吉田,18828,37696,1.39,0.65,89.6,83.2,26.4,100
22110100230,東名高速道路,焼津市・藤枝市境,藤枝市・焼津市境,22214,1,1.4,焼津～大井川焼津藤枝スマート～吉田,18868,焼津～大井川焼津藤枝スマート～吉田,18828,37696,1.39,0.65,88.8,80.8,26.4,100
22110100235,東名高速道路,藤枝市・焼津市境,焼津市道０１０５号線,22212,1,0.6,焼津～大井川焼津藤枝スマート～吉田,18868,焼津～大井川焼津藤枝スマート～吉田,18828,37696,1.39,0.65,86.9,78.6,26.4,100
22110100240,東名高速道路,焼津市道０１０５号線,焼津市・島田市境,22212,1,2.1,焼津～大井川焼津藤枝スマート～吉田,18868,焼津～大井川焼津藤枝スマート～吉田,18828,37696,1.39,0.65,89.1,82.5,26.4,100
22110100250,東名高速道路,焼津市・島田市境,島田市・吉田町境,22209,1,0.5,焼津～大井川焼津藤枝スマート～吉田,18868,焼津～大井川焼津藤枝スマート～吉田,18828,37696,1.39,0.65,84.9,87.3,26.3,100
22110100260,東名高速道路,島田市・吉田町境,吉田町・島田市境,22424,1,0.9,焼津～大井川焼津藤枝スマート～吉田,18868,焼津～大井川焼津藤枝スマート～吉田,18828,37696,1.39,0.65,88.3,88.2,26.4,100
22110100270,東名高速道路,吉田町・島田市境,島田吉田線,22209,1,0.4,焼津～大井川焼津藤枝スマート～吉田,18868,焼津～大井川焼津藤枝スマート～吉田,18828,37696,1.39,0.65,87.3,87.7,26.4,100
22110100280,東名高速道路,島田吉田線,吉田町・島田市境,22424,1,0.5,吉田～相良牧之原,16363,吉田～相良牧之原,16614,32977,1.42,0.67,89.3,89.1,26.4,100
22110100290,東名高速道路,吉田町・島田市境,島田市・吉田町境,22209,1,0.3,吉田～相良牧之原,16363,吉田～相良牧之原,16614,32977,1.42,0.67,89.1,89.8,26.4,100
22110100300,東名高速道路,島田市・吉田町境,吉田町・牧之原市境,22424,1,0.7,吉田～相良牧之原,16363,吉田～相良牧之原,16614,32977,1.42,0.67,90.8,91.8,26.4,100
22110100310,東名高速道路,吉田町・牧之原市境,一般国道４７３号,22226,1,9.5,吉田～相良牧之原,16363,吉田～相良牧之原,16614,32977,1.42,0.67,90.6,87.7,26.4,100
22110100320,東名高速道路,一般国道４７３号,牧之原市・菊川市境,22226,1,0.7,相良牧之原～菊川,16841,相良牧之原～菊川,17150,33991,1.42,0.63,89.5,89.4,26.4,100
22110100330,東名高速道路,牧之原市・菊川市境,吉田大東線,22224,1,4.5,相良牧之原～菊川,16841,相良牧之原～菊川,17150,33991,1.42,0.63,86,91.9,26.4,100
22110100340,東名高速道路,吉田大東線,菊川市・掛川市境,22224,1,3,菊川～掛川,16521,菊川～掛川,16923,33444,1.41,0.61,91.1,89.1,26.4,100
22110100350,東名高速道路,菊川市・掛川市境,掛川大東線,22213,1,3,菊川～掛川,16521,菊川～掛川,16923,33444,1.41,0.61,89.1,90.7,26.4,100
22110100360,東名高速道路,掛川大東線,掛川市・袋井市境,22213,1,6.2,掛川～袋井,16001,掛川～袋井,16496,32497,1.41,0.47,89.2,88.9,26.4,100
22110100370,東名高速道路,掛川市・袋井市境,浜北袋井線,22216,1,5.4,掛川～袋井,16001,掛川～袋井,16496,32497,1.41,0.47,89.7,89.6,26.4,100
