交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
9110400010,東北自動車道,東北自動車道,佐野市・栃木市境,9204,1,2,館林～佐野藤岡,31714,館林～佐野藤岡,29563,61277,1.42,0.73,89.7,91.4,32.25,100
9110400020,東北自動車道,佐野市・栃木市境,一般国道５０号,9203,1,1.3,館林～佐野藤岡,31714,館林～佐野藤岡,29563,61277,1.42,0.73,91.8,92.4,32.25,100
9110400030,東北自動車道,一般国道５０号,栃木市・佐野市境,9203,1,0.3,佐野藤岡～佐野SAスマート,29381,佐野藤岡～佐野SAスマート,27954,57335,1.42,0.66,93.6,92.4,32.25,100
9110400035,東北自動車道,栃木市・佐野市境,佐野SAスマートインター線,9204,1,2.6,佐野藤岡～佐野SAスマート,29381,佐野藤岡～佐野SAスマート,27954,57335,1.42,0.66,92.6,91.4,32.25,100
9110400040,東北自動車道,佐野SAスマートインター線,佐野市・栃木市境,9204,1,2.3,佐野SAスマート～岩舟JCT,30157,佐野SAスマート～岩舟JCT,28504,58661,1.41,0.67,91.4,91,32.25,100
9110400050,東北自動車道,佐野市・栃木市境,北関東自動車道,9203,1,1.6,佐野SAスマート～岩舟JCT,30157,佐野SAスマート～岩舟JCT,28504,58661,1.41,0.67,90.4,92.8,32.25,100
9110400060,東北自動車道,北関東自動車道,,9203,1,5.1,岩舟JCT～栃木,33874,岩舟JCT～栃木,32570,66444,1.41,0.72,93.6,94.3,32.25,100
9110400070,東北自動車道,,栃木粕尾線,9203,1,5.8,岩舟JCT～栃木,33874,岩舟JCT～栃木,32570,66444,1.41,0.72,88.8,94.1,32.25,100
9110400080,東北自動車道,栃木粕尾線,北関東自動車道,9203,1,2.7,栃木～栃木都賀JCT,32693,栃木～栃木都賀JCT,31798,64491,1.41,0.62,82.3,90.3,32.25,100
9110400090,東北自動車道,北関東自動車道,,9203,1,3.8,栃木都賀JCT～鹿沼,21596,栃木都賀JCT～鹿沼,20503,42099,1.46,0.39,87.4,94.2,32.25,100
9110400100,東北自動車道,,栃木市・鹿沼市境,9203,1,3.5,栃木都賀JCT～鹿沼,21596,栃木都賀JCT～鹿沼,20503,42099,1.46,0.39,91.8,94,32.25,100
9110400110,東北自動車道,栃木市・鹿沼市境,一般国道１２１号,9205,1,8.8,栃木都賀JCT～鹿沼,21596,栃木都賀JCT～鹿沼,20503,42099,1.46,0.39,94.2,94.2,32.25,100
9110400120,東北自動車道,一般国道１２１号,鹿沼市・宇都宮市境,9205,1,2.1,鹿沼～宇都宮,19713,鹿沼～宇都宮,18264,37977,1.47,0.39,93.8,92,32.25,100
9110400130,東北自動車道,鹿沼市・宇都宮市境,一般国道１１９号(日光宇都宮道路),9201,1,9.4,鹿沼～宇都宮,19713,鹿沼～宇都宮,18264,37977,1.47,0.39,94,91.8,32.25,100
