交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
36110610170,徳島自動車道,高松自動車道,鳴門市・松茂町境,36202,1,2.4,鳴門JCT～松茂スマート,2986,鳴門JCT～松茂スマート,3024,6010,1.29,0.39,81.6,85.4,10.5,70
36110610210,徳島自動車道,鳴門市・松茂町境,徳島空港線,36401,1,0.7,鳴門JCT～松茂スマート,2986,鳴門JCT～松茂スマート,3024,6010,1.29,0.39,78.2,81.4,10.5,70
36110610220,徳島自動車道,徳島空港線,松茂町・北島町境,36401,1,0.3,松茂スマート～徳島JCT,2669,松茂スマート～徳島JCT,2632,5301,1.3,0.27,74.6,79.1,10.5,70
36110610230,徳島自動車道,松茂町・北島町境,北島町・徳島市境,36402,1,1.8,松茂スマート～徳島JCT,2669,松茂スマート～徳島JCT,2632,5301,1.3,0.27,83.6,83.4,10.5,70
36110610200,徳島自動車道,那賀町・徳島市境,一般国道１１号,36201,1,5.7,徳島JCT～徳島,2669,徳島JCT～徳島,2632,5301,1.29,0.28,82.5,83.8,10.5,70
36110610010,徳島自動車道,一般国道１１号,徳島市・藍住町境,36201,1,6.6,徳島～藍住,2559,徳島～藍住,2500,5059,1.29,0.4,83.9,85.2,10.5,70
36110610020,徳島自動車道,徳島市・藍住町境,徳島引田線,36403,1,2.5,徳島～藍住,2559,徳島～藍住,2500,5059,1.29,0.4,78,83.1,10.5,70
36110610030,徳島自動車道,徳島引田線,藍住町・板野町境,36403,1,0.9,藍住～土成,3396,藍住～土成,3257,6653,1.28,0.74,82.5,82.8,10.5,70
36110610040,徳島自動車道,藍住町・板野町境,板野町・上板町境,36404,1,4.9,藍住～土成,3396,藍住～土成,3257,6653,1.28,0.74,83.4,82.9,10.5,70
36110610050,徳島自動車道,板野町・上板町境,上板町・阿波市境,36405,1,5.1,藍住～土成,3396,藍住～土成,3257,6653,1.28,0.74,90.1,86.3,10.5,70
36110610060,徳島自動車道,上板町・阿波市境,一般国道３１８号,36206,1,2.4,藍住～土成,3396,藍住～土成,3257,6653,1.28,0.74,82.4,87,10.5,70
36110610070,徳島自動車道,一般国道３１８号,阿波市・美馬市境,36206,1,17.7,土成～脇町,3380,土成～脇町,3271,6651,1.29,0.75,90,90,10.5,70
36110610080,徳島自動車道,阿波市・美馬市境,一般国道１９３号,36207,1,1.1,土成～脇町,3380,土成～脇町,3271,6651,1.29,0.2,94.4,92.1,23.5,100
36110610090,徳島自動車道,一般国道１９３号,一般国道４３８号,36207,1,11.5,脇町～美馬,2939,脇町～美馬,2891,5830,1.32,0.49,84,90.2,10.5,70
36110610100,徳島自動車道,一般国道４３８号,美馬市・三好市境,36207,1,4.5,美馬～吉野川スマート,2477,美馬～吉野川スマート,2435,4912,1.34,0.67,87.4,87.9,10.5,70
36110610110,徳島自動車道,美馬市・三好市境,三好市・東みよし町境,36208,1,7.5,美馬～吉野川スマート,2477,美馬～吉野川スマート,2435,4912,1.34,0.67,84.6,87,10.5,70
36110610120,徳島自動車道,三好市・東みよし町境,徳島市道３号,36489,1,3.8,美馬～吉野川スマート,2477,美馬～吉野川スマート,2435,4912,1.34,0.67,86.2,84.2,10.5,70
36110610130,徳島自動車道,徳島市道３号,東みよし町・三好市境,36489,1,2.9,吉野川スマート～井川池田,2394,吉野川スマート～井川池田,2334,4728,1.34,0.39,85.8,84.5,10.5,70
36110610140,徳島自動車道,東みよし町・三好市境,一般国道３２号,36208,1,2.4,吉野川スマート～井川池田,2394,吉野川スマート～井川池田,2334,4728,1.34,0.39,89.8,86,10.5,70
36110610150,徳島自動車道,一般国道３２号,徳島自動車道,36208,1,15,井川池田～川之江東JCT,2094,井川池田～川之江東JCT,2060,4154,1.39,0.56,85.2,80.3,10.5,70
36116110005,高松自動車道,一般国道１１号,徳島自動車道,36202,1,1.6,鳴門～鳴門JCT,6383,鳴門～鳴門JCT,6030,12413,1.47,0.31,94.9,81.7,23.5,100
36116110010,高松自動車道,徳島自動車道,鳴門市・板野町境,36202,1,7.7,鳴門JCT～板野,6748,鳴門JCT～板野,6357,13105,1.42,0.27,93,92.7,23.5,100
