交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
13110100010,東名高速道路,東名高速道路,東名高速道路,13209,1,0.5,横浜町田～綾瀬スマート,72008,横浜町田～綾瀬スマート,68417,140425,1.47,1.04,56.1,37.6,33.6,100
13110100030,東名高速道路,高速３号渋谷線,東名高速道路,13112,1,3.2,東京～東名川崎,46444,東京～東名川崎,46850,93294,1.58,0.65,14.1,52.3,33.6,100
13111010005,中央自動車道富士吉田線,高速４号新宿線,新宿国立線,13115,1,0.8,高速４号新宿線～新宿国立線高井戸IC,31506,高速４号新宿線～新宿国立線高井戸IC,40081,71587,1.46,0.8,15.3,65.1,18.5,60
13111010010,中央自動車道富士吉田線,新宿国立線,杉並区・世田谷区境,13115,1,0.3,新宿国立線高井戸IC～中央自動車道富士吉田線,40400,新宿国立線高井戸IC～中央自動車道富士吉田線,41864,82264,1.46,0.94,19.2,68.6,18.5,60
13111010020,中央自動車道富士吉田線,杉並区・世田谷区境,世田谷区・三鷹市境,13112,1,1.6,新宿国立線高井戸IC～中央自動車道富士吉田線,40400,新宿国立線高井戸IC～中央自動車道富士吉田線,41864,82264,1.46,0.94,22.4,71.5,18.5,60
13111010030,中央自動車道富士吉田線,世田谷区・三鷹市境,三鷹市・世田谷区境,13204,1,0.3,中央自動車道富士吉田線～中央自動車道富士吉田線,40400,中央自動車道富士吉田線～中央自動車道富士吉田線,41864,82264,1.46,0.94,23.4,70.8,22.5,60
13111010040,中央自動車道富士吉田線,三鷹市・世田谷区境,世田谷区・三鷹市境,13112,1,0.1,中央自動車道富士吉田線～中央自動車道富士吉田線,40400,中央自動車道富士吉田線～中央自動車道富士吉田線,41864,82264,1.46,0.94,23.3,71.3,22.5,60
13111010050,中央自動車道富士吉田線,世田谷区・三鷹市境,三鷹市・調布市境,13204,1,0.5,中央自動車道富士吉田線～一般国道２０号調布IC,40400,中央自動車道富士吉田線～一般国道２０号調布IC,41864,82264,1.46,0.94,22.7,69.1,22.5,60
13111010060,中央自動車道富士吉田線,三鷹市・調布市境,調布市・三鷹市境,13208,1,0.2,中央自動車道富士吉田線～一般国道２０号調布IC,40400,中央自動車道富士吉田線～一般国道２０号調布IC,41864,82264,1.46,0.94,20.4,63.9,22.5,60
13111010070,中央自動車道富士吉田線,調布市・三鷹市境,三鷹市・調布市境,13204,1,1.1,中央自動車道富士吉田線～一般国道２０号調布IC,40400,中央自動車道富士吉田線～一般国道２０号調布IC,41864,82264,1.46,0.94,16.3,64.7,22.5,60
13111010080,中央自動車道富士吉田線,三鷹市・調布市境,一般国道２０号,13208,1,2.6,中央自動車道富士吉田線～一般国道２０号調布IC,40400,中央自動車道富士吉田線～一般国道２０号調布IC,41864,82264,1.46,0.94,13,81.2,22.5,60
