交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
31112220010,米子自動車道,米子自動車道,一般国道１８１号,31403,1,9.5,蒜山～江府,2375,蒜山～江府,2199,4574,1.39,0.65,79.9,87.3,10.5,70
31112220020,米子自動車道,一般国道１８１号,江府町・伯耆町境,31403,1,1.5,江府～溝口,2312,江府～溝口,2165,4477,1.36,0.63,79.5,80.9,10.5,70
31112220030,米子自動車道,江府町・伯耆町境,倉吉江府溝口線,31390,1,6.8,江府～溝口,2312,江府～溝口,2165,4477,1.36,0.63,81,81,10.5,70
31112220035,米子自動車道,倉吉江府溝口線,大山高原スマートインター線,31390,1,3.9,溝口～大山高原スマート,2251,溝口～大山高原スマート,2117,4368,1.36,0.61,80.4,86.7,10.5,70
31112220040,米子自動車道,大山高原スマートインター線,伯耆町・米子市境,31390,1,0.6,大山高原スマート～米子,2261,大山高原スマート～米子,2119,4380,1.36,0.57,74.3,69.3,10.5,70
31112220050,米子自動車道,伯耆町・米子市境,一般国道９号（米子道路）,31202,1,4.8,大山高原スマート～米子,2261,大山高原スマート～米子,2119,4380,1.36,0.57,77.4,71.7,10.5,70
31100280010,鳥取自動車道,一般国道５３号,智頭町・鳥取市境,31328,1,1.9,智頭IC～用瀬IC,5609,智頭IC～用瀬IC,5494,11103,1.32,0.94,86,91.5,9.5,70
31100280020,鳥取自動車道,智頭町・鳥取市境,鳥取河原用瀬線,31201,1,8.6,智頭IC～用瀬IC,5609,智頭IC～用瀬IC,5494,11103,1.32,0.94,78.1,80.7,9.5,70
31100280030,鳥取自動車道,鳥取河原用瀬線,河原インター線,31201,1,4.5,用瀬IC～河原IC,6095,用瀬IC～河原IC,6316,12411,1.24,1.07,76.7,74.7,9.5,70
31100280040,鳥取自動車道,河原インター線,一般国道５３号,31201,1,4,河原IC～鳥取南IC,7206,河原IC～鳥取南IC,8060,15266,1.29,1.02,72.7,74.2,10.5,70
31100280050,鳥取自動車道,一般国道５３号,一般国道９号（鳥取西道路）,31201,1,5.7,鳥取南IC～鳥取IC,7066,鳥取南IC～鳥取IC,7579,14645,1.24,1.1,73.5,72.7,10.5,70
31300090010,一般国道９号,一般国道９号,鳥取国府岩美線,31302,0,1.7,岩美郡岩美町蒲生,1713,岩美郡岩美町蒲生,1625,3338,1.25,0.56,60.1,63.1,9.8,50
31300090020,一般国道９号,鳥取国府岩美線,院内馬場線,31302,0,2.4,岩美郡岩美町蒲生,1713,岩美郡岩美町蒲生,1625,3338,1.25,0.56,58.5,59.5,9.8,50
31300090030,一般国道９号,院内馬場線,,31302,0,1.4,岩美郡岩美町蒲生,1713,岩美郡岩美町蒲生,1625,3338,1.25,0.35,58.8,60.2,11.2,50
31300090040,一般国道９号,,陸上岩井線,31302,0,1.3,岩美郡岩美町蒲生,1713,岩美郡岩美町蒲生,1625,3338,1.25,0.35,50.2,52.3,11.2,50
31300090050,一般国道９号,陸上岩井線,岩美停車場線,31302,0,2.2,岩美郡岩美町新井,2664,岩美郡岩美町新井,2865,5529,1.21,0.55,52.8,52.1,11.2,50
31300090060,一般国道９号,岩美停車場線,岩美停車場河崎線,31302,0,1.4,岩美郡岩美町新井,2664,岩美郡岩美町新井,2865,5529,1.21,0.55,48.7,50.5,11.2,50
31300090070,一般国道９号,岩美停車場河崎線,岩美八東線,31302,0,0.3,岩美郡岩美町新井,2664,岩美郡岩美町新井,2865,5529,1.21,0.55,35.7,34.9,11.2,50
31300090075,一般国道９号,岩美八東線,福部岩美線,31302,0,0.5,岩美郡岩美町新井,2664,岩美郡岩美町新井,2865,5529,1.21,0.55,19.6,28.3,11.2,50
31300091180,一般国道９号（駟馳山バイパス）,福部岩美線,一般国道１７８号,31302,0,1.1,岩美郡岩美町本庄,3122,岩美郡岩美町本庄,3162,6284,1.21,0.46,49.3,45.6,12.5,50
31300091125,一般国道９号（駟馳山バイパス）,一般国道１７８号,網代港線,31302,1,1.6,岩美IC～大谷IC,6068,岩美IC～大谷IC,6573,12641,1.21,0.76,71.6,72.4,10.5,70
31300091130,一般国道９号（駟馳山バイパス）,網代港線,岩美町・鳥取市境,31302,1,1,鳥取市福部町細川,8575,鳥取市福部町細川,8232,16807,1.21,1.03,70.3,67.4,10.5,70
31300091140,一般国道９号（駟馳山バイパス）,岩美町・鳥取市境,鳥取福部線,31201,1,4,鳥取市福部町細川,8575,鳥取市福部町細川,8232,16807,1.21,1.03,70.6,67.8,10.5,70
31300090140,一般国道９号,鳥取福部線,湯山鳥取線,31201,0,3.9,鳥取市浜坂,12131,鳥取市浜坂,12851,24982,1.21,1.65,64.1,56.7,11,60
31300090150,一般国道９号,湯山鳥取線,一般国道５３号,31201,0,1.1,鳥取市浜坂,12131,鳥取市浜坂,12851,24982,1.21,0.37,66.3,67.7,25.7,60
31300090160,一般国道９号,一般国道５３号,秋里吉方線,31201,0,0.5,鳥取市南隈,19510,鳥取市南隈,19625,39135,1.21,0.6,55.6,55.7,25.7,60
31300090170,一般国道９号,秋里吉方線,鳥取港線,31201,0,0.3,鳥取市南隈,19510,鳥取市南隈,19625,39135,1.21,1.23,33.2,44.5,26.7,60
31300090180,一般国道９号,鳥取港線,一般国道２９号,31201,0,0.5,鳥取市南隈,19510,鳥取市南隈,19625,39135,1.21,1.23,39.5,20.8,26.7,60
31300090190,一般国道９号,一般国道２９号,鳥取港湖山停車場線,31201,0,0.9,鳥取市千代水3丁目,10343,鳥取市千代水3丁目,9330,19673,1.21,0.7,26.5,32.7,26.7,60
31300090200,一般国道９号,鳥取港湖山停車場線,鳥取空港布勢線,31201,0,1.9,鳥取市千代水3丁目,10343,鳥取市千代水3丁目,9330,19673,1.21,0.76,37.4,30.3,22.4,60
31300090210,一般国道９号,鳥取空港布勢線,鳥取空港線,31201,0,1,鳥取市湖山北2丁目,6373,鳥取市湖山北2丁目,6278,12651,1.21,0.32,38.9,47.7,29.9,60
31300090220,一般国道９号,鳥取空港線,金沢伏野線,31201,0,1.6,鳥取市湖山北2丁目,6373,鳥取市湖山北2丁目,6278,12651,1.21,0.32,50.4,57.1,29.9,60
31300090230,一般国道９号,金沢伏野線,伏野覚寺線,31201,0,0.9,鳥取市湖山北2丁目,6373,鳥取市湖山北2丁目,6278,12651,1.21,0.32,64.5,48.6,29.9,60
31300090240,一般国道９号,伏野覚寺線,御熊白兎線,31201,0,2,鳥取市気高町酒津,6192,鳥取市気高町酒津,6708,12900,1.21,1.06,48.9,46.4,14.3,50
31300090250,一般国道９号,御熊白兎線,,31201,0,1.7,鳥取市気高町酒津,6192,鳥取市気高町酒津,6708,12900,1.21,1.06,49.7,50.1,14.3,50
