交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
30117200010,阪和自動車道,阪和自動車道,和歌山市・岩出市境,30201,1,0.2,阪南～和歌山JCT(北),14409,阪南～和歌山JCT(北),14133,28542,1.29,0.51,78.5,86.6,21,80
30117200020,阪和自動車道,和歌山市・岩出市境,岩出市・和歌山市境,30209,1,0.8,阪南～和歌山JCT(北),14409,阪南～和歌山JCT(北),14133,28542,1.29,0.51,73.8,85.7,21,80
30117200024,阪和自動車道,岩出市・和歌山市境,一般国道２４号,30201,1,1.7,阪南～和歌山JCT(北),14409,阪南～和歌山JCT(北),14133,28542,1.29,0.51,74.9,83.6,22.5,80
30117200027,阪和自動車道,一般国道２４号,一般国道２４号（京奈和自動車道）,30201,1,4,和歌山JCT(北)～和歌山JCT(南),13173,和歌山JCT(北)～和歌山JCT(南),12870,26043,1.29,0.47,84.3,86,22.5,80
30117200030,阪和自動車道,一般国道２４号（京奈和自動車道）,小豆島船所線,30201,1,3.1,和歌山JCT(南)～和歌山北,17830,和歌山JCT(南)～和歌山北,17424,35254,1.27,0.75,85.9,86.6,22.5,80
30117200040,阪和自動車道,小豆島船所線,一般国道２４号,30201,1,1.9,和歌山北～和歌山,14164,和歌山北～和歌山,13810,27974,1.26,0.52,74.4,65.6,20.5,80
30117200045,阪和自動車道,一般国道２４号,和歌山橋本線,30201,1,4.2,和歌山～和歌山南スマート,14082,和歌山～和歌山南スマート,13328,27410,1.24,0.53,83.5,87.1,22.5,80
30117200050,阪和自動車道,和歌山橋本線,和歌山市・海南市境,30201,1,3.1,和歌山南スマート～海南東,13889,和歌山南スマート～海南東,12981,26870,1.24,0.54,86.5,90.7,22.5,80
30117200060,阪和自動車道,和歌山市・海南市境,海南金屋線,30202,1,2.9,和歌山南スマート～海南東,13889,和歌山南スマート～海南東,12981,26870,1.24,0.54,87.2,86.8,22.5,80
30117200070,阪和自動車道,海南金屋線,一般国道４２号,30202,1,2.8,海南東～海南,12063,海南東～海南,11124,23187,1.24,0.47,88.8,87,22.5,80
30117200080,阪和自動車道,一般国道４２号,興加茂郷停車場線,30202,1,1.6,海南～下津,16029,海南～下津,15064,31093,1.25,0.9,81.7,79.3,17,80
30117200090,阪和自動車道,興加茂郷停車場線,海南市・有田川町境,30202,1,3,下津～有田,15503,下津～有田,14571,30074,1.25,0.85,84.3,89.7,17,80
30117200100,阪和自動車道,海南市・有田川町境,一般国道４２号,30366,1,4.1,下津～有田,15503,下津～有田,14571,30074,1.25,0.85,81.9,87.2,17,80
30117200120,阪和自動車道,一般国道４２号（湯浅御坊道路）,御坊中津線,30205,1,1.1,御坊～御坊南,4715,御坊～御坊南,4315,9030,1.2,0.29,75.7,76.5,17,70
30117200130,阪和自動車道,御坊中津線,御坊市・印南町境,30205,1,2.3,御坊南～印南,5817,御坊南～印南,5457,11274,1.2,1.08,72.9,75.3,10.5,70
30117200140,阪和自動車道,御坊市・印南町境,印南原印南線,30390,1,6.1,御坊南～印南,5817,御坊南～印南,5457,11274,1.2,1.08,81.6,76.7,10.5,70
30117200150,阪和自動車道,印南原印南線,印南町・みなべ町境,30390,1,4.9,印南～みなべ,5645,印南～みなべ,5262,10907,1.19,1.04,87.1,87,10.5,70
30117200160,阪和自動車道,印南町・みなべ町境,一般国道４２４号,30391,1,6.7,印南～みなべ,5645,印南～みなべ,5262,10907,1.19,1.04,82.9,83.9,9,70
30117200170,阪和自動車道,一般国道４２４号,みなべ町・田辺市境,30391,1,1.9,みなべ～南紀田辺,5149,みなべ～南紀田辺,4857,10006,1.18,0.96,88.2,89.6,9.5,70
30117200180,阪和自動車道,みなべ町・田辺市境,紀勢自動車道,30206,1,3.9,みなべ～南紀田辺,5149,みなべ～南紀田辺,4857,10006,1.18,0.96,72.8,73.6,9.5,70
30100720060,紀勢自動車道,一般国道４２号,日置川大塔線,30401,1,9,西牟婁郡白浜町冨田,5200,西牟婁郡白浜町冨田,5348,10548,1.2,1,72.1,76.5,10.5,70
30100720080,紀勢自動車道,日置川大塔線,白浜町・すさみ町境,30401,1,2.2,西牟婁郡すさみ町周参見,3262,西牟婁郡すさみ町周参見,3373,6635,1.21,0.75,78.1,78.6,10.5,70
30100720090,紀勢自動車道,白浜町・すさみ町境,すさみ古座線,30406,1,3.4,西牟婁郡すさみ町周参見,3262,西牟婁郡すさみ町周参見,3373,6635,1.21,0.75,78.5,76.2,10.5,70
30100720110,紀勢自動車道,すさみ古座線,上富田すさみ線,30406,1,9.8,西牟婁郡すさみ町和深川,2650,西牟婁郡すさみ町和深川,2752,5402,1.21,0.65,68.1,69.4,10.5,70
30100720010,紀勢自動車道,阪和自動車道,田辺市・上富田町境,30206,1,6.8,田辺市下万呂,4507,田辺市下万呂,4762,9269,1.19,0.86,71.3,71.5,10.5,70
30100720020,紀勢自動車道,田辺市・上富田町境,一般国道４２号,30404,1,1.2,田辺市下万呂,4507,田辺市下万呂,4762,9269,1.19,0.86,75.7,72.2,10.5,70
