交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
6110810010,日本海東北自動車道,,山形自動車道,6203,1,1.5,鶴岡JCT料金所～鶴岡JCT,670,鶴岡JCT料金所～鶴岡JCT,585,1255,1.4,0.15,74.1,74.2,12,70
6114300010,山形自動車道,山形自動車道,一般国道２８６号,6201,1,2,笹谷～関沢,7297,笹谷～関沢,7572,14869,1.28,0.32,88.5,86.8,21.75,80
6114300020,山形自動車道,一般国道２８６号,一般国道２８６号,6201,1,7.5,関沢～山形蔵王,5592,関沢～山形蔵王,5929,11521,1.29,0.31,84.9,93,21.75,80
6114300030,山形自動車道,一般国道２８６号,一般国道１３号,6201,1,6.3,山形蔵王～山形北,3779,山形蔵王～山形北,3646,7425,1.27,0.23,88.8,90.7,21,80
6114300040,山形自動車道,一般国道１３号,東北中央自動車道,6201,1,4.6,山形北～山形JCT,3381,山形北～山形JCT,3185,6566,1.2,0.17,89.9,92.3,23.5,80
6114300050,山形自動車道,東北中央自動車道,山形市・中山町境,6201,1,1.8,山形JCT～寒河江,3411,山形JCT～寒河江,3190,6601,1.17,0.5,83.8,87.4,12,70
6114300060,山形自動車道,山形市・中山町境,中山町・寒河江市境,6302,1,4,山形JCT～寒河江,3411,山形JCT～寒河江,3190,6601,1.17,0.5,81.8,83.3,12,70
6114300070,山形自動車道,中山町・寒河江市境,一般国道１１２号,6206,1,0.9,山形JCT～寒河江,3411,山形JCT～寒河江,3190,6601,1.17,0.5,86.1,87.3,12,70
6114300080,山形自動車道,一般国道１１２号,市道（寒河江スマートＩＣ）,6206,1,2.9,寒河江～寒河江SAスマート,2503,寒河江～寒河江SAスマート,2454,4957,1.18,0.14,86,88.9,23.5,80
6114300090,山形自動車道,市道（寒河江スマートＩＣ）,大江町・寒河江市境,6324,1,0.6,寒河江SAスマート～西川,2186,寒河江SAスマート～西川,2121,4307,1.18,0.63,80.3,89.4,13,70
6114300100,山形自動車道,大江町・寒河江市境,寒河江市・西川町境,6206,1,6.2,寒河江SAスマート～西川,2186,寒河江SAスマート～西川,2121,4307,1.18,0.63,82.2,83.5,13,70
6114300110,山形自動車道,寒河江市・西川町境,一般国道１１２号,6322,1,4.1,寒河江SAスマート～西川,2186,寒河江SAスマート～西川,2121,4307,1.18,0.63,84.1,80.9,13,70
6114300120,山形自動車道,一般国道１１２号,一般国道１１２号,6322,1,16.2,西川～月山,2127,西川～月山,2100,4227,1.18,0.62,72.9,73.7,13,70
6114300140,山形自動車道,一般国道１１２号,余目温海線,6203,1,9.4,湯殿山～庄内あさひ,2072,湯殿山～庄内あさひ,1974,4046,1.16,0.48,82.1,83.2,12,70
6114300150,山形自動車道,余目温海線,一般国道７号,6203,1,13.9,庄内あさひ～鶴岡,1791,庄内あさひ～鶴岡,1734,3525,1.15,0.28,83.8,85.2,12,70
6114300159,山形自動車道,一般国道７号,日本海東北自動車道,6203,1,2.6,鶴岡～鶴岡JCT,1230,鶴岡～鶴岡JCT,1219,2449,1.15,0.25,74.9,74.6,12,70
6114300160,山形自動車道,山形自動車道,鶴岡市・酒田市境,6203,1,7.2,鶴岡JCT～庄内空港IC,1900,鶴岡JCT～庄内空港,1804,3704,1.22,0.35,83.8,83.9,12,70
6114300170,山形自動車道,鶴岡市・酒田市境,庄内空港立川線,6204,1,0.6,鶴岡JCT～庄内空港IC,1900,鶴岡JCT～庄内空港,1804,3704,1.22,0.35,85.4,87.4,12,70
6114300180,山形自動車道,庄内空港立川線,一般国道７号,6204,1,7.1,庄内空港～酒田,1763,庄内空港～酒田,1654,3417,1.22,0.34,82.8,83.6,12,70
6114300185,山形自動車道,一般国道７号,一般国道４７号（余目酒田道路）,6204,1,4.9,酒田～酒田中央ＪＣＴ,1147,酒田～酒田中央ＪＣＴ,916,2063,1.25,0.22,80.3,84.8,12,70
6114300190,山形自動車道,一般国道４７号（余目酒田道路）,酒田八幡線,6204,1,7,酒田中央ＪＣＴ～酒田みなと,1021,酒田中央ＪＣＴ～酒田みなと,805,1826,1.28,0.18,79.2,80.4,12,70
