交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
35110200010,山陽自動車道,山陽自動車道,一般国道２号,35208,1,7,大竹JCT～岩国,15333,大竹JCT～岩国,15616,30949,1.73,0.65,85.3,88.5,23,80
35110200020,山陽自動車道,一般国道２号,柳井玖珂線,35208,1,14.2,岩国～玖珂,14664,岩国～玖珂,15007,29671,1.74,0.65,87.5,89.4,23,80
35110200030,山陽自動車道,柳井玖珂線,岩国市・周南市境,35208,1,5.8,玖珂～熊毛,14170,玖珂～熊毛,14627,28797,1.74,0.66,89.7,91.3,25,100
35110200040,山陽自動車道,岩国市・周南市境,徳山光線,35215,1,6.4,玖珂～熊毛,14170,玖珂～熊毛,14627,28797,1.74,0.66,88.8,90.5,25,100
35110200050,山陽自動車道,徳山光線,周南市・光市境,35215,1,0.5,熊毛～徳山東,14444,熊毛～徳山東,15124,29568,1.7,0.68,88.7,88.2,25,100
35110200060,山陽自動車道,周南市・光市境,光市・周南市境,35210,1,0.7,熊毛～徳山東,14444,熊毛～徳山東,15124,29568,1.7,0.68,87.9,90.5,25,100
35110200070,山陽自動車道,光市・周南市境,周南市・下松市境,35215,1,3.2,熊毛～徳山東,14444,熊毛～徳山東,15124,29568,1.7,0.68,91.2,88.9,25,100
35110200080,山陽自動車道,周南市・下松市境,下松市・周南市境,35207,1,6.5,熊毛～徳山東,14444,熊毛～徳山東,15124,29568,1.7,0.68,85.9,89.4,25,100
35110200090,山陽自動車道,下松市・周南市境,一般国道２号,35215,1,0.9,熊毛～徳山東,14444,熊毛～徳山東,15124,29568,1.7,0.68,86.9,88.8,25,100
35110200100,山陽自動車道,一般国道２号,一般国道２号,35215,1,18,徳山東～徳山西,14931,徳山東～徳山西,15596,30527,1.66,0.72,88.1,89.4,25,100
35110200110,山陽自動車道,一般国道２号,周南市・防府市境,35215,1,2.4,徳山西～防府東,15889,徳山西～防府東,16430,32319,1.6,0.75,90.9,89.3,25,100
35110200120,山陽自動車道,周南市・防府市境,一般国道２号,35206,1,10.2,徳山西～防府東,15889,徳山西～防府東,16430,32319,1.6,0.75,88.3,92.7,25,100
35110200130,山陽自動車道,一般国道２号,一般国道２号,35206,1,3.3,防府東～防府西,12786,防府東～防府西,13483,26269,1.69,0.48,87.9,92.6,25,100
35110200140,山陽自動車道,一般国道２号,防府市・山口市境,35206,1,6.7,防府西～山口南,14027,防府西～山口南,15066,29093,1.62,0.52,81.3,92.4,25,100
35110200150,山陽自動車道,防府市・山口市境,一般国道２号,35203,1,2,防府西～山口南,14027,防府西～山口南,15066,29093,1.62,0.52,87.6,93.5,25,100
35110200160,山陽自動車道,一般国道２号,中国自動車道,35203,1,6,山口南～山口JCT,10051,山口南～山口JCT,10761,20812,1.78,0.64,86,91.2,23,80
35110200180,山陽自動車道,山口宇部線,一般国道４９０号,35202,1,3.1,宇部JCT～宇部,3134,宇部JCT～宇部,3055,6189,1.22,0.65,62.9,54.9,13.25,70
