交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
19111000010,中央自動車道西宮線,中央自動車道富士吉田線,大月市・甲州市境,19206,1,12.2,大月JCT～勝沼,19035,大月JCT～勝沼,17037,36072,1.45,0.57,91.2,86.4,22,80
19111000020,中央自動車道西宮線,大月市・甲州市境,一般国道２０号,19213,1,6.9,大月JCT～勝沼,19035,大月JCT～勝沼,17037,36072,1.45,0.57,82.3,86.6,22,80
19111000030,中央自動車道西宮線,一般国道２０号,甲州市・笛吹市境,19213,1,1.8,勝沼～一宮御坂,16119,勝沼～一宮御坂,14474,30593,1.45,0.42,86,91.5,22,80
19111000040,中央自動車道西宮線,甲州市・笛吹市境,笛吹市・甲州市境,19211,1,0.2,勝沼～一宮御坂,16119,勝沼～一宮御坂,14474,30593,1.45,0.42,85.7,90.4,22,80
19111000050,中央自動車道西宮線,笛吹市・甲州市境,甲州市・笛吹市境,19213,1,0.3,勝沼～一宮御坂,16119,勝沼～一宮御坂,14474,30593,1.45,0.42,81.5,90.4,22,80
19111000060,中央自動車道西宮線,甲州市・笛吹市境,一般国道１３７号,19211,1,3.9,勝沼～一宮御坂,16119,勝沼～一宮御坂,14474,30593,1.45,0.42,86.3,88.6,22,80
19111000065,中央自動車道西宮線,一般国道１３７号,笛吹市道,19211,1,4,一宮御坂～笛吹八代スマート,16183,一宮御坂～笛吹八代スマート,14814,30997,1.43,0.42,,89.2,22,80
19111000070,中央自動車道西宮線,笛吹市道,笛吹市・甲府市境,19211,1,4.2,笛吹八代スマート～甲府南,16289,笛吹八代スマート～甲府南,14888,31177,1.42,0.43,88.6,,22,80
19111000080,中央自動車道西宮線,笛吹市・甲府市境,一般国道３５８号,19201,1,0.1,笛吹八代スマート～甲府南,16289,笛吹八代スマート～甲府南,14888,31177,1.42,0.43,86.6,90.4,22,80
19111000090,中央自動車道西宮線,一般国道３５８号,甲府市・中央市境,19201,1,3.4,甲府南～甲府昭和～双葉スマート,14611,甲府南～甲府昭和～双葉スマート,13019,27630,1.42,0.41,90.3,90,22,80
19111000100,中央自動車道西宮線,甲府市・中央市境,中央市・昭和町境,19214,1,1.1,甲府南～甲府昭和～双葉スマート,14611,甲府南～甲府昭和～双葉スマート,13019,27630,1.42,0.41,91.6,89.7,22,80
19111000110,中央自動車道西宮線,中央市・昭和町境,一般国道２０号,19384,1,3.2,甲府南～甲府昭和～双葉スマート,14611,甲府南～甲府昭和～双葉スマート,13019,27630,1.42,0.41,92,88,22,80
19111000120,中央自動車道西宮線,一般国道２０号,昭和町・甲斐市境,19384,1,0.2,甲府南～甲府昭和～双葉スマート,14611,甲府南～甲府昭和～双葉スマート,13019,27630,1.42,0.38,92.9,90.4,22,80
19111000130,中央自動車道西宮線,昭和町・甲斐市境,甲斐市・甲府市境,19210,1,0.2,甲府南～甲府昭和～双葉スマート,14611,甲府南～甲府昭和～双葉スマート,13019,27630,1.42,0.38,88.7,88.1,22,80
19111000140,中央自動車道西宮線,甲斐市・甲府市境,甲府市・甲斐市境,19201,1,0.7,甲府南～甲府昭和～双葉スマート,14611,甲府南～甲府昭和～双葉スマート,13019,27630,1.42,0.38,90.9,90.5,22,80
19111000150,中央自動車道西宮線,甲府市・甲斐市境,甲斐市道,19210,1,3.6,甲府南～甲府昭和～双葉スマート,14611,甲府南～甲府昭和～双葉スマート,13019,27630,1.42,0.38,80.4,89.8,22,80
19111000160,中央自動車道西宮線,甲斐市道,中部横断自動車道,19210,1,1.9,双葉スマート～双葉JCT,14767,双葉スマート～双葉JCT,12936,27703,1.41,0.43,85.2,87.8,22,80
19111000170,中央自動車道西宮線,中部横断自動車道,甲斐市・韮崎市境,19210,1,3.6,双葉JCT～韮崎,15934,双葉JCT～韮崎,14133,30067,1.4,0.47,91.9,91.9,22,80
19111000180,中央自動車道西宮線,甲斐市・韮崎市境,韮崎昇仙峡線,19207,1,0.9,双葉JCT～韮崎,15934,双葉JCT～韮崎,14133,30067,1.4,0.47,83.3,89.4,22,80
19111000190,中央自動車道西宮線,韮崎昇仙峡線,韮崎市・北杜市境,19207,1,2.5,韮崎～須玉,14951,韮崎～須玉,13131,28082,1.42,0.46,75.4,91.9,21,80
19111000200,中央自動車道西宮線,韮崎市・北杜市境,須玉インター線,19209,1,4.5,韮崎～須玉,14951,韮崎～須玉,13131,28082,1.42,0.46,91.8,89.7,21,80
19111000210,中央自動車道西宮線,須玉インター線,長坂高根線,19209,1,8.7,須玉～長坂,12830,須玉～長坂,11440,24270,1.47,0.39,91.9,90.1,21,80
19111000220,中央自動車道西宮線,長坂高根線,北杜富士見線,19209,1,8.3,長坂～小淵沢,11469,長坂～小淵沢,10099,21568,1.52,0.34,93.8,89.6,21,80
